# Swimming results from 2013 World Aquatics Championships
# Data from OMEGA, official time keepers of the World Championships.
# Accessed http://www.omegatiming.com/File/Download?id=00010D0201FFFFFFFFFFFFFFFFFFFF04
# Converted from XML to tidy CSV format
athleteid,lastname,firstname,birthdate,gender,name,code,eventid,heat,lane,points,reactiontime,swimtime,split,cumswimtime,splitdistance,daytime,round,distance,relaycount,stroke,splitswimtime
244414,KASHARI,ANXHELA,1996-01-01,F,ALBANIA,ALB,33,4,1,578.0,0.68,28.48,1,28.48,50,1000.0,PRE,50,1,FREE,28.48
244417,BORSHI,NOEL,1996-01-01,F,ALBANIA,ALB,1,2,3,591.0,0.73,66.77,1,30.84,50,1000.0,PRE,100,1,FLY,30.84
244417,BORSHI,NOEL,1996-01-01,F,ALBANIA,ALB,1,2,3,591.0,0.73,66.77,2,66.77,100,1000.0,PRE,100,1,FLY,35.92999999999999
244421,ZEKTHI,EVIN,1996-01-01,M,ALBANIA,ALB,12,1,4,607.0,0.7,120.43,1,27.67,50,1047.0,PRE,200,1,FREE,27.67
244421,ZEKTHI,EVIN,1996-01-01,M,ALBANIA,ALB,12,1,4,607.0,0.7,120.43,2,58.12,100,1047.0,PRE,200,1,FREE,30.449999999999996
244421,ZEKTHI,EVIN,1996-01-01,M,ALBANIA,ALB,12,1,4,607.0,0.7,120.43,3,89.17,150,1047.0,PRE,200,1,FREE,31.050000000000004
244421,ZEKTHI,EVIN,1996-01-01,M,ALBANIA,ALB,12,1,4,607.0,0.7,120.43,4,120.43,200,1047.0,PRE,200,1,FREE,31.260000000000005
244895,MECA,KLAVIO,1996-01-01,M,ALBANIA,ALB,2,1,6,558.0,0.78,267.25,1,29.27,50,1016.0,PRE,400,1,FREE,29.27
244895,MECA,KLAVIO,1996-01-01,M,ALBANIA,ALB,2,1,6,558.0,0.78,267.25,2,60.98,100,1016.0,PRE,400,1,FREE,31.709999999999997
244895,MECA,KLAVIO,1996-01-01,M,ALBANIA,ALB,2,1,6,558.0,0.78,267.25,3,94.37,150,1016.0,PRE,400,1,FREE,33.39000000000001
244895,MECA,KLAVIO,1996-01-01,M,ALBANIA,ALB,2,1,6,558.0,0.78,267.25,4,128.57,200,1016.0,PRE,400,1,FREE,34.19999999999999
244895,MECA,KLAVIO,1996-01-01,M,ALBANIA,ALB,2,1,6,558.0,0.78,267.25,5,163.15,250,1016.0,PRE,400,1,FREE,34.58000000000001
244895,MECA,KLAVIO,1996-01-01,M,ALBANIA,ALB,2,1,6,558.0,0.78,267.25,6,197.97,300,1016.0,PRE,400,1,FREE,34.81999999999999
244895,MECA,KLAVIO,1996-01-01,M,ALBANIA,ALB,2,1,6,558.0,0.78,267.25,7,233.84,350,1016.0,PRE,400,1,FREE,35.870000000000005
244895,MECA,KLAVIO,1996-01-01,M,ALBANIA,ALB,2,1,6,558.0,0.78,267.25,8,267.25,400,1016.0,PRE,400,1,FREE,33.41
244677,OUSSAMA,SAHNOUNE,1992-01-01,M,ALGERIA,ALG,19,8,9,835.0,0.69,49.81,1,23.97,50,1013.0,PRE,100,1,FREE,23.97
244677,OUSSAMA,SAHNOUNE,1992-01-01,M,ALGERIA,ALG,19,8,9,835.0,0.69,49.81,2,49.81,100,1013.0,PRE,100,1,FREE,25.840000000000003
244677,OUSSAMA,SAHNOUNE,1992-01-01,M,ALGERIA,ALG,27,10,9,815.0,0.67,22.41,1,22.41,50,1000.0,PRE,50,1,FREE,22.41
244500,FEO MATO,PABLO,1995-01-01,M,ANDORRA,AND,34,2,3,542.0,0.7,29.47,1,29.47,50,1018.0,PRE,50,1,BACK,29.47
244508,RAMIREZ ABELLA,MONICA,1993-01-01,F,ANDORRA,AND,22,3,1,622.0,0.71,60.98,1,29.24,50,1000.0,PRE,100,1,FREE,29.24
244508,RAMIREZ ABELLA,MONICA,1993-01-01,F,ANDORRA,AND,22,3,1,622.0,0.71,60.98,2,60.98,100,1000.0,PRE,100,1,FREE,31.74
244508,RAMIREZ ABELLA,MONICA,1993-01-01,F,ANDORRA,AND,33,4,2,586.0,0.7,28.35,1,28.35,50,1000.0,PRE,50,1,FREE,28.35
244820,ARIAS DOURDET,POL,1996-01-01,M,ANDORRA,AND,12,1,3,607.0,0.66,120.44,1,28.09,50,1047.0,PRE,200,1,FREE,28.09
244820,ARIAS DOURDET,POL,1996-01-01,M,ANDORRA,AND,12,1,3,607.0,0.66,120.44,2,58.51,100,1047.0,PRE,200,1,FREE,30.419999999999998
244820,ARIAS DOURDET,POL,1996-01-01,M,ANDORRA,AND,12,1,3,607.0,0.66,120.44,3,89.27,150,1047.0,PRE,200,1,FREE,30.759999999999998
244820,ARIAS DOURDET,POL,1996-01-01,M,ANDORRA,AND,12,1,3,607.0,0.66,120.44,4,120.44,200,1047.0,PRE,200,1,FREE,31.17
42,ROLA,NUNO MIGUEL,1983-01-01,M,ANGOLA,ANG,16,1,3,,,,1,,50,1038.0,PRE,200,1,FLY,
42,ROLA,NUNO MIGUEL,1983-01-01,M,ANGOLA,ANG,29,1,5,,,,1,,50,1039.0,PRE,100,1,FLY,
243619,PINOTES,PEDRO,1989-01-01,M,ANGOLA,ANG,21,1,3,763.0,0.63,124.85,1,27.28,50,1051.0,PRE,200,1,MEDLEY,27.28
243619,PINOTES,PEDRO,1989-01-01,M,ANGOLA,ANG,21,1,3,763.0,0.63,124.85,2,59.95,100,1051.0,PRE,200,1,MEDLEY,32.67
243619,PINOTES,PEDRO,1989-01-01,M,ANGOLA,ANG,21,1,3,763.0,0.63,124.85,3,95.92,150,1051.0,PRE,200,1,MEDLEY,35.97
243619,PINOTES,PEDRO,1989-01-01,M,ANGOLA,ANG,21,1,3,763.0,0.63,124.85,4,124.85,200,1051.0,PRE,200,1,MEDLEY,28.929999999999993
243619,PINOTES,PEDRO,1989-01-01,M,ANGOLA,ANG,37,4,9,793.0,0.64,263.36,1,28.16,50,1000.0,PRE,400,1,MEDLEY,28.16
243619,PINOTES,PEDRO,1989-01-01,M,ANGOLA,ANG,37,4,9,793.0,0.64,263.36,2,59.5,100,1000.0,PRE,400,1,MEDLEY,31.34
243619,PINOTES,PEDRO,1989-01-01,M,ANGOLA,ANG,37,4,9,793.0,0.64,263.36,3,94.71000000000001,150,1000.0,PRE,400,1,MEDLEY,35.21000000000001
243619,PINOTES,PEDRO,1989-01-01,M,ANGOLA,ANG,37,4,9,793.0,0.64,263.36,4,128.57,200,1000.0,PRE,400,1,MEDLEY,33.859999999999985
243619,PINOTES,PEDRO,1989-01-01,M,ANGOLA,ANG,37,4,9,793.0,0.64,263.36,5,166.45,250,1000.0,PRE,400,1,MEDLEY,37.879999999999995
