# Swimming results from 2015 World Aquatics Championships
# Data from OMEGA, official time keepers of the World Championships.
# Accessed http://www.omegatiming.com/File/Download?id=00010F0200FFFFFFFFFFFFFFFFFFFF08
# Converted from XML to tidy CSV format
athleteid,lastname,firstname,birthdate,gender,name,code,eventid,heat,lane,points,reactiontime,swimtime,split,cumswimtime,splitdistance,daytime,round,distance,relaycount,stroke,splitswimtime
100784,BORSHI,NOEL,1996-02-13,F,Albania,ALB,1,1,4,680.0,0.77,63.65,1,29.63,50,930.0,PRE,100,1,FLY,29.63
100784,BORSHI,NOEL,1996-02-13,F,Albania,ALB,1,1,4,680.0,0.77,63.65,2,63.65,100,930.0,PRE,100,1,FLY,34.019999999999996
100784,BORSHI,NOEL,1996-02-13,F,Albania,ALB,20,1,8,654.0,0.8,140.28,1,31.33,50,1014.0,PRE,200,1,FLY,31.33
100784,BORSHI,NOEL,1996-02-13,F,Albania,ALB,20,1,8,654.0,0.8,140.28,2,66.81,100,1014.0,PRE,200,1,FLY,35.480000000000004
100784,BORSHI,NOEL,1996-02-13,F,Albania,ALB,20,1,8,654.0,0.8,140.28,3,103.28999999999999,150,1014.0,PRE,200,1,FLY,36.47999999999999
100784,BORSHI,NOEL,1996-02-13,F,Albania,ALB,20,1,8,654.0,0.8,140.28,4,140.28,200,1014.0,PRE,200,1,FLY,36.99000000000001
101712,MECA,KLAVIO,1996-04-09,M,Albania,ALB,2,1,7,697.0,0.74,248.18,1,28.64,50,948.0,PRE,400,1,FREE,28.64
101712,MECA,KLAVIO,1996-04-09,M,Albania,ALB,2,1,7,697.0,0.74,248.18,2,59.37,100,948.0,PRE,400,1,FREE,30.729999999999997
101712,MECA,KLAVIO,1996-04-09,M,Albania,ALB,2,1,7,697.0,0.74,248.18,3,90.48,150,948.0,PRE,400,1,FREE,31.110000000000007
101712,MECA,KLAVIO,1996-04-09,M,Albania,ALB,2,1,7,697.0,0.74,248.18,4,121.89,200,948.0,PRE,400,1,FREE,31.409999999999997
101712,MECA,KLAVIO,1996-04-09,M,Albania,ALB,2,1,7,697.0,0.74,248.18,5,153.61,250,948.0,PRE,400,1,FREE,31.720000000000013
101712,MECA,KLAVIO,1996-04-09,M,Albania,ALB,2,1,7,697.0,0.74,248.18,6,185.36,300,948.0,PRE,400,1,FREE,31.75
101712,MECA,KLAVIO,1996-04-09,M,Albania,ALB,2,1,7,697.0,0.74,248.18,7,217.46,350,948.0,PRE,400,1,FREE,32.099999999999994
101712,MECA,KLAVIO,1996-04-09,M,Albania,ALB,2,1,7,697.0,0.74,248.18,8,248.18,400,948.0,PRE,400,1,FREE,30.72
101712,MECA,KLAVIO,1996-04-09,M,Albania,ALB,12,1,3,640.0,0.73,118.32,1,27.83,50,1027.0,PRE,200,1,FREE,27.83
101712,MECA,KLAVIO,1996-04-09,M,Albania,ALB,12,1,3,640.0,0.73,118.32,2,58.18,100,1027.0,PRE,200,1,FREE,30.35
101712,MECA,KLAVIO,1996-04-09,M,Albania,ALB,12,1,3,640.0,0.73,118.32,3,88.63,150,1027.0,PRE,200,1,FREE,30.449999999999996
101712,MECA,KLAVIO,1996-04-09,M,Albania,ALB,12,1,3,640.0,0.73,118.32,4,118.32,200,1027.0,PRE,200,1,FREE,29.689999999999998
110360,MERIZAJ,NIKOL,1998-08-07,F,Albania,ALB,15,2,9,591.0,0.84,134.58,1,31.05,50,949.0,PRE,200,1,FREE,31.05
110360,MERIZAJ,NIKOL,1998-08-07,F,Albania,ALB,15,2,9,591.0,0.84,134.58,2,65.06,100,949.0,PRE,200,1,FREE,34.010000000000005
110360,MERIZAJ,NIKOL,1998-08-07,F,Albania,ALB,15,2,9,591.0,0.84,134.58,3,100.18,150,949.0,PRE,200,1,FREE,35.120000000000005
110360,MERIZAJ,NIKOL,1998-08-07,F,Albania,ALB,15,2,9,591.0,0.84,134.58,4,134.58,200,949.0,PRE,200,1,FREE,34.400000000000006
110360,MERIZAJ,NIKOL,1998-08-07,F,Albania,ALB,23,2,3,586.0,0.78,62.19,1,29.5,50,930.0,PRE,100,1,FREE,29.5
110360,MERIZAJ,NIKOL,1998-08-07,F,Albania,ALB,23,2,3,586.0,0.78,62.19,2,62.19,100,930.0,PRE,100,1,FREE,32.69
115671,HOXHA,SIDNI,1992-01-06,M,Albania,ALB,19,7,7,803.0,0.7,50.45,1,23.82,50,943.0,PRE,100,1,FREE,23.82
115671,HOXHA,SIDNI,1992-01-06,M,Albania,ALB,19,7,7,803.0,0.7,50.45,2,50.45,100,943.0,PRE,100,1,FREE,26.630000000000003
115671,HOXHA,SIDNI,1992-01-06,M,Albania,ALB,28,8,5,758.0,0.68,22.93,1,22.93,50,930.0,PRE,50,1,FREE,22.93
109109,DJENDOUCI,RIYAD,1988-01-08,M,Algeria,ALG,35,3,2,690.0,0.67,27.2,1,27.2,50,954.0,PRE,50,1,BACK,27.2
115991,AFANE,ABDELKADER MOHAMMED,1994-07-05,M,Algeria,ALG,14,5,3,760.0,0.69,29.17,1,29.17,50,930.0,PRE,50,1,BREAST,29.17
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,17,1,3,704.0,0.7,508.11,1,28.7,50,1030.0,PRE,800,1,FREE,28.7
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,17,1,3,704.0,0.7,508.11,2,59.51,100,1030.0,PRE,800,1,FREE,30.81
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,17,1,3,704.0,0.7,508.11,3,91.1,150,1030.0,PRE,800,1,FREE,31.589999999999996
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,17,1,3,704.0,0.7,508.11,4,122.55,200,1030.0,PRE,800,1,FREE,31.450000000000003
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,17,1,3,704.0,0.7,508.11,5,154.4,250,1030.0,PRE,800,1,FREE,31.85000000000001
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,17,1,3,704.0,0.7,508.11,6,186.27,300,1030.0,PRE,800,1,FREE,31.870000000000005
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,17,1,3,704.0,0.7,508.11,7,218.31,350,1030.0,PRE,800,1,FREE,32.03999999999999
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,17,1,3,704.0,0.7,508.11,8,250.15,400,1030.0,PRE,800,1,FREE,31.840000000000003
