Date,AAPL,AMZN,IBM,WMT,XOM
2001-07-05,1.66,15.27,,,
2001-07-06,1.57,15.27,106.5,47.34,43.4
2001-07-09,1.62,15.81,104.72,48.25,43.36
2001-07-10,1.51,15.61,101.96,47.5,42.88
2001-07-11,1.61,15.34,103.85,48.85,42.48
2001-07-12,1.74,16.49,107.25,51.85,42.72
2001-07-13,1.78,16.98,108.53,52.9,42.99
2001-07-16,1.71,16.01,107.82,53.48,43.0
2001-07-17,1.79,16.35,108.53,53.35,42.65
2001-07-18,1.48,15.96,104.28,53.98,42.12
2001-07-19,1.43,16.49,104.0,54.23,43.08
2001-07-20,1.43,16.98,105.7,54.28,43.36
2001-07-23,1.4,16.03,105.85,53.03,42.5
2001-07-24,1.36,12.06,104.51,53.1,40.97
2001-07-25,1.32,11.51,104.89,55.1,42.13
2001-07-26,1.33,12.43,106.0,55.5,42.72
2001-07-27,1.35,12.25,104.7,55.41,42.73
2001-07-30,1.35,12.55,105.85,55.88,42.41
2001-07-31,1.34,12.49,105.21,55.9,41.76
2001-08-01,1.36,12.5,107.06,55.01,41.6
2001-08-02,1.42,12.19,108.8,55.99,41.73
2001-08-03,1.39,12.15,108.18,55.39,41.26
2001-08-06,1.37,11.9,106.51,54.5,40.85
2001-08-07,1.38,11.6,106.25,55.08,41.38
2001-08-08,1.35,11.11,104.19,54.53,41.25
2001-08-09,1.36,10.46,104.08,54.17,40.95
2001-08-10,1.36,9.95,104.95,53.6,41.35
2001-08-13,1.36,10.12,105.86,52.2,41.4
2001-08-14,1.34,10.53,106.2,52.36,41.15
2001-08-15,1.32,10.08,105.01,52.0,41.5
2001-08-16,1.33,9.81,105.75,51.69,41.29
2001-08-17,1.29,9.99,104.59,50.8,40.47
2001-08-20,1.29,10.4,104.1,51.59,40.75
2001-08-21,1.28,9.89,101.89,49.94,40.39
2001-08-22,1.3,10.2,103.96,50.24,40.71
2001-08-23,1.27,9.63,103.0,49.74,40.89
2001-08-24,1.33,10.23,106.99,50.95,41.7
2001-08-27,1.35,10.13,106.86,50.39,41.05
2001-08-28,1.31,9.97,104.95,50.1,40.51
2001-08-29,1.27,9.19,104.13,49.15,40.38
2001-08-30,1.27,8.69,100.36,47.6,40.15
2001-08-31,1.33,8.94,99.95,48.05,40.19
2001-09-04,1.3,8.59,101.49,48.45,40.75
2001-09-05,1.32,7.65,100.35,49.15,41.22
2001-09-06,1.27,8.15,98.0,47.37,40.9
2001-09-07,1.23,8.51,96.59,46.22,40.9
2001-09-10,1.24,8.63,96.47,46.23,41.24
2001-09-17,1.21,7.49,93.34,44.0,40.15
2001-09-18,1.16,7.29,96.4,45.35,39.48
2001-09-19,1.22,7.31,96.0,45.45,38.41
2001-09-20,1.12,7.48,93.4,45.31,37.02
2001-09-21,1.12,7.48,90.5,44.66,35.83
2001-09-24,1.17,7.46,94.8,47.28,35.86
2001-09-25,1.11,7.09,94.45,48.4,36.28
2001-09-26,1.08,6.35,91.3,49.48,36.01
2001-09-27,1.11,6.2,90.0,49.39,38.42
2001-09-28,1.11,5.97,91.72,49.5,39.4
2001-10-01,1.11,6.01,92.71,49.76,39.09
2001-10-02,1.08,6.08,93.77,52.0,39.99
2001-10-03,1.07,6.76,96.95,52.73,39.84
2001-10-04,1.13,7.04,97.31,51.5,40.58
2001-10-05,1.15,7.2,98.02,52.4,40.69
2001-10-08,1.16,7.12,98.5,51.11,40.94
2001-10-09,1.14,6.91,97.14,52.08,41.06
2001-10-10,1.2,7.26,97.25,53.63,42.28
2001-10-11,1.27,7.85,99.4,53.49,42.09
2001-10-12,1.29,8.07,100.84,52.9,42.29
2001-10-15,1.28,8.88,102.0,53.48,41.65
2001-10-16,1.29,9.56,101.85,53.14,41.75
2001-10-17,1.21,8.92,102.9,52.22,41.44
2001-10-18,1.29,8.47,101.26,51.9,40.4
2001-10-19,1.31,8.01,102.65,53.01,40.54
2001-10-22,1.36,8.77,105.25,53.04,41.12
2001-10-23,1.3,9.55,105.81,52.61,40.87
2001-10-24,1.35,7.64,108.57,52.48,39.86
2001-10-25,1.37,7.77,110.66,53.3,40.56
2001-10-26,1.33,7.56,111.16,53.42,41.06
2001-10-29,1.26,7.05,108.62,51.9,40.68
2001-10-30,1.26,6.42,108.65,50.6,39.46
2001-10-31,1.25,6.98,108.07,51.4,39.45
2001-11-01,1.33,6.95,109.89,52.24,40.49
2001-11-02,1.33,6.71,109.5,52.97,39.76
2001-11-05,1.36,6.99,109.97,53.9,39.39
2001-11-06,1.4,7.05,114.19,54.94,39.47
2001-11-07,1.4,7.43,113.85,53.82,39.08
2001-11-08,1.34,6.97,113.81,54.5,39.5
2001-11-09,1.34,7.12,114.08,55.1,40.25
2001-11-12,1.34,7.05,114.86,55.58,40.06
2001-11-13,1.38,7.29,116.7,55.0,40.5
2001-11-14,1.4,9.49,114.35,55.28,38.7
2001-11-15,1.39,9.05,114.75,56.0,37.19
2001-11-16,1.36,8.95,114.5,55.1,37.54
2001-11-19,1.43,9.19,115.0,55.75,37.01
2001-11-20,1.4,8.6,115.44,55.7,37.96
2001-11-21,1.41,8.8,114.34,55.12,37.88
2001-11-23,1.42,9.08,115.35,55.8,38.44
2001-11-26,1.53,12.21,116.33,55.75,37.77
2001-11-27,1.5,11.48,114.2,55.08,37.35
2001-11-28,1.47,11.59,112.15,55.0,37.1
2001-11-29,1.46,11.15,114.43,54.65,37.45
2001-11-30,1.52,11.32,115.59,55.15,37.4
2001-12-03,1.5,10.49,114.13,54.58,37.66
2001-12-04,1.6,11.93,116.64,55.17,38.31
2001-12-05,1.7,11.76,121.4,56.57,38.88
2001-12-06,1.63,12.1,120.14,55.62,37.33
2001-12-07,1.61,11.71,120.4,55.34,38.07
2001-12-10,1.61,11.65,119.66,54.27,37.55
2001-12-11,1.56,12.24,121.5,54.08,36.81
2001-12-12,1.54,11.91,123.2,54.33,37.42
2001-12-13,1.5,10.89,120.25,53.36,36.44
2001-12-14,1.46,11.0,121.1,54.06,36.86
2001-12-17,1.47,10.81,121.34,55.85,37.47
2001-12-18,1.5,10.86,122.2,55.78,37.55
2001-12-19,1.54,10.71,123.89,56.28,38.35
2001-12-20,1.48,10.15,122.7,56.26,38.3
2001-12-21,1.5,10.0,122.0,57.57,38.5
2001-12-24,1.53,9.83,121.45,57.13,39.0
2001-12-26,1.54,11.1,122.4,58.15,39.6
2001-12-27,1.58,10.6,123.5,58.37,39.79
2001-12-28,1.6,10.9,122.9,58.35,39.78
2001-12-31,1.56,10.82,120.96,57.55,39.3
2002-01-02,1.66,10.96,121.5,58.05,39.6
2002-01-03,1.68,11.9,123.66,57.98,39.66
2002-01-04,1.69,12.25,125.6,57.6,40.0
2002-01-07,1.64,12.34,124.05,57.39,39.65
2002-01-08,1.62,11.85,124.7,57.84,39.7
2002-01-09,1.55,11.53,124.49,56.4,39.24
2002-01-10,1.52,11.04,122.14,57.0,39.39
2002-01-11,1.5,11.03,120.31,55.8,38.5
2002-01-14,1.51,10.11,118.05,55.76,38.64
2002-01-15,1.55,10.29,118.85,56.87,39.3
2002-01-16,1.48,9.13,117.4,55.99,38.5
2002-01-17,1.61,9.74,119.9,56.76,38.64
2002-01-18,1.58,10.16,114.25,56.35,38.4
2002-01-22,1.56,12.6,110.5,58.01,38.02
2002-01-23,1.64,12.47,107.9,59.86,38.9
2002-01-24,1.66,14.01,108.72,59.67,38.8
2002-01-25,1.66,14.44,109.28,58.4,39.16
2002-01-28,1.66,15.5,108.15,58.63,38.96
2002-01-29,1.65,14.22,103.0,57.91,37.95
2002-01-30,1.72,13.9,105.55,59.75,38.69
2002-01-31,1.77,14.19,107.89,59.98,39.05
2002-02-01,1.74,13.73,108.0,59.26,39.0
2002-02-04,1.81,12.53,106.8,58.9,38.35
2002-02-05,1.82,11.5,106.3,58.8,38.33
2002-02-06,1.76,11.26,106.63,58.88,38.92
2002-02-07,1.74,11.24,103.91,58.39,38.3
2002-02-08,1.72,12.52,104.99,59.15,38.29
2002-02-11,1.78,13.3,107.38,60.25,38.5
2002-02-12,1.76,12.9,106.57,60.1,38.4
2002-02-13,1.79,13.29,108.07,60.12,38.64
