Date,Price
2015-09-29,236.9
2015-09-30,237.1
2015-10-01,238.3
2015-10-02,238.3
2015-10-03,239.9
2015-10-04,239.9
2015-10-05,240.9
2015-10-06,246.6
2015-10-07,244.0
2015-10-08,242.9
2015-10-09,244.4
2015-10-10,246.1
2015-10-11,249.0
2015-10-12,246.4
2015-10-13,251.0
2015-10-14,253.3
2015-10-15,255.0
2015-10-16,263.4
2015-10-17,272.9
2015-10-18,265.0
2015-10-19,265.2
2015-10-20,271.1
2015-10-21,268.8
2015-10-22,275.8
2015-10-23,278.8
2015-10-24,284.3
2015-10-25,285.0
2015-10-26,287.1
2015-10-27,295.6
2015-10-28,304.1
2015-10-29,316.1
2015-10-30,329.1
2015-10-31,314.9
2015-11-01,329.5
2015-11-02,365.2
2015-11-03,404.1
2015-11-04,410.0
2015-11-05,387.2
2015-11-06,374.1
2015-11-07,384.8
2015-11-08,373.8
2015-11-09,379.5
2015-11-10,337.1
2015-11-11,313.2
2015-11-12,336.5
2015-11-13,338.1
2015-11-14,334.7
2015-11-15,322.9
2015-11-16,332.9
2015-11-17,336.5
2015-11-18,335.5
2015-11-19,326.4
2015-11-20,322.4
2015-11-21,327.0
2015-11-22,323.7
2015-11-23,323.0
2015-11-24,321.0
2015-11-25,329.0
2015-11-26,352.6
2015-11-27,358.2
2015-11-28,357.2
2015-11-29,372.2
2015-11-30,376.9
2015-12-01,362.7
2015-12-02,360.0
2015-12-03,361.8
2015-12-04,364.0
2015-12-05,388.0
2015-12-06,387.5
2015-12-07,394.7
2015-12-08,418.9
2015-12-09,418.4
2015-12-10,415.7
2015-12-11,453.0
2015-12-12,436.9
2015-12-13,433.8
2015-12-14,444.0
2015-12-15,464.3
2015-12-16,454.0
2015-12-17,455.5
2015-12-18,463.2
2015-12-19,461.3
2015-12-20,442.2
2015-12-21,436.8
2015-12-22,433.9
2015-12-23,442.4
2015-12-24,455.7
2015-12-25,455.8
2015-12-26,419.4
2015-12-27,424.7
2015-12-28,421.9
2015-12-29,433.9
2015-12-30,428.0
2015-12-31,430.4
2016-01-01,435.7
2016-01-02,435.4
2016-01-03,431.9
2016-01-04,433.9
2016-01-05,433.3
2016-01-06,430.9
2016-01-07,459.1
2016-01-08,454.4
2016-01-09,450.4
2016-01-10,450.0
2016-01-11,449.2
2016-01-12,434.0
2016-01-13,432.8
2016-01-14,430.0
2016-01-15,357.5
2016-01-16,388.7
2016-01-17,378.5
2016-01-18,384.9
2016-01-19,375.3
2016-01-20,418.5
2016-01-21,409.4
2016-01-22,382.9
2016-01-23,387.5
2016-01-24,403.0
2016-01-25,391.4
2016-01-26,391.5
2016-01-27,394.8
2016-01-28,379.6
2016-01-29,378.7
2016-01-30,378.5
2016-01-31,368.0
2016-02-01,371.3
2016-02-02,372.9
2016-02-03,368.9
2016-02-04,388.0
2016-02-05,384.5
2016-02-06,375.4
2016-02-07,377.5
2016-02-08,371.1
2016-02-09,372.7
2016-02-10,378.4
2016-02-11,378.2
2016-02-12,382.0
2016-02-13,391.0
2016-02-14,406.6
2016-02-15,399.0
2016-02-16,407.4
2016-02-17,415.2
2016-02-18,421.2
2016-02-19,420.7
2016-02-20,437.5
2016-02-21,438.6
2016-02-22,437.5
2016-02-23,420.0
2016-02-24,423.9
