Date,Close
12/30/2005,11.225
12/29/2005,11.223
12/28/2005,11.431
12/27/2005,11.022
12/23/2005,12.283
12/22/2005,12.923
12/21/2005,14.271
12/20/2005,14.08
12/19/2005,14.043
12/16/2005,13.633
12/15/2005,13.781
12/14/2005,14.679
12/13/2005,15.378
12/12/2005,14.841
12/9/2005,14.312
12/8/2005,14.994
12/7/2005,13.7
12/6/2005,13.489
12/5/2005,13.66
12/2/2005,13.931
12/1/2005,13.027
11/30/2005,12.587
11/29/2005,11.42
11/28/2005,11.18
11/23/2005,11.62
11/22/2005,11.614
11/21/2005,11.331
11/18/2005,11.414
11/17/2005,11.942
11/16/2005,12.329
11/15/2005,11.563
11/14/2005,11.607
11/11/2005,11.712
11/10/2005,11.38
11/9/2005,11.669
11/8/2005,11.793
11/7/2005,11.873
11/4/2005,11.415
11/3/2005,11.689
11/2/2005,11.604
11/1/2005,11.86
10/31/2005,12.205
10/28/2005,13.055
10/27/2005,13.832
10/26/2005,14.04
10/25/2005,14.338
10/24/2005,13.004
10/21/2005,12.872
10/20/2005,12.977
10/19/2005,13.549
10/18/2005,13.421
10/17/2005,13.887
10/14/2005,13.219
10/13/2005,13.103
10/12/2005,13.524
10/11/2005,13.519
10/10/2005,12.975
10/7/2005,13.226
10/6/2005,13.375
10/5/2005,14.183
10/4/2005,14.224
10/3/2005,14.017
9/30/2005,13.921
9/29/2005,14.7
9/28/2005,13.907
9/27/2005,12.656
9/26/2005,12.44
9/23/2005,12.324
9/22/2005,12.79
9/21/2005,12.594
9/20/2005,12.492
9/19/2005,12.663
9/16/2005,11.144
9/15/2005,11.336
9/14/2005,11.166
9/13/2005,10.763
9/12/2005,11.031
9/9/2005,11.263
9/8/2005,11.347
9/7/2005,11.201
9/6/2005,11.657
9/2/2005,11.691
9/1/2005,11.757
8/31/2005,11.472
8/30/2005,11.1
8/29/2005,10.847
8/26/2005,9.792
8/25/2005,9.77
8/24/2005,9.984
8/23/2005,9.683
8/22/2005,9.564
8/19/2005,9.111
8/18/2005,8.928
8/17/2005,9.391
8/16/2005,9.752
8/15/2005,9.54
8/12/2005,9.588
8/11/2005,9.301
8/10/2005,9.071
8/9/2005,8.649
8/8/2005,8.684
8/5/2005,8.7
8/4/2005,8.471
8/3/2005,8.351
8/2/2005,8.378
8/1/2005,8.154
7/29/2005,7.885
7/28/2005,7.62
7/27/2005,7.647
7/26/2005,7.425
7/25/2005,7.284
7/22/2005,7.384
7/21/2005,7.3
7/20/2005,7.55
7/19/2005,7.586
7/18/2005,7.652
7/15/2005,7.849
7/14/2005,7.844
7/13/2005,7.9
7/12/2005,7.885
7/11/2005,7.495
7/8/2005,7.472
7/7/2005,7.398
7/6/2005,7.688
7/5/2005,7.475
7/1/2005,7.171
6/30/2005,6.981
6/29/2005,7.087
6/28/2005,6.976
6/27/2005,7.138
6/24/2005,7.36
6/23/2005,7.473
6/22/2005,7.442
6/21/2005,7.474
6/20/2005,7.67
6/17/2005,7.69
6/16/2005,7.613
6/15/2005,7.441
6/14/2005,7.228
6/13/2005,7.26
6/10/2005,6.932
6/9/2005,7.045
6/8/2005,7
6/7/2005,7.127
6/6/2005,7.122
6/3/2005,6.88
6/2/2005,6.819
6/1/2005,6.789
5/31/2005,6.379
5/27/2005,6.37
5/26/2005,6.123
5/25/2005,6.315
5/24/2005,6.349
5/23/2005,6.407
5/20/2005,6.343
5/19/2005,6.357
5/18/2005,6.392
5/17/2005,6.476
5/16/2005,6.446
5/13/2005,6.536
5/12/2005,6.511
5/11/2005,6.683
5/10/2005,6.694
5/9/2005,6.674
5/6/2005,6.621
5/5/2005,6.691
5/4/2005,6.63
5/3/2005,6.515
5/2/2005,6.697
4/29/2005,6.585
4/28/2005,6.748
4/27/2005,6.748
4/26/2005,7.12
4/25/2005,7.153
4/22/2005,7.195
4/21/2005,7.032
4/20/2005,7.057
4/19/2005,7.045
4/18/2005,6.95
4/15/2005,6.997
4/14/2005,7.069
4/13/2005,6.978
4/12/2005,7.094
4/11/2005,7.309
4/8/2005,7.242
4/7/2005,7.366
4/6/2005,7.558
4/5/2005,7.572
4/4/2005,7.594
4/1/2005,7.749
3/31/2005,7.653
3/30/2005,7.4
3/29/2005,7.323
3/28/2005,6.999
3/24/2005,7.062
3/23/2005,7.138
3/22/2005,7.248
3/21/2005,7.318
3/18/2005,7.273
3/17/2005,7.238
3/16/2005,7.192
3/15/2005,7.179
3/14/2005,7.138
3/11/2005,6.772
3/10/2005,6.768
3/9/2005,6.88
3/8/2005,6.847
3/7/2005,6.714
3/4/2005,6.744
3/3/2005,6.657
3/2/2005,6.717
3/1/2005,6.68
2/28/2005,6.73
2/25/2005,6.715
2/24/2005,6.304
2/23/2005,6.311
2/22/2005,6.103
2/18/2005,5.908
2/17/2005,5.923
2/16/2005,6.109
2/15/2005,6.175
2/14/2005,6.093
2/11/2005,6.093
2/10/2005,6.16
2/9/2005,6.165
2/8/2005,6.164
2/7/2005,5.969
2/4/2005,6.096
2/3/2005,6.149
2/2/2005,6.376
2/1/2005,6.316
1/31/2005,6.321
1/28/2005,6.259
1/27/2005,6.288
1/26/2005,6.388
1/25/2005,6.403
1/24/2005,6.476
1/21/2005,6.24
1/20/2005,6.308
1/19/2005,6.293
1/18/2005,6.137
1/14/2005,6.395
1/13/2005,6.445
1/12/2005,5.943
1/11/2005,6.095
1/10/2005,6.159
1/7/2005,6.001
1/6/2005,6.049
1/5/2005,5.833
1/4/2005,5.902
1/3/2005,5.79
12/30/2004,6.149
12/29/2004,6.402
12/28/2004,6.213
12/27/2004,6.16
12/23/2004,6.668
12/22/2004,6.82
12/21/2004,6.856
12/20/2004,6.952
12/17/2004,7.457
12/16/2004,7
12/15/2004,7.236
12/14/2004,7.333
12/13/2004,7.166
12/10/2004,6.843
12/9/2004,6.886
12/8/2004,6.683
12/7/2004,6.621
12/6/2004,6.923
12/3/2004,6.796
12/2/2004,6.811
12/1/2004,7.413
11/30/2004,7.62
11/29/2004,7.837
11/24/2004,7.976
11/23/2004,6.793
11/22/2004,6.762
11/19/2004,7.115
11/18/2004,6.873
11/17/2004,7.283
11/16/2004,7.124
11/15/2004,7.436
11/12/2004,7.176
11/11/2004,7.236
11/10/2004,7.678
11/9/2004,7.471
11/8/2004,7.6
11/5/2004,7.954
11/4/2004,8.199
11/3/2004,8.752
11/2/2004,8.567
11/1/2004,8.72
10/29/2004,8.725
10/28/2004,8.684
10/27/2004,7.626
10/26/2004,8.402
10/25/2004,7.89
10/22/2004,8.105
10/21/2004,7.697
10/20/2004,7.623
10/19/2004,7.123
10/18/2004,6.806
10/15/2004,6.709
10/14/2004,6.803
10/12/2004,6.636
10/11/2004,6.993
10/8/2004,7.163
10/7/2004,7.255
10/6/2004,7.045
10/5/2004,7.164
10/4/2004,6.725
10/1/2004,6.772
9/30/2004,6.795
9/29/2004,6.911
9/28/2004,5.723
9/27/2004,5.262
9/24/2004,5.392
9/23/2004,5.564
9/22/2004,5.629
9/21/2004,5.608
9/20/2004,5.249
9/17/2004,5.108
9/16/2004,4.719
9/15/2004,4.824
9/14/2004,4.928
9/13/2004,4.85
9/10/2004,4.57
9/9/2004,4.658
9/8/2004,4.631
9/7/2004,4.79
9/3/2004,4.675
9/2/2004,4.767
9/1/2004,4.965
8/31/2004,5.074
8/30/2004,5.234
8/27/2004,5.082
8/26/2004,5.189
8/25/2004,5.298
8/24/2004,5.338
8/23/2004,5.31
8/20/2004,5.552
8/19/2004,5.507
8/18/2004,5.382
8/17/2004,5.373
8/16/2004,5.378
8/13/2004,5.533
8/12/2004,5.442
8/11/2004,5.614
8/10/2004,5.791
8/9/2004,5.693
8/6/2004,5.588
8/5/2004,5.712
8/4/2004,5.661
8/3/2004,5.816
8/2/2004,5.813
7/30/2004,6.112
7/29/2004,6.18
7/28/2004,6.048
7/27/2004,5.989
7/26/2004,5.957
7/23/2004,6.134
7/22/2004,6.152
7/21/2004,5.931
7/20/2004,5.837
7/19/2004,5.818
7/16/2004,5.887
7/15/2004,5.846
7/14/2004,5.977
7/13/2004,5.905
7/12/2004,5.857
7/9/2004,6.141
7/8/2004,6.185
7/7/2004,6.37
7/6/2004,6.424
7/2/2004,6.148
7/1/2004,6.217
6/30/2004,6.155
6/29/2004,6.118
6/28/2004,6.141
6/25/2004,6.353
6/24/2004,6.485
6/23/2004,6.415
6/22/2004,6.412
6/21/2004,6.339
6/18/2004,6.52
6/17/2004,6.582
6/16/2004,6.489
6/15/2004,6.304
6/14/2004,6.244
6/10/2004,6.176
6/9/2004,6.082
6/8/2004,6.115
6/7/2004,6.207
6/4/2004,6.261
6/3/2004,6.363
6/2/2004,6.519
6/1/2004,6.681
5/28/2004,6.442
5/27/2004,6.573
5/26/2004,6.68
5/25/2004,6.684
5/24/2004,6.705
5/21/2004,6.353
5/20/2004,6.324
5/19/2004,6.455
5/18/2004,6.154
5/17/2004,6.424
5/14/2004,6.401
5/13/2004,6.48
5/12/2004,6.405
5/11/2004,6.386
5/10/2004,6.184
5/7/2004,6.294
5/6/2004,6.219
5/5/2004,6.31
5/4/2004,6.269
5/3/2004,6.231
4/30/2004,5.862
4/29/2004,5.924
4/28/2004,5.935
4/27/2004,5.874
4/26/2004,5.764
4/23/2004,5.571
4/22/2004,5.623
4/21/2004,5.582
4/20/2004,5.553
4/19/2004,5.509
4/16/2004,5.61
4/15/2004,5.734
4/14/2004,5.744
4/13/2004,5.788
4/12/2004,6.009
4/8/2004,5.941
4/7/2004,5.872
4/6/2004,5.809
4/5/2004,5.804
4/2/2004,5.812
4/1/2004,5.765
3/31/2004,5.933
3/30/2004,5.746
3/29/2004,5.365
3/26/2004,5.395
3/25/2004,5.336
3/24/2004,5.429
3/23/2004,5.53
3/22/2004,5.546
3/19/2004,5.582
3/18/2004,5.631
3/17/2004,5.722
3/16/2004,5.688
3/15/2004,5.718
3/12/2004,5.596
3/11/2004,5.643
3/10/2004,5.397
3/9/2004,5.438
3/8/2004,5.393
3/5/2004,5.443
3/4/2004,5.457
3/3/2004,5.375
3/2/2004,5.565
3/1/2004,5.55
2/27/2004,5.416
2/26/2004,5.391
2/25/2004,5.15
2/24/2004,5.077
2/23/2004,5.127
2/20/2004,5.193
2/19/2004,5.235
2/18/2004,5.356
2/17/2004,5.319
2/13/2004,5.536
2/12/2004,5.451
2/11/2004,5.26
2/10/2004,5.404
2/9/2004,5.349
2/6/2004,5.354
