SurveyDate,FormalEducation,ConvertedSalary,Hobby,Country,StackOverflowJobsRecommend,VersionControl,Age,Years Experience,Gender,RawSalary
2/28/18 20:20,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,South Africa,,Git,21,13,Male,
6/28/18 13:26,Bachelor's degree (BA. BS. B.Eng.. etc.),70841.0,Yes,Sweeden,7.0,Git;Subversion,38,9,Male,"70,841.00"
6/6/18 3:37,Bachelor's degree (BA. BS. B.Eng.. etc.),,No,Sweeden,8.0,Git,45,11,,
5/9/18 1:06,Some college/university study without earning a degree,21426.0,Yes,Sweeden,,Zip file back-ups,46,12,Male,"21,426.00"
4/12/18 22:41,Bachelor's degree (BA. BS. B.Eng.. etc.),41671.0,Yes,UK,8.0,Git,39,7,Male,"£41,671.00"
2/9/18 19:09,Some college/university study without earning a degree,120000.0,Yes,Russia,7.0,Git,39,2,Male,"120,000.00"
5/25/18 6:11,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,UK,,Git,34,11,Male,
10/16/18 23:36,Some college/university study without earning a degree,250000.0,Yes,France,7.0,Git,24,2,Female,"250,000.00"
10/7/18 22:14,Bachelor's degree (BA. BS. B.Eng.. etc.),,No,South Africa,10.0,Git,23,17,Male,
2/24/18 21:36,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),0.0,No,France,,Copying and pasting files to network shares,36,2,,0.00
5/25/18 22:10,Master's degree (MA. MS. M.Eng.. MBA. etc.),47904.0,Yes,Spain,6.0,Git,26,0,,"47,904.00"
8/3/18 18:31,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,USA,10.0,Git,42,0,,
10/20/18 17:35,Bachelor's degree (BA. BS. B.Eng.. etc.),95968.0,Yes,India,6.0,Git,18,16,,"95,968.00"
7/23/18 10:20,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,USA,7.0,Git;Subversion,31,14,,
7/2/18 18:25,Bachelor's degree (BA. BS. B.Eng.. etc.),420.0,No,Ireland,,Copying and pasting files to network shares,21,8,Male,420.00
10/9/18 23:49,Some college/university study without earning a degree,75000.0,Yes,UK,5.0,Git,22,8,,"£75,000.00"
8/29/18 1:49,Master's degree (MA. MS. M.Eng.. MBA. etc.),10958.0,Yes,UK,10.0,Git,41,10,,"£10,958.00"
8/21/18 10:48,Master's degree (MA. MS. M.Eng.. MBA. etc.),51408.0,Yes,USA,9.0,Git;Subversion,55,1,Male,"$51,408.00"
4/17/18 21:23,Master's degree (MA. MS. M.Eng.. MBA. etc.),72611.0,Yes,USA,5.0,Git,31,10,Female,"$72,611.00"
9/3/18 19:11,Bachelor's degree (BA. BS. B.Eng.. etc.),900000.0,No,Spain,1.0,Team Foundation Version Control,39,10,,"900,000.00"
5/13/18 15:33,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,South Africa,,Git,19,4,Male,
7/5/18 11:39,Some college/university study without earning a degree,30000.0,No,USA,5.0,Git,28,7,Male,"$30,000.00"
8/30/18 10:01,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,USA,7.0,Git,50,14,Male,
7/22/18 23:09,Bachelor's degree (BA. BS. B.Eng.. etc.),44000.0,Yes,Russia,10.0,Git;Zip file back-ups,18,8,Female;Male;Transgender;Non-binary. genderqueer. or gender non-conforming,"44,000.00"
4/17/18 10:30,Bachelor's degree (BA. BS. B.Eng.. etc.),60000.0,No,USA,,Git,18,12,Female;Male,"$60,000.00"
6/26/18 9:09,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,USA,,Git,30,14,Male,
4/21/18 4:38,Bachelor's degree (BA. BS. B.Eng.. etc.),80000.0,Yes,Russia,,Git;Mercurial;Subversion,67,12,Male,"80,000.00"
2/13/18 9:04,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,South Africa,,Git,39,15,Male,
2/15/18 13:24,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Sweeden,,Git,35,7,,
7/29/18 13:46,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,Russia,10.0,Git;Team Foundation Version Control,41,6,,
3/10/18 14:43,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),,Yes,USA,,Git,30,8,Male,
1/25/18 22:31,Some college/university study without earning a degree,123984.0,Yes,Spain,,Git,43,7,Male,"123,984.00"
10/15/18 14:09,Some college/university study without earning a degree,21228.0,No,Russia,,I don't use version control,38,16,Female,"21,228.00"
5/25/18 12:56,Bachelor's degree (BA. BS. B.Eng.. etc.),74000.0,Yes,Sweeden,6.0,Git;Copying and pasting files to network shares,35,11,Female,"74,000.00"
3/20/18 5:04,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,USA,,Git,42,13,Male,
