0,1,2,3
2.0,1.0,24.0,3913.0
2.0,2.0,26.0,2682.0
2.0,2.0,34.0,29239.0
2.0,1.0,37.0,46990.0
2.0,1.0,57.0,8617.0
1.0,2.0,37.0,64400.0
1.0,2.0,29.0,367965.0
2.0,2.0,23.0,11876.0
3.0,1.0,28.0,11285.0
3.0,2.0,35.0,0.0
3.0,2.0,34.0,11073.0
1.0,2.0,51.0,12261.0
2.0,2.0,41.0,12137.0
2.0,2.0,30.0,65802.0
1.0,2.0,29.0,70887.0
3.0,3.0,23.0,50614.0
1.0,2.0,24.0,15376.0
1.0,1.0,49.0,253286.0
1.0,1.0,49.0,0.0
1.0,2.0,29.0,0.0
3.0,2.0,39.0,38358.0
2.0,1.0,39.0,316.0
2.0,2.0,26.0,41087.0
1.0,1.0,40.0,5512.0
1.0,2.0,23.0,4744.0
3.0,2.0,23.0,47620.0
1.0,2.0,27.0,-109.0
3.0,2.0,30.0,22541.0
3.0,1.0,47.0,650.0
1.0,2.0,26.0,15329.0
1.0,2.0,27.0,16646.0
2.0,2.0,33.0,30518.0
1.0,2.0,32.0,93036.0
2.0,1.0,54.0,10929.0
1.0,1.0,58.0,13709.0
1.0,2.0,30.0,30265.0
2.0,1.0,40.0,186503.0
2.0,2.0,22.0,15054.0
1.0,2.0,25.0,0.0
1.0,2.0,31.0,498.0
1.0,2.0,33.0,218668.0
1.0,2.0,25.0,67521.0
2.0,2.0,22.0,1877.0
2.0,1.0,37.0,59504.0
1.0,2.0,30.0,18927.0
1.0,2.0,29.0,0.0
1.0,2.0,22.0,14028.0
5.0,2.0,46.0,4463.0
2.0,2.0,32.0,22401.0
1.0,2.0,24.0,17447.0
3.0,2.0,42.0,37042.0
3.0,3.0,43.0,61559.0
2.0,1.0,49.0,13465.0
1.0,2.0,25.0,41402.0
1.0,2.0,29.0,46224.0
1.0,1.0,45.0,1905.0
3.0,1.0,34.0,16386.0
2.0,1.0,34.0,175886.0
1.0,2.0,34.0,1587.0
2.0,1.0,29.0,400134.0
3.0,1.0,28.0,22848.0
2.0,1.0,39.0,70800.0
1.0,2.0,29.0,24987.0
2.0,1.0,46.0,28718.0
2.0,1.0,51.0,99.0
1.0,1.0,57.0,152519.0
2.0,1.0,56.0,2097.0
1.0,2.0,30.0,300.0
3.0,2.0,29.0,-190.0
5.0,2.0,22.0,18565.0
1.0,2.0,31.0,780.0
2.0,2.0,29.0,58267.0
2.0,1.0,32.0,9076.0
1.0,2.0,37.0,0.0
1.0,2.0,32.0,3048.0
2.0,2.0,24.0,14619.0
3.0,2.0,25.0,42838.0
1.0,1.0,45.0,291.0
2.0,2.0,22.0,28387.0
2.0,2.0,44.0,0.0
3.0,3.0,33.0,165254.0
1.0,2.0,26.0,23411.0
3.0,2.0,30.0,26324.0
2.0,1.0,44.0,131595.0
3.0,2.0,49.0,48909.0
2.0,2.0,33.0,130028.0
1.0,1.0,45.0,390.0
2.0,2.0,32.0,3826.0
1.0,1.0,35.0,81313.0
3.0,2.0,44.0,8583.0
1.0,1.0,53.0,138180.0
1.0,2.0,39.0,7524.0
1.0,2.0,27.0,-2000.0
2.0,1.0,37.0,880.0
2.0,2.0,23.0,45648.0
2.0,2.0,35.0,83725.0
1.0,1.0,43.0,3967.0
1.0,2.0,27.0,86009.0
3.0,1.0,22.0,18722.0
2.0,1.0,38.0,17973.0
1.0,2.0,32.0,672.0
1.0,2.0,30.0,-81.0
1.0,1.0,63.0,422069.0
3.0,2.0,22.0,44698.0
2.0,2.0,26.0,56685.0
2.0,2.0,24.0,5580.0
2.0,1.0,36.0,6108.0
1.0,2.0,52.0,713.0
2.0,2.0,38.0,171438.0
2.0,1.0,35.0,-103.0
1.0,1.0,31.0,105879.0
3.0,1.0,47.0,13244.0
2.0,1.0,41.0,135673.0
1.0,2.0,24.0,52128.0
2.0,2.0,41.0,19015.0
1.0,2.0,24.0,18199.0
1.0,2.0,28.0,326.0
2.0,2.0,26.0,14029.0
2.0,1.0,34.0,19660.0
2.0,2.0,38.0,50254.0
3.0,2.0,37.0,46004.0
1.0,1.0,40.0,0.0
1.0,1.0,48.0,0.0
2.0,1.0,35.0,304991.0
1.0,2.0,27.0,19115.0
2.0,2.0,23.0,0.0
3.0,2.0,52.0,110151.0
1.0,1.0,36.0,163736.0
2.0,1.0,51.0,3347.0
3.0,1.0,55.0,60521.0
1.0,2.0,23.0,4000.0
1.0,2.0,41.0,95.0
2.0,1.0,34.0,253454.0
3.0,1.0,46.0,227389.0
2.0,2.0,22.0,28452.0
2.0,1.0,34.0,10674.0
1.0,2.0,27.0,17444.0
2.0,1.0,33.0,7166.0
3.0,1.0,51.0,752.0
1.0,2.0,24.0,50801.0
1.0,2.0,47.0,0.0
2.0,2.0,28.0,1832.0
2.0,2.0,23.0,10131.0
2.0,2.0,29.0,12159.0
1.0,2.0,29.0,1199.0
1.0,2.0,28.0,4999.0
2.0,2.0,27.0,19269.0
1.0,2.0,34.0,197236.0
2.0,1.0,23.0,9168.0
1.0,1.0,60.0,-1100.0
2.0,1.0,32.0,86627.0
1.0,2.0,25.0,42444.0
1.0,2.0,41.0,208.0
2.0,1.0,56.0,208775.0
3.0,2.0,26.0,9014.0
1.0,1.0,34.0,23944.0
1.0,2.0,37.0,105420.0
3.0,2.0,30.0,196031.0
3.0,1.0,45.0,115785.0
3.0,1.0,57.0,12854.0
1.0,2.0,41.0,24357.0
2.0,2.0,27.0,390.0
3.0,1.0,47.0,1234.0
1.0,1.0,34.0,141223.0
2.0,1.0,46.0,21148.0
1.0,2.0,27.0,101640.0
1.0,2.0,50.0,6093.0
2.0,1.0,27.0,102349.0
2.0,1.0,35.0,72112.0
2.0,2.0,22.0,28040.0
2.0,2.0,37.0,37695.0
1.0,2.0,30.0,688.0
2.0,2.0,22.0,8567.0
1.0,2.0,24.0,-709.0
1.0,2.0,29.0,0.0
3.0,1.0,56.0,64617.0
1.0,2.0,30.0,6187.0
2.0,2.0,30.0,48860.0
2.0,2.0,22.0,16001.0
2.0,1.0,29.0,77883.0
1.0,2.0,37.0,12212.0
3.0,2.0,35.0,49608.0
1.0,1.0,47.0,56422.0
2.0,1.0,24.0,58024.0
2.0,2.0,25.0,10642.0
2.0,1.0,38.0,14483.0
1.0,2.0,32.0,2616.0
3.0,2.0,47.0,199436.0
2.0,1.0,34.0,0.0
2.0,2.0,31.0,21703.0
1.0,2.0,32.0,59901.0
1.0,2.0,27.0,19625.0
1.0,2.0,29.0,11386.0
1.0,2.0,24.0,14670.0
