x,y,objectid_1,objectid,bldg_id,bldg_name,address,city,zipcode,csp_sch_id,sch_id,sch_name,sch_label,sch_type,shared,complex,label,tlt,pl,point_x,point_y
-71.00412057520259,42.38879868107347,1,1,1,Guild Bldg,195 Leyden Street,East Boston,2128,4061,4061,Guild Elementary,Guild,ES,,,52,3,Grace,790128.152748,2967094.37762
-71.03048029238414,42.378545298399885,2,2,3,"Kennedy, P Bldg",343 Saratoga Street,East Boston,2128,4541,4541,Kennedy Patrick Elem,PJ Kennedy,ES,,,72,3,Grace,783027.745829,2963317.53394
-71.03389058391973,42.37527867715065,3,3,4,Otis Bldg,218 Marion Street,East Boston,2128,4322,4322,Otis Elementary,Otis,ES,,,106,3,Grace,782112.823908,2962122.0573299997
-71.03801071815423,42.37808861721215,4,4,6,Odonnell Bldg,33 Trenton Street,East Boston,2128,4543,4543,O'Donnell Elementary,O'Donnell,ES,,,103,3,Grace,780994.000003,2963139.99999
-71.03492143425565,42.3809574571799,5,5,7,East Boston High Bldg,86 White Street,East Boston,2128,1070,1070,East Boston High,East Boston HS,HS,,,36,2,Joel,781823.000004,2964189.99999
-71.04032982455949,42.378289993261454,6,6,8,Umana / Barnes Bldg,312 Border Street,East Boston,2128,4323,4323,Umana Academy,Umana Academy,K-8,,,124,3,Grace,780367.000002,2963209.99999
-71.03411994921963,42.36967602277351,7,7,10,East Boston Eec Bldg,135 Gove Street,East Boston,2128,4450,4450,East Boston EEC,East Boston EEC,ELC,,,35,1,Marice,782062.000004,2960079.99998
-71.0343075831713,42.36927367595972,8,8,11,Mckay Bldg,122 Cottage Street,East Boston,2128,4360,4360,McKay K-8,McKay K-8,K-8,,,89,3,Grace,782012.09674,2959933.10018
-71.03489031104762,42.36556300509928,9,9,12,Adams Bldg,165 Webster Street,East Boston,2128,4361,4361,Adams Elementary,Adams,ES,,,1,3,Grace,781862.000004,2958580.00002
-71.05749224520838,42.37662851740173,10,10,13,Harvard-Kent,50 Bunker Hill Street,Charlestown,2129,4280,4280,Harvard/Kent Elem,Harvard/Kent,ES,,,55,3,Grace,775732.999998,2962579.99999
-71.06107059301948,42.38011867740617,11,11,14,Charlestown High Bldg #1 -  Main,240 Medford Street,Charlestown,2129,1050,1050,Charlestown High,Charlestown HS,HS,,,21,4,Jonathan,774759.589533,2963846.89176
-71.06723124432145,42.37908035547464,12,12,15,Edwards Bldg,28 Walker Street,Charlestown,2129,2010,2010,Edwards Middle,Edwards MS,MS,,,38,3,Grace,773096.999996,2963459.99999
-71.06443059275855,42.37799867657933,13,13,16,Warren-Prescott Bldg,50 School Street,Charlestown,2129,4283,4283,Warren/Prescott K-8,Warren/Prescott K-8,K-8,,,128,3,Grace,773855.716508,2963069.66485
-71.0533696697075,42.36610274159122,14,14,17,Eliot Bldg,16 Charter Street,Boston,2113,4381,4381,Eliot K-8,Eliot K-8,K-8,,,39,1,Marice,776866.999999,2958750.00002
-71.06905024656571,42.348408293305276,15,15,21,Abraham Lincoln Building,152 Arlington Street,Boston,2116,1450,1450,Quincy Upper School,Quincy Upper (6-12),K-12,,,112,4,Jonathan,772661.999995,2952280.00001
-71.06492059233261,42.34797867054077,16,16,22,Boston HS Bldg,885 Washington Street,Boston,2111,4650,4650,Quincy Lower (K-5),Quincy Lower (K-5),K-12,,,111,3,Grace,773779.1247640001,2952129.10459
-71.07797059639059,42.35057867099926,17,17,24,Snowden Hs Bldg,150 Newbury Street,Boston,2116,1200,1200,Snowden International,Snowden HS,HS,,,116,4,Anthony,770246.740985,2953058.86974
-71.07352059401761,42.344368669560005,18,18,26,Mckinley Mackey Bldg,90 Warren Avenue,Boston,2116,1291,1291,McKinley Elementary,McKinley Elem,Special,Shared,,90,3,Grace,771460.937914,2950801.8119799998
-71.07352059401761,42.344368669560005,19,19,26,Mckinley Mackey Bldg,90 Warren Avenue,Boston,2116,1294,1294,McKinley So. End Acad,McKinley S. End Acad,Special,Shared,,93,3,Grace,771460.937914,2950801.8119799998
-71.07774059582496,42.338758668670366,20,20,27,Hurley Bldg,70 Worcester Street,Boston,2118,4260,4260,Hurley K-8,Hurley K-8,K-8,,,66,1,Marice,770330.236569,2948751.74884
-71.07246106627973,42.340737551544926,21,21,28,Blackstone Bldg,380 Shawmut Avenue,Boston,2118,4640,4640,Blackstone Elementary,Blackstone,ES,,,7,3,Grace,771753.999994,2949480.00001
-71.07133140528097,42.32621703137502,22,22,31,Mason Bldg,150 Norfolk Avenue,Roxbury,2119,4121,4121,Mason Elementary,Mason,ES,,,85,1,Marice,772085.999995,2944190.0
-71.05819134420365,42.32317619487457,23,23,33,Clap Bldg,35 Harvest Street,Dorchester,2125,4531,4531,Clap Elementary,Clap,ES,,,23,1,Christine,775644.999998,2943100.0
-71.05054058589411,42.33131866845259,24,24,35,Perkins Bldg,50 Burke Street,South Boston,2127,4022,4022,Perkins Elementary,Perkins,ES,,,108,1,Christine,777698.3368,2946078.06208
-71.04489058410691,42.332868668649844,25,25,36,South Boston Ed. Bldg,95 G Street,South Boston,2127,1162,1162,Excel High,Excel HS,HS,,S. Boston EC,45,1,Christine,779223.039425,2946651.00928
-71.03841128441215,42.334870707795595,26,27,37,Tynan Bldg,650 E. Fourth Street,South Boston,2127,4590,4590,Tynan Elementary,Tynan,ES,,,123,1,Christine,780971.000003,2947390.0
-71.03019874375977,42.332120768615546,27,28,38,Perry Bldg,745 E. Seventh Street,South Boston,2127,4592,4592,Perry K-8,Perry K-8,K-8,,,109,1,Christine,783197.000005,2946400.0
-71.0595494085743,42.320382411340674,28,29,39,Russell Bldg,750 Columbia Road,Dorchester,2125,4530,4530,Russell Elementary,Russell,ES,,,115,1,Christine,775282.999998,2942080.0
-71.07790901897478,42.330275209898616,29,30,42,Orchard Gardens K-8,906 Albany Street,Roxbury,2119,4680,4680,Orchard Gardens K-8,Orchard Gardens K-8,K-8,,,105,1,Marice,770299.9999930001,2945660.0
-71.17434062400517,42.282268654205886,30,32,131,West Roxbury Ed. Bldg,1205 V.F.W. Parkway,West Roxbury,2132,1256,1256,West Roxbury Academy,W. Roxbury Acad,HS,Shared,,129,2,Joel,744291.8934729999,2928051.28111
-71.05042965676314,42.33357372197066,31,34,34,Gavin Bldg,215 Dorchester Street,South Boston,2127,2450,2450,UP Academy Boston,UP Academy Boston,MS,,,125,1,Christine,777724.0,2946900.0
-71.08171059688863,42.32702866604833,32,35,44,Wheatley Bldg,20 Kearsage Avenue,Roxbury,2119,1410,1410,Boston Day and Evening Academy,BDEA,Special,,,10,4,Freddie,769277.865976,2944471.83911
-71.08383997549593,42.34055977442439,33,36,45,Carter Center Bldg,396 Northampton Street,Roxbury,2118,4261,4261,Carter Center,Carter Center,Special,,,19,1,Marice,768677.999992,2949400.00001
-71.09029059972147,42.33175866666857,34,37,47,Madison Park Bldg #1,75 Malcolm X Blvd,Roxbury,2120,1210,1210,Madison Park High,Madison Park HS,HS,,,82,4,Ligia,766949.45791,2946184.2737
-71.08879259908205,42.332038667227394,35,38,48,Madison Park Bldg #3 - O'Bryant,55 Malcolm X Blvd,Roxbury,2120,1030,1030,O'Bryant Math & Sci.,O'Bryant School,6/7-12,,,102,4,Anthony,767354.011766,2946288.25978
-71.09097059931555,42.3303986662493,36,39,49,Timilty Bldg,205 Roxbury Street,Roxbury,2119,2040,2040,Timilty Middle,Timilty MS,MS,,,120,2,Kelly,766767.96863,2945687.78285
-71.09104059939536,42.32554866561233,37,40,50,Hale Bldg,51 Cedar Street,Roxbury,2119,4113,4113,Hale Elementary,Hale,ES,,,53,1,Marice,766757.5150939999,2943920.26672
-71.08630956667422,42.32094834318213,38,41,51,Lewis Bldg,131 Walnut Avenue,Roxbury,2119,4242,4242,Higginson/Lewis (3-8),Higginson/Lewis (3-8),K-8,,,62,1,Marice,768044.9999909999,2942250.0
-71.07893912909216,42.31496685447941,39,42,53,Blue Hill Ave Eec Bldg,263 Blue Hill Ave,Roxbury,2119,4460,4460,Haynes EEC,Haynes EEC,ELC,,,56,1,Marice,770048.9999930001,2940080.0
-71.0878410542977,42.31574003488177,40,43,54,Trotter Bldg,135 Humboldt Avenue,Dorchester,2121,4580,4580,Trotter K-8,Trotter K-8,K-8,,,122,2,Kelly,767639.9999909999,2940350.0
-71.08450059643428,42.316158664034354,41,44,55,Boston Latin Academy Bldg,205 Townsend Street,Boston,2121,1020,1020,Boston Latin Academy,Boston Latin Acad,6/7-12,,,13,4,Jonathan,768542.714999,2940506.9388099997
