Date,Value
1941,1
1942,2
1943,9
1944,9
1945,9
1946,10
1947,37
1948,8
1949,16
1950,28
1951,20
1952,49
1953,33
1954,53
1955,32
1956,45
1957,72
1958,47
1959,50
1960,66
1961,48
1962,73
1963,86
1964,88
1965,188
1966,193
1967,188
1968,220
1969,155
1970,147
1971,130
1972,158
1973,226
1974,273
1975,319
1976,279
1977,268
1978,335
1979,245
1980,246
1981,164
1982,183
1983,153
1984,186
1985,218
1986,193
1987,223
1988,241
1989,251
1990,259
1991,234
1992,252
1993,309
1994,421
1995,1078
1996,834
1997,1255
1998,1767
1999,2805
2000,2772
2001,3122
2002,3235
2003,3962
2004,4257
2005,4083
2006,3721
2007,4269
2008,4820
2009,4541
2010,4283
2011,5107
2012,7357
2013,7037
