MSSubClass,MSZoning,LotFrontage,LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,Remodeled,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Fireplaces,GarageArea,PavedDrive,SalePrice
60,RL,65.0,8450,CollgCr,1Fam,2Story,7,5,2003,0,1710,1,0,2,1,3,0,548,Y,208500
20,RL,80.0,9600,Veenker,1Fam,1Story,6,8,1976,0,1262,0,1,2,0,3,1,460,Y,181500
60,RL,68.0,11250,CollgCr,1Fam,2Story,7,5,2001,1,1786,1,0,2,1,3,1,608,Y,223500
70,RL,60.0,9550,Crawfor,1Fam,2Story,7,5,1915,1,1717,1,0,1,0,3,1,642,Y,140000
60,RL,84.0,14260,NoRidge,1Fam,2Story,8,5,2000,0,2198,1,0,2,1,4,1,836,Y,250000
50,RL,85.0,14115,Mitchel,1Fam,1.5Fin,5,5,1993,1,1362,1,0,1,1,1,0,480,Y,143000
20,RL,75.0,10084,Somerst,1Fam,1Story,8,5,2004,1,1694,1,0,2,0,3,1,636,Y,307000
60,RL,,10382,NWAmes,1Fam,2Story,7,6,1973,0,2090,1,0,2,1,3,2,484,Y,200000
50,RM,51.0,6120,OldTown,1Fam,1.5Fin,7,5,1931,1,1774,0,0,2,0,2,2,468,Y,129900
190,RL,50.0,7420,BrkSide,2fmCon,1.5Unf,5,6,1939,1,1077,1,0,1,0,2,2,205,Y,118000
20,RL,70.0,11200,Sawyer,1Fam,1Story,5,5,1965,0,1040,1,0,1,0,3,0,384,Y,129500
60,RL,85.0,11924,NridgHt,1Fam,2Story,9,5,2005,1,2324,1,0,3,0,4,2,736,Y,345000
20,RL,,12968,Sawyer,1Fam,1Story,5,6,1962,0,912,1,0,1,0,2,0,352,Y,144000
20,RL,91.0,10652,CollgCr,1Fam,1Story,7,5,2006,1,1494,0,0,2,0,3,1,840,Y,279500
20,RL,,10920,NAmes,1Fam,1Story,6,5,1960,0,1253,1,0,1,1,2,1,352,Y,157000
45,RM,51.0,6120,BrkSide,1Fam,1.5Unf,7,8,1929,1,854,0,0,1,0,2,0,576,Y,132000
20,RL,,11241,NAmes,1Fam,1Story,6,7,1970,0,1004,1,0,1,0,2,1,480,Y,149000
90,RL,72.0,10791,Sawyer,Duplex,1Story,4,5,1967,0,1296,0,0,2,0,2,0,516,Y,90000
20,RL,66.0,13695,SawyerW,1Fam,1Story,5,5,2004,0,1114,1,0,1,1,3,0,576,Y,159000
20,RL,70.0,7560,NAmes,1Fam,1Story,5,6,1958,1,1339,0,0,1,0,3,0,294,Y,139000
60,RL,101.0,14215,NridgHt,1Fam,2Story,8,5,2005,1,2376,0,0,3,1,4,1,853,Y,325300
45,RM,57.0,7449,IDOTRR,1Fam,1.5Unf,7,7,1930,1,1108,0,0,1,0,3,1,280,N,139400
20,RL,75.0,9742,CollgCr,1Fam,1Story,8,5,2002,0,1795,0,0,2,0,3,1,534,Y,230000
120,RM,44.0,4224,MeadowV,TwnhsE,1Story,5,7,1976,0,1060,1,0,1,0,3,1,572,Y,129900
20,RL,,8246,Sawyer,1Fam,1Story,5,8,1968,1,1060,1,0,1,0,3,1,270,Y,154000
20,RL,110.0,14230,NridgHt,1Fam,1Story,8,5,2007,0,1600,0,0,2,0,3,1,890,Y,256300
20,RL,60.0,7200,NAmes,1Fam,1Story,5,7,1951,1,900,0,1,1,0,3,0,576,Y,134800
20,RL,98.0,11478,NridgHt,1Fam,1Story,8,5,2007,1,1704,1,0,2,0,3,1,772,Y,306000
20,RL,47.0,16321,NAmes,1Fam,1Story,5,6,1957,1,1600,1,0,1,0,2,2,319,Y,207500
30,RM,60.0,6324,BrkSide,1Fam,1Story,4,6,1927,1,520,0,0,1,0,1,0,240,Y,68500
70,C (all),50.0,8500,IDOTRR,1Fam,2Story,4,4,1920,1,1317,0,0,1,0,3,0,250,N,40000
20,RL,,8544,Sawyer,1Fam,1Story,5,6,1966,1,1228,0,0,1,1,3,0,271,Y,149350
20,RL,85.0,11049,CollgCr,1Fam,1Story,8,5,2007,0,1234,0,0,2,0,3,0,484,Y,179900
20,RL,70.0,10552,NAmes,1Fam,1Story,5,5,1959,0,1700,0,1,1,1,4,1,447,Y,165500
120,RL,60.0,7313,NridgHt,TwnhsE,1Story,9,5,2005,0,1561,1,0,2,0,2,1,556,Y,277500
60,RL,108.0,13418,NridgHt,1Fam,2Story,8,5,2004,1,2452,0,0,3,1,4,1,691,Y,309000
20,RL,112.0,10859,CollgCr,1Fam,1Story,5,5,1994,1,1097,0,0,1,1,3,0,672,Y,145000
20,RL,74.0,8532,NAmes,1Fam,1Story,5,6,1954,1,1297,0,1,1,0,3,1,498,Y,153000
20,RL,68.0,7922,NAmes,1Fam,1Story,5,7,1953,1,1057,1,0,1,0,3,0,246,Y,109000
90,RL,65.0,6040,Edwards,Duplex,1Story,4,5,1955,0,1152,0,0,2,0,2,0,0,N,82000
20,RL,84.0,8658,NAmes,1Fam,1Story,6,5,1965,0,1324,0,0,2,0,3,1,440,Y,160000
20,RL,115.0,16905,Timber,1Fam,1Story,5,6,1959,0,1328,0,1,1,1,2,2,308,P,170000
85,RL,,9180,SawyerW,1Fam,SFoyer,5,7,1983,0,884,1,0,1,0,2,0,504,Y,144000
20,RL,,9200,CollgCr,1Fam,1Story,5,6,1975,1,938,1,0,1,0,3,0,308,Y,130250
20,RL,70.0,7945,NAmes,1Fam,1Story,5,6,1959,0,1150,1,0,1,0,3,0,300,Y,141000
120,RL,61.0,7658,NridgHt,TwnhsE,1Story,9,5,2005,0,1752,1,0,2,0,2,1,576,Y,319900
50,RL,48.0,12822,Mitchel,1Fam,1.5Fin,7,5,2003,0,2149,1,0,1,1,1,1,670,Y,239686
20,FV,84.0,11096,Somerst,1Fam,1Story,8,5,2006,0,1656,0,0,2,0,3,0,826,Y,249700
190,RM,33.0,4456,OldTown,2fmCon,2Story,4,5,1920,1,1452,0,0,2,0,2,0,0,N,113000
20,RL,66.0,7742,Sawyer,1Fam,1Story,5,7,1966,0,955,1,0,1,0,3,0,386,Y,127000
60,RL,,13869,Gilbert,1Fam,2Story,6,6,1997,0,1470,0,1,2,0,3,0,388,Y,177000
50,RM,52.0,6240,BrkSide,1Fam,1.5Fin,6,6,1934,1,1176,0,0,1,0,3,1,528,Y,114500
90,RM,110.0,8472,IDOTRR,Duplex,1Story,5,5,1963,0,816,1,0,1,0,2,0,516,Y,110000
20,RL,68.0,50271,Veenker,1Fam,1Story,9,5,1981,1,1842,2,0,0,1,0,1,894,Y,385000
80,RL,60.0,7134,NAmes,1Fam,SLvl,5,5,1955,0,1360,0,0,1,0,3,1,572,Y,130000
20,RL,100.0,10175,NAmes,1Fam,1Story,6,5,1964,0,1425,0,0,2,0,3,1,576,Y,180500
160,FV,24.0,2645,Somerst,Twnhs,2Story,8,5,1999,1,1739,1,0,2,1,3,0,480,Y,172500
60,RL,89.0,11645,CollgCr,1Fam,2Story,7,5,2004,0,1720,0,0,2,1,3,0,565,Y,196500
60,RL,66.0,13682,StoneBr,1Fam,2Story,10,5,2006,0,2945,0,0,3,1,3,1,641,Y,438780
20,RL,60.0,7200,CollgCr,1Fam,1Story,5,7,1972,0,780,0,0,1,0,2,0,352,Y,124900
20,RL,63.0,13072,SawyerW,1Fam,1Story,6,5,2004,0,1158,1,0,1,1,3,0,576,Y,158000
75,RM,60.0,7200,IDOTRR,1Fam,2.5Unf,5,7,1920,1,1111,0,0,1,0,3,0,288,N,101000
120,RL,44.0,6442,NridgHt,TwnhsE,1Story,8,5,2006,0,1370,0,0,2,0,2,1,484,Y,202500
70,RM,50.0,10300,OldTown,1Fam,2Story,7,6,1921,1,1710,0,0,2,0,3,0,480,Y,140000
60,RL,,9375,CollgCr,1Fam,2Story,7,5,1997,1,2034,1,0,2,1,3,0,645,Y,219500
60,RL,76.0,9591,NridgHt,1Fam,2Story,8,5,2004,1,2473,0,0,2,1,4,1,852,Y,317000
20,RL,,19900,NAmes,1Fam,1Story,7,5,1970,1,2207,1,0,2,0,3,1,576,Y,180000
20,RL,72.0,10665,CollgCr,1Fam,1Story,7,5,2003,0,1479,1,0,2,0,3,0,558,Y,226000
30,RM,47.0,4608,OldTown,1Fam,1Story,4,6,1945,1,747,0,0,1,0,2,0,220,Y,80000
50,RL,81.0,15593,ClearCr,1Fam,1.5Fin,7,4,1953,0,2287,0,0,2,0,3,1,667,Y,225000
20,RL,95.0,13651,NAmes,1Fam,1Story,7,6,1973,0,2223,1,0,2,0,3,2,516,Y,244000
20,RL,69.0,7599,Mitchel,1Fam,1Story,4,6,1982,1,845,1,0,1,0,2,0,360,Y,129500
60,RL,74.0,10141,Gilbert,1Fam,2Story,7,5,1998,0,1718,0,0,2,1,3,1,427,Y,185000
20,RL,85.0,10200,NAmes,1Fam,1Story,5,7,1954,1,1086,1,0,1,0,3,0,490,Y,144900
50,RM,60.0,5790,OldTown,1Fam,2Story,3,6,1915,1,1605,0,0,2,0,3,0,379,Y,107400
180,RM,21.0,1596,MeadowV,Twnhs,SLvl,4,5,1973,0,988,1,0,1,0,2,0,297,Y,91000
20,RL,,8475,NAmes,1Fam,1Story,4,7,1956,0,952,0,0,1,0,2,0,283,Y,135750
50,RM,50.0,8635,BrkSide,1Fam,1.5Fin,5,5,1948,1,1285,1,0,1,0,2,0,240,Y,127000
90,RL,72.0,10778,Sawyer,Duplex,1Story,4,5,1968,0,1768,0,0,2,0,4,0,0,Y,136500
50,RM,60.0,10440,OldTown,1Fam,2Story,5,6,1910,1,1230,0,0,1,1,2,0,440,Y,110000
60,RL,100.0,13000,NAmes,1Fam,2Story,6,6,1968,0,2142,0,0,2,1,4,1,509,Y,193500
120,RM,32.0,4500,Mitchel,TwnhsE,1Story,6,5,1998,0,1337,1,0,2,0,2,0,405,Y,153500
20,RL,78.0,10206,Somerst,1Fam,1Story,8,5,2007,0,1563,0,0,2,0,3,1,758,Y,245000
20,RL,80.0,8892,NAmes,1Fam,1Story,5,5,1960,0,1065,0,0,1,1,3,0,461,Y,126500
80,RL,,8530,Gilbert,1Fam,SLvl,7,5,1995,1,1474,0,0,2,1,3,1,400,Y,168500
60,RL,121.0,16059,NoRidge,1Fam,2Story,8,5,1991,1,2417,0,0,2,1,4,1,462,Y,260000
60,RL,122.0,11911,Gilbert,1Fam,2Story,6,5,2005,0,1560,0,0,2,1,3,1,400,Y,174000
160,FV,40.0,3951,Somerst,TwnhsE,2Story,6,5,2009,0,1224,0,0,2,1,2,0,528,Y,164500
50,C (all),105.0,8470,IDOTRR,1Fam,1.5Fin,3,2,1915,1,1526,0,0,1,0,2,0,0,N,85000
20,RL,60.0,8070,CollgCr,1Fam,1Story,4,5,1994,1,990,1,0,1,0,3,0,0,Y,123600
20,RL,60.0,7200,NAmes,1Fam,1Story,4,5,1950,0,1040,0,0,1,0,2,0,420,Y,109900
20,RL,85.0,8500,NAmes,1Fam,1Story,5,3,1961,0,1235,0,0,1,0,2,0,480,Y,98600
30,RL,80.0,13360,Crawfor,1Fam,1Story,5,7,1921,1,964,1,0,1,0,2,0,432,Y,163500
190,C (all),60.0,7200,OldTown,2fmCon,2.5Unf,6,6,1910,1,2291,0,1,2,0,4,1,506,Y,133900
60,RL,69.0,9337,CollgCr,1Fam,2Story,6,5,1997,0,1786,1,0,2,1,3,0,684,Y,204750
60,RL,,9765,Gilbert,1Fam,2Story,6,8,1993,0,1470,0,0,2,1,3,1,420,Y,185000
20,RL,78.0,10264,CollgCr,1Fam,1Story,7,5,1999,0,1588,0,0,2,0,3,0,472,Y,214000
20,RL,73.0,10921,Edwards,1Fam,1Story,4,5,1965,0,960,1,0,1,0,3,0,432,P,94750
30,RL,85.0,10625,Edwards,1Fam,1Story,5,5,1920,1,835,0,0,1,0,2,0,366,Y,83000
20,RL,77.0,9320,NAmes,1Fam,1Story,4,5,1959,0,1225,1,0,1,1,3,0,0,Y,128950
20,RL,,10603,NWAmes,1Fam,1Story,6,7,1977,1,1610,1,0,2,0,3,2,480,Y,205000
