"","product","client","status","amount","num_users"
"1","Product F","Current","Won",7389.52,19
"2","Product C","New","Won",4493.01,43
"3","Product B","New","Won",5738.09,87
"4","Product I","Current","Won",2591.24,83
"5","Product E","Current","Won",6622.97,17
"6","Product B","New","Won",5496.27,2
"7","Product C","Current","Won",3043.13,29
"8","Product N","Current","Won",7340.64,13
"9","Product F","Current","Won",6780.85,80
"10","Product B","Current","Won",5237.24,23
"11","Product B","Current","Won",2273.55,26
"12","Product C","New","Lost",2480.33,6
"13","Product D","New","Lost",4179.72,15
"14","Product F","New","Won",4918.79,43
"15","Product B","Current","Lost",7030.54,41
"16","Product B","Current","Won",4599.65,12
"17","Product D","Current","Won",5282.57,58
"18","Product N","Current","Won",8627.2,7
"19","Product A","Current","Won",9913.27,34
"20","Product I","Current","Won",3220.45,45
"21","Product F","Current","Lost",6849.12,19
"22","Product B","Current","Won",6236.52,2
"23","Product F","Current","Won",5226.04,82
"24","Product A","Current","Won",1625.19,23
"25","Product B","New","Lost",3124.62,31
"26","Product C","New","Won",3342.35,16
"27","Product B","Current","Lost",5701.7,53
"28","Product B","Current","Won",4656.29,26
"29","Product B","Current","Won",4563.53,73
"30","Product B","Current","Lost",5867.54,1
"31","Product C","New","Won",6151.14,66
"32","Product B","Current","Lost",7404.46,13
"33","Product I","Current","Won",3711.23,14
"34","Product E","New","Lost",3706.78,3
"35","Product A","New","Lost",5656.77,33
"36","Product B","Current","Won",8588.35,52
"37","Product N","Current","Won",2738.93,32
"38","Product F","Current","Won",3357.24,53
"39","Product B","Current","Won",2812.45,37
"40","Product I","Current","Won",6533.16,47
"41","Product B","Current","Won",7229.87,99
"42","Product A","Current","Lost",5597.34,89
"43","Product A","Current","Won",5827.35,50
"44","Product D","Current","Won",3328.79,40
"45","Product B","Current","Won",7085.83,17
"46","Product B","Current","Won",8614.12,17
"47","Product B","Current","Won",8222.62,2
"48","Product C","Current","Lost",1548.61,65
"49","Product C","Current","Lost",3727.66,19
