Gender,weight_kg,stature_m,body_height
Male,81.5,1.776,69.92
Male,72.6,1.702,67.01
Male,92.9,1.735,68.31
Male,79.4,1.655,65.16
Male,94.6,1.914,75.35
Male,80.2,1.72,67.72
Male,116.2,1.81,71.26
Male,95.4,1.85,72.83
Male,99.5,1.777,69.96
Male,70.2,1.811,71.3
Male,88.2,1.78,70.08
Male,70.1,1.733,68.23
Male,103.7,1.814,71.42
Male,111.6,1.861,73.27
Male,89.6,1.709,67.28
Male,92.4,1.74,68.5
Male,77.9,1.694,66.69
Male,96.9,1.766,69.53
Male,76.0,1.7480000000000002,68.82
Male,90.8,1.794,70.63
Male,71.4,1.78,70.08
Male,74.6,1.68,66.14
Male,79.2,1.653,65.08
Male,91.5,1.959,77.13
Male,96.5,1.755,69.09
Male,67.5,1.63,64.17
Male,107.3,1.825,71.85
Male,79.3,1.795,70.67
Male,78.2,1.745,68.7
Male,88.2,1.818,71.57
Male,71.5,1.881,74.06
Male,94.7,1.76,69.29
Male,66.5,1.675,65.94
Male,87.9,1.852,72.91
Male,67.5,1.785,70.28
Male,88.4,1.791,70.51
Male,69.5,1.685,66.34
Male,121.8,1.85,72.83
Male,71.9,1.737,68.39
Male,88.1,1.743,68.62
Male,57.5,1.744,68.66
Male,87.6,1.679,66.1
Male,85.0,1.836,72.28
Male,86.5,1.73,68.11
Male,95.8,1.7619999999999998,69.37
Male,66.7,1.669,65.71
Male,70.6,1.74,68.5
Male,84.7,1.709,67.28
Male,101.3,1.879,73.98
Male,85.6,1.6740000000000002,65.91
Male,109.5,1.779,70.04
Male,83.4,1.844,72.6
Male,72.7,1.6369999999999998,64.45
Male,98.6,1.754,69.06
Male,77.3,1.704,67.09
Male,140.0,1.84,72.44
Male,67.4,1.783,70.2
Male,88.4,1.7480000000000002,68.82
Male,98.8,1.703,67.05
Male,95.2,1.852,72.91
Male,56.6,1.609,63.35
Male,71.7,1.709,67.28
Male,71.7,1.835,72.24
Male,80.2,1.679,66.1
Male,98.8,1.742,68.58
Male,66.2,1.6980000000000002,66.85
Male,80.7,1.671,65.79
Male,105.3,1.85,72.83
Male,68.3,1.754,69.06
Male,74.9,1.619,63.74
Male,73.8,1.7719999999999998,69.76
Male,60.4,1.705,67.13
Male,77.4,1.619,63.74
Male,76.8,1.726,67.95
Male,102.2,1.84,72.44
Male,96.3,1.743,68.62
Male,92.3,1.6740000000000002,65.91
Male,98.8,1.75,68.9
Male,88.7,1.819,71.61
Male,98.7,1.7990000000000002,70.83
Male,85.2,1.75,68.9
Male,74.8,1.723,67.83
Male,92.0,1.809,71.22
Male,74.4,1.791,70.51
Male,82.3,1.723,67.83
Male,62.7,1.578,62.13
Male,77.8,1.7180000000000002,67.64
Male,88.2,1.7990000000000002,70.83
Male,59.0,1.74,68.5
Male,73.0,1.702,67.01
Male,86.4,1.737,68.39
Male,86.6,1.73,68.11
Male,73.7,1.785,70.28
Male,65.4,1.817,71.54
Male,69.6,1.843,72.56
Male,77.5,1.791,70.51
