Gender,footlength,headlength,n_legs
Male,273,206,2
Male,263,201,2
Male,270,202,2
Male,267,199,2
Male,305,197,2
Male,254,198,2
Male,285,211,2
Male,281,185,2
Male,266,198,2
Male,278,190,2
Male,265,200,2
Male,256,189,2
Male,291,199,2
Male,274,208,2
Male,266,186,2
Male,278,199,2
Male,270,195,2
Male,270,188,2
Male,266,196,2
Male,277,204,2
Male,275,202,2
Male,254,197,2
Male,267,203,2
Male,301,201,2
Male,277,211,2
Male,263,187,2
Male,266,206,2
Male,275,196,2
Male,278,203,2
Male,271,200,2
Male,262,206,2
Male,273,213,2
Male,269,188,2
Male,280,202,2
Male,265,197,2
Male,284,205,2
Male,236,193,2
Male,295,204,2
Male,284,205,2
Male,275,204,2
Male,250,202,2
Male,258,197,2
Male,293,207,2
Male,269,200,2
Male,272,206,2
Male,256,190,2
Male,260,193,2
Male,237,203,2
Male,295,201,2
Male,255,193,2
Male,287,197,2
Male,279,208,2
Male,255,183,2
Male,268,197,2
Male,265,201,2
Male,283,200,2
Male,282,193,2
Male,253,204,2
Male,267,192,2
Male,286,200,2
Male,249,193,2
Male,248,193,2
Male,270,200,2
Male,264,190,2
Male,267,192,2
Male,264,193,2
Male,248,190,2
Male,284,212,2
Male,264,193,2
Male,255,195,2
Male,274,201,2
Male,278,200,2
Male,256,198,2
Male,256,211,2
Male,273,200,2
Male,256,204,2
Male,256,185,2
Male,299,207,2
Male,274,200,2
Male,297,218,2
Male,255,212,2
Male,260,206,2
Male,278,202,2
Male,272,208,2
Male,260,203,2
Male,233,185,2
Male,273,196,2
Male,268,195,2
Male,268,197,2
Male,268,194,2
Male,269,198,2
Male,266,194,2
Male,268,203,2
Male,287,193,2
Male,277,205,2
Male,264,198,2
Male,248,191,2
Male,265,178,2
Male,262,205,2
Male,269,209,2
Female,246,191,2
Female,249,180,2
Female,265,207,2
Female,265,206,2
Female,247,181,2
Female,270,194,2
Female,241,197,2
Female,255,185,2
Female,234,184,2
Female,245,176,2
Female,270,213,2
Female,260,210,2
Female,234,182,2
Female,263,185,2
Female,238,194,2
Female,249,198,2
Female,257,190,2
Female,256,195,2
Female,253,206,2
Female,235,185,2
Female,233,195,2
Female,250,180,2
Female,231,185,2
Female,251,192,2
Female,258,194,2
Female,242,188,2
Female,223,181,2
Female,236,188,2
Female,251,185,2
Female,258,176,2
Female,246,177,2
Female,252,183,2
Female,269,196,2
Female,245,194,2
Female,246,193,2
Female,238,182,2
Female,251,183,2
Female,234,186,2
Female,237,185,2
Female,249,190,2
Female,248,200,2
Female,259,194,2
Female,247,188,2
Female,255,194,2
Female,250,182,2
Female,250,195,2
Female,244,191,2
Female,252,193,2
Female,257,190,2
Female,257,183,2
Female,244,193,2
Female,256,202,2
Female,269,192,2
Female,238,186,2
Female,229,181,2
Female,233,190,2
Female,243,192,2
Female,247,190,2
Female,242,196,2
Female,230,192,2
Female,272,188,2
Female,258,199,2
Female,220,195,2
Female,250,190,2
Female,257,188,2
Female,250,190,2
Female,243,192,2
Female,235,187,2
Female,262,198,2
Female,248,191,2
Female,244,184,2
Female,226,181,2
Female,247,186,2
Female,257,192,2
Female,230,187,2
Female,253,197,2
Female,238,188,2
Female,259,195,2
Female,240,185,2
Female,254,194,2
Female,265,212,2
Female,267,197,2
Female,253,183,2
Female,253,190,2
Female,254,183,2
Female,238,182,2
Female,243,180,2
Female,242,186,2
Female,259,187,2
Female,238,186,2
Female,239,186,2
Female,239,178,2
Female,237,192,2
Female,246,207,2
Female,268,192,2
Female,215,180,2
Female,232,178,2
Female,252,194,2
Female,247,186,2
Female,226,187,2
