Height m,Buttock Height,Waist Circumference,Shoulder Circumference
1.776,882,933,1151
1.702,870,870,1119
1.735,901,964,1276
1.655,821,857,1155
1.914,1080,868,1231
1.72,871,950,1172
1.81,919,1073,1331
1.85,950,1010,1188
1.777,926,1065,1212
1.811,944,824,1094
1.78,879,994,1203
1.733,937,866,1126
1.814,989,986,1275
1.861,976,1045,1354
1.709,856,1007,1149
1.74,946,1033,1224
1.694,852,908,1145
1.766,910,1028,1152
1.7480000000000002,904,874,1140
1.794,898,999,1146
1.78,895,837,1125
1.68,820,880,1121
1.653,877,978,1170
1.959,1057,827,1203
1.755,893,1030,1160
1.63,825,885,1031
1.825,951,1130,1238
1.795,896,912,1095
1.745,900,864,1084
1.818,901,965,1135
1.881,944,777,1141
1.76,903,1063,1141
1.675,850,870,1040
1.852,989,966,1182
1.785,898,806,1123
1.791,920,1096,1154
1.685,862,895,1013
1.85,963,1214,1253
1.737,897,790,1147
1.743,860,1002,1209
1.744,900,748,1012
1.679,874,1043,1233
1.836,912,864,1150
1.73,893,969,1244
1.7619999999999998,899,1095,1167
1.669,805,770,1086
1.74,844,840,1100
1.709,908,1028,1190
1.879,970,1021,1195
1.6740000000000002,831,1061,1123
1.779,911,1139,1254
1.844,939,922,1164
1.6369999999999998,847,995,1073
1.754,907,1047,1187
1.704,842,885,1155
1.84,971,1379,1309
1.783,973,750,1093
1.7480000000000002,882,970,1184
1.703,898,1068,1252
1.852,936,1012,1234
1.609,841,754,1035
1.709,909,926,1130
1.835,950,827,1065
1.679,883,940,1141
1.742,912,1133,1161
1.6980000000000002,885,843,1037
1.671,840,1021,1112
1.85,969,1061,1258
1.754,884,786,1117
1.619,842,855,1143
1.7719999999999998,917,830,1116
1.705,922,743,1067
1.619,815,967,1143
1.726,870,922,1156
1.84,963,1120,1192
1.743,894,1060,1217
1.6740000000000002,845,1030,1201
1.75,938,974,1264
1.819,935,844,1271
1.7990000000000002,957,969,1189
1.75,932,1010,1173
1.723,914,892,1140
1.809,948,1032,1142
1.791,888,851,1142
1.723,879,979,1193
1.578,746,857,1013
1.7180000000000002,882,979,1116
1.7990000000000002,898,984,1151
1.74,939,721,1095
1.702,870,885,1137
1.737,898,961,1187
1.73,874,996,1142
1.785,901,838,1064
1.817,960,752,1096
1.843,955,775,1128
1.791,950,809,1179
1.6569999999999998,845,862,1128
1.7009999999999998,895,1027,1124
1.786,880,797,1148
1.755,894,1082,1197
1.791,920,942,1157
1.759,890,871,1127
1.79,914,912,1195
1.7819999999999998,896,873,1123
1.839,950,785,961
1.88,977,1023,1154
1.7380000000000002,897,924,1222
1.734,886,1001,1194
1.819,998,901,1220
1.683,884,958,1162
1.815,953,972,1156
1.815,906,939,1154
1.673,845,1003,1197
1.831,931,1139,1243
1.795,959,1162,1161
1.845,960,1111,1228
1.6869999999999998,836,900,1127
1.756,918,998,1117
1.846,1011,1330,1368
1.6569999999999998,836,897,1219
1.632,841,911,1105
1.735,895,861,1186
1.726,889,920,1064
1.877,962,1192,1258
1.887,959,1012,1183
1.765,987,845,1060
1.793,988,843,1201
1.849,930,910,1268
1.811,945,879,1151
1.739,891,1031,1210
1.668,872,929,1085
1.788,926,994,1144
1.746,962,815,1182
1.75,933,983,1165
1.81,923,1004,1242
1.71,853,825,1115
1.847,971,1077,1223
1.811,929,952,1162
1.78,956,1047,1286
1.74,898,851,1170
1.797,919,920,1224
1.755,927,934,1241
1.842,972,1114,1248
1.656,869,967,1157
1.776,908,1007,1183
1.859,989,1109,1199
1.685,850,827,1154
1.775,918,947,1176
1.825,1014,881,1162
1.931,1015,833,1168
1.789,944,963,1235
1.819,953,1100,1295
1.7819999999999998,919,852,1216
1.721,880,941,1200
1.91,1004,1026,1314
1.804,945,978,1181
1.7819999999999998,950,1150,1235
1.777,931,935,1245
1.665,830,923,1096
1.803,950,973,1183
1.879,1008,908,1272
1.733,899,1111,1226
1.835,978,1031,1204
1.7919999999999998,939,1164,1248
1.721,870,1006,1149
1.711,888,1018,1175
1.809,945,992,1216
1.664,869,908,1168
1.807,933,1053,1212
1.705,887,912,1128
1.955,1021,1049,1291
1.73,875,917,1190
1.774,927,1066,1184
1.724,912,848,1080
1.705,888,759,1097
1.838,950,959,1151
1.706,892,970,1203
1.809,960,1068,1225
1.773,933,972,1134
1.734,886,993,1109
1.7480000000000002,898,898,1134
1.651,832,964,1186
1.724,885,881,1107
1.86,954,821,1122
1.715,875,801,1085
1.757,919,845,1126
1.916,979,1134,1252
1.847,992,877,1173
1.855,990,951,1270
1.7180000000000002,880,867,1083
1.641,806,1029,1178
1.833,945,879,1171
1.784,939,1015,1254
1.77,892,1034,1256
1.702,877,844,1107
1.8,933,797,1151
1.715,918,892,1081
1.842,944,865,1153
1.71,880,1031,1158
1.753,951,912,1215
1.935,1015,1086,1243
1.7380000000000002,909,914,1105
1.77,926,923,1189
1.72,917,918,1193
1.673,831,831,1082
1.715,883,1182,1293
1.822,947,1054,1155
1.913,981,1118,1243
1.756,919,963,1187
1.735,881,877,1205
1.726,908,912,1230
1.716,871,973,1242
1.717,879,818,1029
1.7180000000000002,915,783,1103
1.747,923,1015,1260
1.567,861,694,995
1.894,972,1121,1217
1.7380000000000002,927,870,1151
1.862,1002,1015,1218
1.654,858,738,1012
1.6369999999999998,845,1032,1153
1.7380000000000002,884,979,1231
1.813,1024,1017,1261
1.7380000000000002,970,883,1163
1.815,980,1068,1288
1.736,860,1179,1183
1.689,866,993,1174
1.74,913,880,1065
1.7819999999999998,942,977,1104
1.784,961,925,1133
1.6469999999999998,861,1010,1167
1.74,888,1004,1197
1.664,857,744,1083
1.805,945,1045,1235
1.745,932,936,1206
1.605,843,755,1139
1.83,976,997,1215
1.81,967,913,1171
1.731,886,921,1118
1.845,964,899,1122
1.775,965,734,1112
1.795,926,1124,1253
1.664,891,976,1170
1.7519999999999998,906,1084,1176
1.814,963,1026,1143
1.836,981,1078,1265
1.628,849,972,1107
1.64,835,903,1214
1.7280000000000002,850,928,1209
1.606,821,779,1025
