date,people_employed
1978-01-01,5985.7
1978-02-01,6040.6
1978-03-01,6054.2
1978-04-01,6038.3
1978-05-01,6031.3
1978-06-01,6036.1
1978-07-01,6005.4
1978-08-01,6024.3
1978-09-01,6045.9
1978-10-01,6033.8
1978-11-01,6125.4
1978-12-01,5971.3
1979-01-01,6050.7
1979-02-01,6096.2
1979-03-01,6087.7
1979-04-01,6075.6
1979-05-01,6095.7
1979-06-01,6103.9
1979-07-01,6078.5
1979-08-01,6157.8
1979-09-01,6164.0
1979-10-01,6188.8
1979-11-01,6257.2
1979-12-01,6112.9
1980-01-01,6207.2
1980-02-01,6278.7
1980-03-01,6224.9
1980-04-01,6273.4
1980-05-01,6269.9
1980-06-01,6314.1
1980-07-01,6281.4
1980-08-01,6360.0
1980-09-01,6320.2
1980-10-01,6342.0
1980-11-01,6426.6
1980-12-01,6253.0
1981-01-01,6356.5
1981-02-01,6428.1
1981-03-01,6426.3
1981-04-01,6412.4
1981-05-01,6413.9
1981-06-01,6425.3
1981-07-01,6393.7
1981-08-01,6502.7
1981-09-01,6445.3
1981-10-01,6433.3
1981-11-01,6506.9
1981-12-01,6355.5
1982-01-01,6432.4
1982-02-01,6497.4
1982-03-01,6431.6
1982-04-01,6440.9
1982-05-01,6414.3
1982-06-01,6425.9
1982-07-01,6379.3
1982-08-01,6443.5
1982-09-01,6421.1
1982-10-01,6367.0
1982-11-01,6370.2
1982-12-01,6172.2
1983-01-01,6264.1
1983-02-01,6310.4
1983-03-01,6254.5
1983-04-01,6272.8
1983-05-01,6266.5
1983-06-01,6295.0
1983-07-01,6241.1
1983-08-01,6358.2
1983-09-01,6336.2
1983-10-01,6377.5
1983-11-01,6456.4
1983-12-01,6251.4
1984-01-01,6365.4
1984-02-01,6503.2
1984-03-01,6477.6
1984-04-01,6489.7
1984-05-01,6499.0
1984-06-01,6528.7
1984-07-01,6466.1
1984-08-01,6579.8
1984-09-01,6553.2
1984-10-01,6576.1
1984-11-01,6636.0
1984-12-01,6452.4
1985-01-01,6595.7
1985-02-01,6657.4
1985-03-01,6588.8
1985-04-01,6658.0
1985-05-01,6659.4
1985-06-01,6703.4
1985-07-01,6675.6
1985-08-01,6814.7
1985-09-01,6771.1
1985-10-01,6882.0
1985-11-01,6910.8
1985-12-01,6753.6
1986-01-01,6861.9
1986-02-01,6961.9
1986-03-01,6997.9
1986-04-01,6979.0
1986-05-01,7007.7
1986-06-01,6991.5
1986-07-01,6918.6
1986-08-01,7040.6
1986-09-01,7030.4
1986-10-01,7034.2
1986-11-01,7116.8
1986-12-01,6902.5
1987-01-01,7022.3
1987-02-01,7133.4
1987-03-01,7109.6
1987-04-01,7103.6
1987-05-01,7128.9
1987-06-01,7175.6
1987-07-01,7092.3
1987-08-01,7186.5
1987-09-01,7177.4
1987-10-01,7182.2
1987-11-01,7330.7
1987-12-01,7169.4
1988-01-01,7247.4
1988-02-01,7397.4
1988-03-01,7383.4
1988-04-01,7354.9
1988-05-01,7378.3
1988-06-01,7383.1
1988-07-01,7353.4
1988-08-01,7503.2
1988-09-01,7477.3
1988-10-01,7508.7
1988-11-01,7622.9
1988-12-01,7424.9
1989-01-01,7569.7
1989-02-01,7638.3
1989-03-01,7683.2
1989-04-01,7729.3
1989-05-01,7720.5
1989-06-01,7751.8
1989-07-01,7727.6
1989-08-01,7854.4
1989-09-01,7817.8
1989-10-01,7870.7
1989-11-01,7941.6
1989-12-01,7712.6
1990-01-01,7809.1
1990-02-01,7877.5
1990-03-01,7894.3
1990-04-01,7916.1
1990-05-01,7910.0
1990-06-01,7932.9
1990-07-01,7825.0
1990-08-01,7925.5
1990-09-01,7870.5
1990-10-01,7849.9
1990-11-01,7941.2
1990-12-01,7668.8
1991-01-01,7739.3
1991-02-01,7746.5
1991-03-01,7750.5
