,lats,lons
0,34.87057,-114.63332
1,35.00186,-114.63349
2,35.00332,-114.63423
3,35.07971,-114.60899
4,35.11791,-114.63064
5,35.14231,-114.57354
6,35.21811,-114.58031
7,35.37012,-114.61121
8,35.49125,-114.6768
9,35.5417,-114.66076
10,35.60517,-114.65449
11,35.66942,-114.68702
12,35.73579,-114.69704
13,35.81412,-114.70415
14,35.86436,-114.67489
15,35.9167,-114.70883
16,35.98542,-114.74365
17,36.05493,-114.73513
18,36.11546,-114.6729
19,36.15058,-114.51122
20,36.10119,-114.32346
21,36.01461,-114.22646
22,36.09833,-114.1139
23,36.21464,-114.04404
24,36.37619,-114.04338
25,36.60322,-114.04736
26,36.817,-114.05014
27,36.99997,-114.0506
28,37.0004,-114.0506
29,37.0004,-114.05052
30,36.99998,-113.94557
31,36.99998,-113.86852
32,36.99998,-113.62465
33,36.99998,-113.4727
34,36.99998,-113.32097
35,36.99998,-113.17698
36,37.00022,-113.02079
37,37.00017,-112.99281
38,37.00012,-112.96895
39,37.00048,-112.75086
40,37.00094,-112.48455
41,37.00105,-112.32985
42,37.00097,-111.99142
43,37.00166,-111.58602
44,37.00147,-111.39598
45,37.00102,-111.2523
46,37.00247,-111.03957
47,37.00325,-110.73783
48,37.00383,-110.54945
49,36.99828,-110.272
50,36.99845,-110.13851
51,36.99831,-109.83491
52,36.9991,-109.43568
53,36.99926,-109.26993
54,36.99908,-109.04538
55,36.99908,-109.04522
56,36.99897,-109.04522
57,36.8531,-109.04531
58,36.70384,-109.04544
59,36.54513,-109.04547
60,36.41637,-109.04579
61,36.29154,-109.04575
62,36.18724,-109.04601
63,36.03128,-109.04578
64,35.93088,-109.04606
65,35.81044,-109.04621
66,35.65092,-109.04636
67,35.45859,-109.04662
68,35.30697,-109.04644
69,34.91388,-109.04598
70,34.71264,-109.04603
71,34.44558,-109.04633
72,34.08446,-109.04692
73,33.71335,-109.047
74,33.3477,-109.04691
75,33.07165,-109.0474
76,32.70386,-109.04762
77,32.40743,-109.04764
78,32.1771,-109.04811
79,31.87069,-109.04905
80,31.63698,-109.04911
81,31.3325,-109.05004
82,31.33252,-109.0587
83,31.3338,-109.25062
84,31.33396,-109.30069
85,31.334,-109.33682
86,31.33394,-109.38186
87,31.33406,-109.45105
88,31.33393,-109.5287
89,31.33408,-109.62562
90,31.33399,-109.79302
91,31.33341,-109.97582
92,31.33363,-110.20503
93,31.33296,-110.49327
94,31.33299,-110.56918
95,31.33305,-110.65415
96,31.33363,-110.77828
97,31.33328,-110.87564
98,31.33281,-110.93778
99,31.33283,-110.94286
100,31.33257,-110.97553
101,31.34898,-111.12565
102,31.38586,-111.24082
103,31.40231,-111.29191
104,31.41305,-111.32558
105,31.42333,-111.3574
106,31.43196,-111.38483
107,31.45068,-111.44337
108,31.46195,-111.47861
109,31.4678,-111.49725
110,31.47995,-111.53479
111,31.49099,-111.56975
112,31.50825,-111.62412
113,31.51945,-111.66
114,31.54305,-111.73365
115,31.56227,-111.79498
116,31.6012,-111.9182
117,31.61823,-111.97172
118,31.62425,-111.99115
119,31.63623,-112.02937
120,31.65645,-112.09379
121,31.67094,-112.13972
122,31.67701,-112.15906
123,31.69377,-112.21295
124,31.72891,-112.32605
125,31.75165,-112.39932
126,31.76301,-112.43603
127,31.78954,-112.52208
128,31.80473,-112.57141
129,31.82357,-112.63294
130,31.83702,-112.67695
131,31.8513,-112.72356
132,31.86132,-112.75567
133,31.87666,-112.8055
134,31.88514,-112.83423
135,31.89671,-112.8711
136,31.90787,-112.90863
137,31.99917,-113.20884
138,32.0054,-113.2279
139,32.02905,-113.30314
140,32.12566,-113.61086
141,32.17992,-113.78489
142,32.21797,-113.90756
143,32.2376,-113.97121
144,32.28088,-114.11135
145,32.31044,-114.20719
146,32.32538,-114.25559
147,32.33509,-114.28755
148,32.36468,-114.38472
149,32.43408,-114.61337
150,32.48373,-114.77804
151,32.49526,-114.81394
152,32.50602,-114.81518
153,32.50999,-114.80524
154,32.51839,-114.81037
155,32.52419,-114.81335
156,32.53277,-114.80551
157,32.54351,-114.80529
158,32.55396,-114.79282
159,32.56772,-114.79206
160,32.56625,-114.79555
161,32.56133,-114.81362
162,32.57093,-114.80894
163,32.58137,-114.80404
164,32.5955,-114.80093
165,32.60317,-114.80804
166,32.61295,-114.80891
167,32.6238,-114.80192
168,32.62325,-114.79518
169,32.6247,-114.7819
170,32.63705,-114.77309
171,32.65006,-114.76427
172,32.66489,-114.74805
173,32.66985,-114.74638
174,32.67414,-114.74505
175,32.6785,-114.74456
176,32.68221,-114.74203
177,32.68517,-114.74
178,32.68732,-114.73874
179,32.6986,-114.73062
180,32.70545,-114.72924
181,32.71192,-114.72377
182,32.71829,-114.71994
183,32.71943,-114.71919
184,32.73946,-114.69096
185,32.73137,-114.63501
186,32.73487,-114.58576
187,32.87408,-114.46563
188,32.97206,-114.48131
189,33.03255,-114.62973
190,33.23376,-114.68157
191,33.39691,-114.72123
192,33.47131,-114.61185
193,33.58709,-114.5402
194,33.6969,-114.49649
195,33.84446,-114.52801
196,33.91285,-114.51318
197,33.96372,-114.49813
198,34.04257,-114.4355
199,34.12866,-114.35765
200,34.17212,-114.26017
201,34.31087,-114.14737
202,34.41527,-114.29195
203,34.47903,-114.38169
204,34.64288,-114.44166
205,34.71453,-114.48236
206,34.79181,-114.56953
207,34.86997,-114.63305
