shot_id,game_id,lat,lon,minutes_remaining,playoffs,season,shot_distance,shot_type,shot_made_flag
2,20000012,34.0443,-118.4268,10,0,2000-01,15,2PT Field Goal,0.0
3,20000012,33.9093,-118.3708,7,0,2000-01,16,2PT Field Goal,1.0
4,20000012,33.8693,-118.1318,6,0,2000-01,22,2PT Field Goal,0.0
5,20000012,34.0443,-118.2698,6,0,2000-01,0,2PT Field Goal,1.0
6,20000012,34.0553,-118.4148,9,0,2000-01,14,2PT Field Goal,0.0
7,20000012,34.0443,-118.2698,8,0,2000-01,0,2PT Field Goal,1.0
9,20000012,33.9363,-118.3348,6,0,2000-01,12,2PT Field Goal,1.0
10,20000012,33.9193,-118.3028,3,0,2000-01,12,2PT Field Goal,0.0
11,20000012,33.8063,-118.3638,1,0,2000-01,25,3PT Field Goal,0.0
12,20000019,33.9173,-118.1488,11,0,2000-01,17,2PT Field Goal,1.0
13,20000019,33.9343,-118.3368,7,0,2000-01,12,2PT Field Goal,1.0
14,20000019,34.0403,-118.3638,2,0,2000-01,9,2PT Field Goal,0.0
15,20000019,33.9973,-118.2928,1,0,2000-01,5,2PT Field Goal,0.0
16,20000019,33.8523,-118.2078,0,0,2000-01,20,2PT Field Goal,0.0
18,20000019,33.8183,-118.3868,8,0,2000-01,25,3PT Field Goal,1.0
19,20000019,33.9473,-118.4018,11,0,2000-01,16,2PT Field Goal,0.0
21,20000019,33.9003,-118.2668,10,0,2000-01,14,2PT Field Goal,0.0
22,20000019,33.9173,-118.1358,9,0,2000-01,18,2PT Field Goal,0.0
23,20000019,33.9343,-118.2858,7,0,2000-01,11,2PT Field Goal,1.0
24,20000019,33.8943,-118.3788,5,0,2000-01,18,2PT Field Goal,1.0
25,20000019,33.9813,-118.3158,5,0,2000-01,7,2PT Field Goal,1.0
26,20000019,34.0443,-118.2698,2,0,2000-01,0,2PT Field Goal,0.0
27,20000019,33.8483,-118.3278,2,0,2000-01,20,2PT Field Goal,0.0
28,20000019,33.8583,-118.4528,0,0,2000-01,26,3PT Field Goal,0.0
29,20000019,33.8713,-118.1848,8,0,2000-01,19,2PT Field Goal,0.0
30,20000019,33.9573,-118.2668,6,0,2000-01,8,2PT Field Goal,0.0
31,20000019,34.0403,-118.1488,1,0,2000-01,12,2PT Field Goal,1.0
32,20000019,34.0103,-118.1428,0,0,2000-01,13,2PT Field Goal,0.0
39,20000047,33.8603,-118.1788,3,0,2000-01,20,2PT Field Goal,1.0
40,20000047,33.7723,-118.2968,0,0,2000-01,27,3PT Field Goal,1.0
41,20000047,33.9783,-118.4458,11,0,2000-01,18,2PT Field Goal,0.0
42,20000047,34.0403,-118.2628,10,0,2000-01,0,2PT Field Goal,1.0
43,20000047,33.9113,-118.1198,8,0,2000-01,20,2PT Field Goal,1.0
44,20000047,34.0293,-118.2208,8,0,2000-01,5,2PT Field Goal,0.0
46,20000047,34.0403,-118.2738,3,0,2000-01,0,2PT Field Goal,1.0
47,20000047,34.0403,-118.2738,2,0,2000-01,0,2PT Field Goal,0.0
48,20000047,34.0353,-118.2688,2,0,2000-01,0,2PT Field Goal,1.0
49,20000047,33.9243,-118.1488,4,0,2000-01,17,2PT Field Goal,1.0
51,20000047,34.0353,-118.2688,1,0,2000-01,0,2PT Field Goal,0.0
52,20000047,34.0353,-118.2818,1,0,2000-01,1,2PT Field Goal,0.0
53,20000049,33.9743,-118.2458,10,0,2000-01,7,2PT Field Goal,0.0
54,20000049,34.0483,-118.4588,10,0,2000-01,18,2PT Field Goal,0.0
56,20000049,33.8503,-118.4248,2,0,2000-01,24,3PT Field Goal,0.0
57,20000049,33.8163,-118.2688,11,0,2000-01,22,3PT Field Goal,1.0
58,20000049,34.0443,-118.2698,8,0,2000-01,0,2PT Field Goal,1.0
59,20000049,34.0443,-118.2698,4,0,2000-01,0,2PT Field Goal,1.0
61,20000049,33.9363,-118.3028,2,0,2000-01,11,2PT Field Goal,0.0
62,20000049,33.9953,-118.2478,0,0,2000-01,5,2PT Field Goal,1.0
63,20000049,34.0443,-118.2698,9,0,2000-01,0,2PT Field Goal,0.0
64,20000049,34.0233,-118.2138,0,0,2000-01,5,2PT Field Goal,0.0
65,20000049,34.0183,-118.1488,0,0,2000-01,12,2PT Field Goal,1.0
68,20000058,33.9873,-118.0388,8,0,2000-01,23,3PT Field Goal,0.0
69,20000058,34.0443,-118.2698,7,0,2000-01,0,2PT Field Goal,1.0
70,20000058,34.0443,-118.2698,7,0,2000-01,0,2PT Field Goal,1.0
72,20000058,33.7873,-118.2628,3,0,2000-01,25,3PT Field Goal,1.0
73,20000058,34.0443,-118.2698,7,0,2000-01,0,2PT Field Goal,1.0
74,20000058,33.9873,-118.2188,2,0,2000-01,7,2PT Field Goal,0.0
75,20000058,33.8543,-118.1028,0,0,2000-01,25,3PT Field Goal,0.0
76,20000058,33.8543,-118.3888,11,0,2000-01,22,2PT Field Goal,1.0
77,20000058,33.9873,-118.2538,9,0,2000-01,5,2PT Field Goal,0.0
78,20000058,33.9343,-118.3538,7,0,2000-01,13,2PT Field Goal,0.0
79,20000058,34.0023,-118.3408,0,0,2000-01,8,2PT Field Goal,0.0
81,20000058,33.9113,-118.2398,5,0,2000-01,13,2PT Field Goal,1.0
82,20000058,33.8883,-118.2688,0,0,2000-01,15,2PT Field Goal,0.0
83,20000068,33.8333,-118.1378,11,0,2000-01,24,3PT Field Goal,0.0
84,20000068,34.0403,-118.2778,10,0,2000-01,0,2PT Field Goal,0.0
87,20000068,33.9173,-118.1378,6,0,2000-01,18,2PT Field Goal,1.0
88,20000068,33.8563,-118.2988,5,0,2000-01,19,2PT Field Goal,1.0
89,20000068,33.9683,-118.1298,2,0,2000-01,15,2PT Field Goal,1.0
90,20000068,34.0443,-118.1298,1,0,2000-01,14,2PT Field Goal,1.0
91,20000068,33.8883,-118.2708,1,0,2000-01,15,2PT Field Goal,1.0
92,20000068,34.0403,-118.4208,0,0,2000-01,15,2PT Field Goal,1.0
93,20000068,33.9683,-118.1598,10,0,2000-01,13,2PT Field Goal,0.0
94,20000068,33.9573,-118.1378,9,0,2000-01,15,2PT Field Goal,0.0
96,20000068,33.7933,-118.3278,3,0,2000-01,25,3PT Field Goal,1.0
97,20000068,33.8843,-118.3638,3,0,2000-01,18,2PT Field Goal,1.0
98,20000068,33.8943,-118.4628,0,0,2000-01,24,3PT Field Goal,0.0
99,20000068,34.0443,-118.1298,0,0,2000-01,14,2PT Field Goal,1.0
100,20000068,34.0353,-118.2308,11,0,2000-01,4,2PT Field Goal,0.0
101,20000068,33.8943,-118.2458,9,0,2000-01,15,2PT Field Goal,0.0
102,20000068,34.0443,-118.2708,7,0,2000-01,0,2PT Field Goal,1.0
103,20000068,33.9113,-118.1508,6,0,2000-01,17,2PT Field Goal,1.0
