avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_inc_price,inc_pct,weekday_pct,fancy_car_user,city_Carthag,city_Harko,phone_iPhone,first_month_cat_more_1_trip,first_month_cat_no_trips,month_5_still_here
3.67,5.0,4.7,1.1,15.4,46.2,True,0,1,1,1,0,1
8.26,5.0,5.0,1.0,0.0,50.0,False,1,0,0,0,1,0
0.77,5.0,4.3,1.0,0.0,100.0,False,1,0,1,1,0,0
2.36,4.9,4.6,1.14,20.0,80.0,True,0,1,1,1,0,1
3.13,4.9,4.4,1.19,11.8,82.4,False,0,0,0,1,0,0
10.56,5.0,3.5,1.0,0.0,100.0,True,0,0,1,1,0,1
3.95,4.0,,1.0,0.0,100.0,False,1,0,0,0,0,0
2.04,5.0,5.0,1.0,0.0,100.0,False,0,0,1,1,0,0
4.36,5.0,4.5,1.0,0.0,100.0,False,0,0,0,1,0,0
2.37,5.0,,1.0,0.0,0.0,False,0,0,0,0,0,0
4.28,4.9,5.0,1.0,0.0,100.0,True,0,0,1,0,0,1
3.81,5.0,4.0,1.0,0.0,100.0,False,0,0,1,1,0,0
20.29,5.0,,1.0,0.0,100.0,False,0,0,1,0,0,0
3.04,5.0,4.0,1.38,50.0,50.0,False,0,1,1,0,1,1
26.01,5.0,,1.0,0.0,100.0,False,1,0,0,0,0,0
13.2,5.0,,1.0,0.0,100.0,True,0,0,0,0,0,0
10.86,3.0,5.0,1.0,0.0,50.0,True,0,1,0,0,0,1
2.38,4.8,3.9,1.0,0.0,95.2,True,0,1,1,0,1,1
6.83,4.8,4.6,1.21,30.8,80.8,True,0,1,1,1,0,1
12.08,5.0,5.0,1.17,33.3,66.7,False,0,1,1,0,1,1
2.53,3.0,,1.0,0.0,50.0,False,0,0,0,0,0,0
3.31,5.0,,1.0,0.0,100.0,False,1,0,1,0,0,0
11.47,5.0,,1.0,0.0,100.0,False,0,0,1,0,1,0
7.74,5.0,5.0,1.0,0.0,100.0,True,0,1,0,0,1,1
2.1,4.7,4.5,1.02,9.1,36.4,False,1,0,1,1,0,0
14.48,5.0,,1.0,0.0,100.0,True,0,0,1,0,0,0
1.66,5.0,4.0,1.0,0.0,100.0,False,1,0,0,0,0,0
3.05,5.0,5.0,1.05,20.0,100.0,False,0,0,1,1,0,0
5.97,5.0,,1.5,100.0,0.0,False,0,0,1,0,1,1
11.25,5.0,4.0,1.0,0.0,100.0,False,1,0,0,0,0,0
6.12,4.8,5.0,1.0,0.0,25.0,True,1,0,1,1,0,0
11.86,5.0,4.9,1.0,0.0,40.0,False,0,0,1,0,0,1
10.01,5.0,4.0,2.0,100.0,100.0,False,0,0,1,0,0,1
4.48,5.0,,1.0,0.0,100.0,True,0,0,1,0,0,0
4.12,5.0,,1.25,100.0,100.0,False,1,0,0,0,0,0
14.16,5.0,5.0,1.0,0.0,100.0,False,0,1,0,1,0,0
2.43,4.5,,1.0,0.0,50.0,False,1,0,1,1,0,1
1.38,5.0,4.0,1.0,0.0,50.0,False,1,0,1,0,1,0
4.69,4.8,4.9,1.04,5.8,61.6,True,0,1,1,1,0,1
13.73,5.0,,1.0,0.0,100.0,True,0,1,1,0,0,1
0.83,5.0,4.0,1.0,0.0,50.0,False,0,0,1,1,0,0
3.8,5.0,4.0,1.88,50.0,0.0,False,0,0,1,0,1,0
5.72,5.0,4.0,1.5,100.0,0.0,False,0,0,0,0,0,0
16.52,5.0,4.5,1.0,0.0,50.0,False,0,0,1,0,0,0
1.4,5.0,5.0,1.0,0.0,66.7,True,0,1,1,1,0,1
3.0,4.2,4.0,1.0,0.0,50.0,False,1,0,0,1,0,0
2.93,5.0,5.0,1.33,33.3,100.0,False,1,0,1,1,0,0
3.61,5.0,5.0,1.25,100.0,0.0,False,0,0,1,0,0,0
1.75,4.8,4.8,1.0,0.0,100.0,False,0,0,1,1,0,0
10.54,4.7,4.4,1.0,0.0,71.4,False,0,0,1,1,0,1
3.25,5.0,5.0,1.25,100.0,0.0,False,0,0,0,0,1,0
3.24,5.0,4.5,1.0,0.0,52.4,False,0,0,0,1,0,0
4.98,5.0,5.0,1.0,0.0,80.0,False,0,0,1,0,1,1
3.15,4.8,4.4,1.56,22.2,22.2,True,1,0,1,1,0,0
4.94,5.0,3.5,1.5,50.0,50.0,False,0,0,1,1,0,1
36.01,5.0,4.0,1.0,0.0,100.0,False,0,0,1,0,0,0
23.49,5.0,2.5,1.0,0.0,100.0,False,1,0,0,0,0,0
10.21,5.0,4.3,1.0,0.0,66.7,False,1,0,0,0,1,0
2.6,5.0,5.0,1.0,0.0,40.0,False,1,0,1,0,1,0
6.05,4.5,5.0,1.25,100.0,0.0,False,1,0,1,0,0,0
3.01,5.0,,1.0,0.0,0.0,True,1,0,1,0,0,0
4.66,5.0,,1.0,0.0,0.0,False,1,0,1,0,0,0
4.81,4.8,4.5,1.06,25.0,75.0,False,0,1,1,0,1,0
