,lats,lons
0,38.215,-109.04984
1,38.40118,-109.06017
2,38.60929,-109.06015
3,38.81393,-109.05655
4,38.95788,-109.05305
5,39.11656,-109.05158
6,39.22605,-109.05119
7,39.36423,-109.05077
8,39.56752,-109.05132
9,39.79876,-109.05077
10,40.03782,-109.05087
11,40.18844,-109.05088
12,40.2929,-109.05093
13,40.41493,-109.05088
14,40.50615,-109.05051
15,40.68445,-109.04899
16,40.87296,-109.04907
17,41.00066,-109.05008
18,41.00051,-109.03134
19,41.00013,-108.83854
20,41.0001,-108.6996
21,40.99996,-108.59802
22,41.00008,-108.46524
23,41.00011,-108.25764
24,41.00139,-108.10567
25,41.00205,-107.91411
26,41.00197,-107.75063
27,41.00228,-107.55479
28,41.00305,-107.35937
29,41.00283,-107.27483
30,41.00305,-107.12561
31,41.00315,-106.9166
32,41.00213,-106.59389
33,40.99927,-106.32621
34,40.997,-106.06118
35,40.99701,-105.82273
36,40.99722,-105.60473
37,40.99766,-105.46928
38,40.99818,-105.2756
39,40.9983,-105.07514
40,40.99826,-104.86787
41,41.00153,-104.58704
42,41.00162,-104.24506
43,41.00139,-104.0535
44,41.00141,-104.05325
45,41.00153,-104.05153
46,41.00166,-103.90732
47,41.0017,-103.61529
48,41.00185,-103.46471
49,41.00191,-103.30624
50,41.00239,-103.00202
51,41.00231,-102.88728
52,41.00234,-102.76668
53,41.00243,-102.55879
54,41.00245,-102.38345
55,41.00235,-102.23951
56,41.00247,-102.12861
57,40.97899,-102.05156
58,40.9255,-102.05154
59,40.87501,-102.05152
60,40.82214,-102.05145
61,40.75901,-102.05143
62,40.71742,-102.05144
63,40.69984,-102.05144
64,40.65115,-102.0515
65,40.61334,-102.0515
66,40.55651,-102.05152
67,40.48846,-102.05131
68,40.31022,-102.05145
69,40.1605,-102.05176
70,40.01399,-102.05176
71,40.00308,-102.05174
72,40.00061,-102.05174
73,39.87098,-102.05139
74,39.67645,-102.0506
75,39.53889,-102.04955
76,39.40853,-102.04907
77,39.33572,-102.04875
78,39.24305,-102.04802
79,38.84279,-102.04541
80,38.66387,-102.04514
81,38.59586,-102.04524
82,38.52933,-102.04494
83,38.47219,-102.04501
84,38.41997,-102.04479
85,38.30634,-102.04452
86,38.26504,-102.04447
87,38.17556,-102.04431
88,38.05734,-102.04456
89,37.94303,-102.04402
90,37.80941,-102.04286
91,37.68749,-102.04166
92,37.49347,-102.04179
93,37.45597,-102.04178
94,37.3385,-102.04192
95,37.22191,-102.04196
96,37.10676,-102.04199
97,36.99352,-102.0421
98,36.99302,-102.04209
99,36.99306,-102.04538
100,36.99305,-102.05418
101,36.99311,-102.07425
102,36.99325,-102.09059
103,36.99357,-102.17511
104,36.99367,-102.19751
105,36.9942,-102.24848
106,36.99439,-102.26493
107,36.99425,-102.29933
108,36.99441,-102.34378
109,36.99457,-102.35537
110,36.99479,-102.40232
111,36.99494,-102.49444
112,36.99487,-102.52468
113,36.99513,-102.57091
114,36.99504,-102.62547
115,36.9952,-102.68337
116,36.99557,-102.7059
117,36.99885,-102.77324
118,36.99977,-102.81507
119,36.99959,-102.86545
120,36.99944,-102.89315
121,36.99908,-102.9279
122,36.99855,-102.97961
123,36.99852,-102.98698
124,37.0001,-103.00214
125,37.0001,-103.0022
126,37.00021,-103.01356
127,36.99956,-103.26061
128,36.99892,-103.53892
129,36.99669,-103.92627
130,36.99511,-104.17265
131,36.99367,-104.49245
132,36.9935,-104.76311
133,36.99527,-105.15658
134,36.99589,-105.50752
135,36.99578,-105.6576
136,36.99556,-105.93761
137,36.99469,-106.15386
138,36.99378,-106.4654
139,36.99303,-106.61906
140,36.99263,-106.73137
141,37.00014,-106.89142
142,37.00001,-107.00562
143,37.00001,-107.25094
144,37.0,-107.4121
145,37.00001,-107.49519
146,37.0,-107.8669
147,36.99924,-108.20233
148,36.99927,-108.52833
149,36.99887,-108.7496
150,36.99885,-108.8978
151,36.99908,-109.04518
152,36.99908,-109.04522
153,37.01706,-109.04531
154,37.09597,-109.04519
155,37.20443,-109.04583
156,37.35363,-109.04582
157,37.5667,-109.04191
158,37.7899,-109.04159
159,37.97469,-109.04304
160,38.10272,-109.04232
161,38.21472,-109.0498
