Stock Symbol,Market Capitalization,Last Sale,Number of Shares
RIO,70431.47689512,38.94,1808.717948
ILMN,25409.384,173.68,146.29999999999998
CPRT,13620.922869400001,29.65,459.39031600000004
EL,31122.51001104,84.94,366.405816
AMZN,422138.53062606,884.67,477.170618
PAA,22223.00141568,30.72,723.404994
GS,88840.59047748,223.32,397.81743900000004
AMGN,118927.21053531,161.61,735.890171
MA,123330.089602,111.22,1108.8841
TEF,54609.8060916,10.84,5037.8049900000005
AAPL,740024.4670000001,141.05,5246.54
UPS,90180.88675596,103.74,869.2971540000001
