DATE,US10Y
1962-01-02,4.06
1962-01-03,4.03
1962-01-04,3.99
1962-01-05,4.02
1962-01-08,4.03
1962-01-09,4.05
1962-01-10,4.07
1962-01-11,4.08
1962-01-12,4.08
1962-01-15,4.1
1962-01-16,4.13
1962-01-17,4.12
1962-01-18,4.11
1962-01-19,4.11
1962-01-22,4.09
1962-01-23,4.11
1962-01-24,4.1
1962-01-25,4.11
1962-01-26,4.11
1962-01-29,4.12
1962-01-30,4.11
1962-01-31,4.1
1962-02-01,4.09
1962-02-02,4.08
1962-02-05,4.07
1962-02-06,4.06
1962-02-07,4.07
1962-02-08,4.07
1962-02-09,4.05
1962-02-13,4.03
1962-02-14,4.03
1962-02-15,4.02
1962-02-16,4.02
1962-02-19,4.01
1962-02-20,4.05
1962-02-21,4.03
1962-02-23,4.02
1962-02-26,4.0
1962-02-27,4.01
1962-02-28,4.0
1962-03-01,3.98
1962-03-02,3.98
1962-03-05,4.0
1962-03-06,4.01
1962-03-07,4.0
1962-03-08,3.98
1962-03-09,3.96
1962-03-12,3.94
1962-03-13,3.92
1962-03-14,3.93
1962-03-15,3.96
1962-03-16,3.96
1962-03-19,3.93
1962-03-20,3.91
1962-03-21,3.86
1962-03-22,3.83
1962-03-23,3.87
1962-03-26,3.89
1962-03-27,3.9
1962-03-28,3.9
1962-03-29,3.9
1962-03-30,3.86
1962-04-02,3.86
1962-04-03,3.83
1962-04-04,3.78
1962-04-05,3.84
1962-04-06,3.81
1962-04-09,3.83
1962-04-10,3.83
1962-04-11,3.87
1962-04-12,3.86
1962-04-13,3.85
1962-04-16,3.83
1962-04-17,3.82
1962-04-18,3.81
1962-04-19,3.82
1962-04-23,3.86
1962-04-24,3.87
1962-04-25,3.88
1962-04-26,3.89
1962-04-27,3.86
1962-04-30,3.86
1962-05-01,3.85
1962-05-02,3.86
1962-05-03,3.86
1962-05-04,3.87
1962-05-07,3.86
1962-05-08,3.85
1962-05-09,3.82
1962-05-10,3.83
1962-05-11,3.82
1962-05-14,3.85
