host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews,latitude,longitude,city,zipcode,state
92%,91%,26,4,Entire home/apt,1.0,1.0,2.0,$160.00,$115.00,$100.00,1,1125,0,38.89004639122911,-77.00280809585989,Washington,20003,DC
90%,100%,1,6,Entire home/apt,3.0,3.0,3.0,$350.00,$100.00,,2,30,65,38.8804128178772,-76.99048486656278,Washington,20003,DC
90%,100%,2,1,Private room,1.0,2.0,1.0,$50.00,,,2,1125,1,38.955290920012935,-76.98600573987196,Hyattsville,20782,MD
100%,,1,2,Private room,1.0,1.0,1.0,$95.00,,,1,1125,0,38.87213387626038,-77.01963879029286,Washington,20024,DC
92%,67%,1,4,Entire home/apt,1.0,1.0,1.0,$50.00,$15.00,$450.00,7,1125,0,38.99638162960485,-77.04154100805377,Silver Spring,20910,MD
100%,100%,1,4,Entire home/apt,2.0,1.0,4.0,$99.00,,,1,1125,0,38.86248633332464,-77.01506201226306,Washington,20024,DC
100%,,1,4,Entire home/apt,2.0,2.0,2.0,$100.00,$50.00,$150.00,3,1125,0,38.97473766236357,-77.02707576392561,Washington,20012,DC
100%,,1,2,Entire home/apt,1.0,1.0,1.0,$100.00,,,1,1125,0,38.94148563005341,-76.96848475174315,Mount Rainier,20712,MD
94%,99%,8,2,Private room,1.0,1.5,1.0,$38.00,,,2,180,1,38.88010495915033,-76.91903054173277,Capitol Heights,20743,MD
100%,100%,9,2,Private room,1.0,,1.0,$71.00,$10.00,,2,365,4,38.9755924466805,-77.01071326308973,Takoma Park,20912,MD
100%,100%,1,4,Entire home/apt,2.0,1.5,2.0,$97.00,$50.00,$250.00,4,1125,5,38.980066714279424,-77.0155378956782,Takoma Park,20912,MD
88%,100%,1,1,Entire home/apt,1.0,1.0,1.0,$55.00,,$100.00,3,1125,1,38.99593774850085,-77.03614116908322,Silver Spring,20910,MD
,,1,2,Private room,1.0,1.0,1.0,$50.00,$20.00,$150.00,2,14,0,38.992049962635534,-77.04652369251919,Silver Spring,20910,MD
68%,73%,7,2,Entire home/apt,0.0,1.0,1.0,$99.00,$125.00,,7,1125,0,38.990226448992075,-77.02981677137574,Silver Spring,20910,MD
100%,100%,9,2,Private room,1.0,,1.0,$60.00,$10.00,,2,1125,2,38.97553591505653,-77.00896191706894,Takoma Park,20912,MD
100%,83%,1,2,Private room,1.0,1.0,1.0,$52.00,,,1,1125,1,38.9407088482042,-76.96570499365978,Mount Rainier,20712,MD
100%,100%,1,1,Private room,1.0,1.0,1.0,$23.00,$5.00,,1,1125,1,38.961838478629886,-76.99393298218185,Hyattsville,20782,MD
,100%,1,2,Shared room,1.0,1.0,2.0,$200.00,,$100.00,1,1125,0,38.99203001005236,-77.03090636830514,Silver Spring,20910,MD
83%,80%,1,4,Entire home/apt,2.0,1.0,2.0,$40.00,,,1,1125,0,38.944419673752535,-76.96808640460867,Mount Rainier,20712,MD
,,3,2,Private room,1.0,1.0,1.0,$135.00,,,1,1125,0,38.98394170127895,-77.01972978527805,Takoma Park,20912,MD
100%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$100.00,,,1,1125,0,38.94550837578935,-76.97051506299728,Mount Rainier,20712,MD
,,3,2,Private room,1.0,1.0,1.0,$225.00,,,1,1125,0,38.984198398993456,-77.01999601408954,Takoma Park,20912,MD
,,1,7,Entire home/apt,4.0,3.0,3.0,$129.00,$99.00,$99.00,14,1125,0,38.982899262943896,-77.01764883121191,Takoma Park,20912,MD
100%,100%,1,1,Entire home/apt,1.0,1.0,1.0,$149.00,,,3,31,46,38.92876060057413,-77.04808778036295,Washington,20008,DC
100%,100%,2,4,Entire home/apt,1.0,1.0,2.0,$150.00,$30.00,$100.00,2,365,84,38.90901841899183,-77.0331777430025,Washington,20005,DC
53%,69%,1,4,Entire home/apt,1.0,1.5,1.0,$175.00,$25.00,,1,1125,25,38.90683106627096,-77.0298755829177,Washington,20005,DC
100%,100%,1,3,Entire home/apt,2.0,1.0,2.0,$239.00,$50.00,,5,1125,4,38.912855131293284,-77.02218392962384,Washington,20001,DC
56%,83%,1,4,Private room,1.0,1.0,2.0,$65.00,,,2,1125,2,38.9060253264906,-77.02140580725231,Washington,20001,DC
52%,84%,1,2,Private room,1.0,1.0,1.0,$71.00,$12.00,,2,14,83,38.908365442193016,-77.0228204269382,Washington,20001,DC
97%,100%,3,2,Entire home/apt,1.0,1.0,1.0,$80.00,,,1,1125,19,38.9082324155797,-77.02509193940847,Washington,20001,DC
100%,100%,3,4,Private room,1.0,2.5,3.0,$250.00,,,1,730,94,38.910460914011566,-77.01933067654679,Washington,20001,DC
90%,100%,5,2,Private room,1.0,1.0,1.0,$138.00,$50.00,$250.00,1,365,47,38.9123511972699,-77.01873259775239,Washington,20001,DC
100%,93%,1,2,Private room,1.0,1.0,1.0,$94.00,,,2,21,150,38.910427750000245,-77.02061906603802,Washington,20001,DC
100%,50%,2,5,Entire home/apt,2.0,2.5,2.0,$283.00,$120.00,$500.00,3,1125,15,38.90797862892696,-77.01899722767571,Washington,20001,DC
100%,,1,3,Entire home/apt,1.0,1.0,3.0,$127.00,,,3,16,0,38.90575583018335,-77.02955146632344,Washington,20005,DC
93%,96%,2,6,Private room,1.0,1.0,3.0,$79.00,,,1,365,69,38.908512075782255,-77.02558253160261,Washington,20001,DC
100%,100%,1,3,Entire home/apt,1.0,1.0,1.0,$110.00,,,1,1125,1,38.91358762298939,-77.02563637553855,Washington,20001,DC
100%,97%,3,6,Shared room,1.0,1.0,6.0,$38.00,,,1,1125,2,38.911073878290296,-77.02320663099482,Washington,20001,DC
92%,94%,30,9,Entire home/apt,3.0,2.5,5.0,$480.00,$200.00,,3,1125,5,38.91285095094803,-77.03385691281319,Washington,20009,DC
80%,100%,1,6,Entire home/apt,2.0,2.0,3.0,$372.00,$80.00,,3,1125,33,38.9095093867612,-77.03267770094088,Washington,20005,DC
100%,100%,1,3,Entire home/apt,1.0,1.0,2.0,$125.00,$60.00,,1,30,11,38.910351186734275,-77.02361654527581,Washington,20001,DC
100%,79%,1,2,Private room,1.0,1.0,1.0,$89.00,$30.00,$200.00,1,1125,3,38.90760295024043,-77.02877664056433,Washington,20005,DC
40%,71%,2,1,Shared room,1.0,1.0,1.0,$80.00,,,1,1125,5,38.90990321023629,-77.02164964492246,Washington,20001,DC
92%,94%,30,5,Entire home/apt,0.0,1.0,3.0,$90.00,$100.00,,3,999,29,38.90633377312985,-77.02626349357753,Washington,20001,DC
92%,100%,4,3,Entire home/apt,0.0,1.0,2.0,$110.00,$35.00,,2,1125,32,38.907121885479455,-77.01903729507609,Washington,20001,DC
88%,100%,1,3,Entire home/apt,2.0,1.0,3.0,$100.00,$40.00,,3,1125,1,38.91206898653665,-77.02654476734179,Washington,20001,DC
100%,100%,1,4,Entire home/apt,2.0,2.0,2.0,$250.00,$75.00,$250.00,1,100,15,38.90988181720586,-77.03371969019534,Washington,20009,DC
100%,100%,5,1,Private room,1.0,1.0,1.0,$55.00,$75.00,$150.00,1,1125,0,38.84693412008282,-76.99929431752898,Washington,20032,DC
100%,100%,5,3,Private room,1.0,1.0,2.0,$55.00,$75.00,$150.00,1,1125,5,38.84724289392867,-76.99915558858592,Washington,20032,DC
,,1,2,Entire home/apt,1.0,1.0,1.0,$400.00,,$200.00,2,4,0,38.828052475491035,-77.01045126611365,Washington,20032,DC
100%,100%,5,1,Private room,1.0,1.0,1.0,$35.00,$25.00,,1,1125,0,38.848243346944095,-76.99924951505092,Washington,20032,DC
,,1,4,Entire home/apt,2.0,2.0,2.0,$160.00,$30.00,$200.00,2,8,5,38.827222736498925,-77.00919578237612,Washington,20032,DC
100%,100%,2,4,Entire home/apt,2.0,2.5,2.0,$130.00,$60.00,$300.00,2,1125,1,38.828719292583386,-77.00783413919703,Washington,20032,DC
100%,100%,1,1,Private room,1.0,1.0,1.0,$50.00,,,1,1125,0,38.82636204488911,-76.9978667102933,Washington,20032,DC
50%,,1,2,Private room,1.0,1.0,1.0,$150.00,,,1,1125,0,38.83454144969253,-77.00560652875083,Washington,20032,DC
80%,67%,1,2,Private room,1.0,1.5,1.0,$40.00,,,1,1125,9,38.843063835858494,-76.99158706873646,Washington,20032,DC
100%,100%,5,2,Private room,1.0,1.0,1.0,$45.00,,,1,1125,0,38.84683349521366,-76.99945653408345,Washington,20032,DC
100%,100%,2,2,Private room,1.0,2.5,1.0,$55.00,$25.00,$300.00,2,1125,0,38.827756612080705,-77.00832680323595,Washington,20032,DC
,,1,2,Entire home/apt,1.0,1.0,1.0,$200.00,,,1,1125,1,38.8250605190409,-76.99874060485254,Washington,20032,DC
100%,88%,2,2,Private room,1.0,1.0,1.0,$65.00,,,1,1125,4,38.85081343799117,-76.98011142153877,Washington,20020,DC
100%,100%,4,4,Private room,1.0,1.5,1.0,$94.00,$15.00,$95.00,1,31,18,38.84081711771675,-76.97797503750294,Washington,20032,DC
100%,88%,2,1,Private room,1.0,1.0,1.0,$65.00,,,1,1125,2,38.84872746391632,-76.97871482891323,Washington,20020,DC
100%,100%,4,5,Private room,1.0,1.5,1.0,$64.00,$15.00,$95.00,1,90,115,38.842150402797714,-76.97633323416572,Washington,20032,DC
100%,100%,1,2,Private room,1.0,1.0,1.0,$59.00,,,1,1125,18,38.84981227157485,-76.98289295971323,Washington,20020,DC
,,1,1,Private room,1.0,,,$125.00,,,1,1125,0,38.84921846348855,-76.97884191592945,Washington,20020,DC
100%,100%,4,3,Private room,1.0,1.5,1.0,$74.00,$15.00,$95.00,1,90,33,38.84222919738344,-76.97641703172042,Washington,20032,DC
100%,100%,2,3,Private room,1.0,1.0,1.0,$69.00,$10.00,,1,1125,8,38.85328292980264,-76.96826673374336,Washington,20020,DC
100%,100%,5,1,Private room,1.0,1.0,1.0,$49.00,$35.00,,1,1125,1,38.857608899114645,-76.97440904027914,Washington,20020,DC
,,1,2,Private room,1.0,1.0,1.0,$60.00,,$100.00,1,365,0,38.85908304330602,-76.9694998958431,Washington,20020,DC
100%,100%,2,2,Private room,1.0,1.0,1.0,$69.00,$10.00,,1,1125,19,38.851376558127065,-76.97083697098942,Washington,20020,DC
100%,100%,1,4,Entire home/apt,1.0,1.0,2.0,$157.00,$65.00,,2,1125,3,38.87721085934667,-77.00368743828105,Washington,20003,DC
100%,94%,1,3,Entire home/apt,1.0,1.0,1.0,$128.00,$40.00,,1,1125,9,38.87995988798619,-77.00649062815522,Washington,20003,DC
100%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$135.00,$95.00,$150.00,6,1125,6,38.87709830086352,-77.00458358162601,Washington,20003,DC
80%,80%,1,2,Private room,1.0,1.0,1.0,$90.00,,,2,1125,6,38.879616192921404,-77.004342091093,Washington,20003,DC
50%,80%,1,2,Entire home/apt,1.0,1.0,1.0,$102.00,$49.00,$100.00,5,31,6,38.878340623776324,-77.00073848638633,Washington,20003,DC
100%,100%,1,3,Entire home/apt,1.0,1.0,1.0,$99.00,$50.00,$100.00,1,19,0,38.878374934209035,-77.00800167636967,Washington,20003,DC
,,1,2,Entire home/apt,1.0,1.0,1.0,$195.00,,,1,1125,1,38.87653673919233,-77.00623635021137,Washington,20003,DC
100%,100%,1,4,Entire home/apt,1.0,1.0,2.0,$160.00,$50.00,$200.00,1,1125,59,38.88032416553072,-77.00196170311936,Washington,20003,DC
100%,89%,2,2,Private room,1.0,1.0,1.0,$95.00,$100.00,,1,1125,1,38.88008663313953,-77.00731286761898,Washington,20003,DC
33%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$120.00,,,1,1125,0,38.87861843623977,-77.00598246727866,Washington,20003,DC
100%,63%,2,6,Entire home/apt,2.0,2.0,3.0,$249.00,$59.00,,2,180,0,38.8758404591324,-76.99908601130673,Washington,20003,DC
100%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$88.00,$35.00,$200.00,3,1125,1,38.880450270616386,-77.00651487497946,Washington,20003,DC
100%,100%,1,2,Private room,1.0,1.0,1.0,$90.00,$10.00,$95.00,1,1125,2,38.87869081735522,-77.00537826706774,Washington,20003,DC
90%,100%,1,2,Entire home/apt,,1.0,1.0,$150.00,,,1,1125,0,38.87744970862176,-77.0057126868622,Washington,20003,DC
90%,93%,3,2,Private room,1.0,1.0,1.0,$125.00,,,1,1125,0,38.87491190688699,-77.00884498981404,Washington,20003,DC
