id,date,store,item,sales
100000,2017-12-01,1,1,19
100001,2017-12-02,1,1,16
100002,2017-12-03,1,1,31
100003,2017-12-04,1,1,7
100004,2017-12-05,1,1,20
100005,2017-12-06,1,1,17
100006,2017-12-07,1,1,18
100007,2017-12-08,1,1,17
100008,2017-12-09,1,1,27
100009,2017-12-10,1,1,20
100010,2017-12-11,1,1,20
100011,2017-12-12,1,1,13
100012,2017-12-13,1,1,17
100013,2017-12-14,1,1,14
100014,2017-12-15,1,1,16
100015,2017-12-16,1,1,15
100016,2017-12-17,1,1,22
100017,2017-12-18,1,1,19
100018,2017-12-19,1,1,7
100019,2017-12-20,1,1,16
100020,2017-12-21,1,1,12
100021,2017-12-22,1,1,6
100022,2017-12-23,1,1,18
100023,2017-12-24,1,1,19
100024,2017-12-25,1,1,13
100025,2017-12-26,1,1,16
100026,2017-12-27,1,1,14
100027,2017-12-28,1,1,19
100028,2017-12-29,1,1,15
100029,2017-12-30,1,1,27
100030,2017-12-31,1,1,23
100031,2017-12-01,2,1,31
100032,2017-12-02,2,1,24
100033,2017-12-03,2,1,20
100034,2017-12-04,2,1,10
100035,2017-12-05,2,1,14
100036,2017-12-06,2,1,12
100037,2017-12-07,2,1,21
100038,2017-12-08,2,1,27
100039,2017-12-09,2,1,29
100040,2017-12-10,2,1,29
100041,2017-12-11,2,1,16
100042,2017-12-12,2,1,20
100043,2017-12-13,2,1,23
100044,2017-12-14,2,1,18
100045,2017-12-15,2,1,25
100046,2017-12-16,2,1,30
100047,2017-12-17,2,1,45
100048,2017-12-18,2,1,20
100049,2017-12-19,2,1,16
100050,2017-12-20,2,1,19
100051,2017-12-21,2,1,21
100052,2017-12-22,2,1,28
100053,2017-12-23,2,1,18
100054,2017-12-24,2,1,28
100055,2017-12-25,2,1,18
100056,2017-12-26,2,1,25
100057,2017-12-27,2,1,19
100058,2017-12-28,2,1,21
100059,2017-12-29,2,1,18
100060,2017-12-30,2,1,24
100061,2017-12-31,2,1,31
100062,2017-12-01,3,1,19
100063,2017-12-02,3,1,31
100064,2017-12-03,3,1,26
100065,2017-12-04,3,1,17
100066,2017-12-05,3,1,21
100067,2017-12-06,3,1,28
100068,2017-12-07,3,1,17
100069,2017-12-08,3,1,26
100070,2017-12-09,3,1,29
100071,2017-12-10,3,1,28
100072,2017-12-11,3,1,19
100073,2017-12-12,3,1,18
100074,2017-12-13,3,1,26
100075,2017-12-14,3,1,31
100076,2017-12-15,3,1,20
100077,2017-12-16,3,1,32
100078,2017-12-17,3,1,19
100079,2017-12-18,3,1,21
100080,2017-12-19,3,1,19
100081,2017-12-20,3,1,24
100082,2017-12-21,3,1,29
100083,2017-12-22,3,1,22
100084,2017-12-23,3,1,27
100085,2017-12-24,3,1,27
100086,2017-12-25,3,1,13
100087,2017-12-26,3,1,16
100088,2017-12-27,3,1,16
100089,2017-12-28,3,1,17
100090,2017-12-29,3,1,21
100091,2017-12-30,3,1,31
100092,2017-12-31,3,1,19
100093,2017-12-01,4,1,17
