,Y
2013-01-01,2141.496089112427
2013-01-02,1557.6356219836787
2013-01-03,2715.0805159899724
2013-01-04,1313.539985059507
2013-01-05,777.621265479578
2013-01-06,2476.3843403532233
2013-01-07,2640.64328965588
2013-01-08,2415.598163565831
2013-01-09,1843.8899222250875
2013-01-10,1946.762265758209
2013-01-11,2190.8091785703896
2013-01-12,2421.960208836458
2013-01-13,5287.333636735198
2013-01-14,4873.0386390452295
2013-01-15,6134.558832607205
2013-01-16,4659.424503046513
2013-01-17,3983.9679669121238
2013-01-18,5699.323846872657
2013-01-19,6003.289148912819
2013-01-20,5810.219458478755
2013-01-21,5422.541855974626
2013-01-22,5585.166299076471
2013-01-23,5849.125535858435
2013-01-24,6151.7104593142285
2013-01-25,9203.417871745247
2013-01-26,8623.919673776158
2013-01-27,9859.846011361074
2013-01-28,8293.206947626848
2013-01-29,7491.6164752147215
2013-01-30,9013.138257320094
2013-01-31,9285.1176091538
2013-02-01,9148.345404386833
2013-02-02,8582.135238301542
2013-02-03,8788.626134648859
2013-02-04,9045.22129034546
2013-02-05,9375.166521080475
2013-02-06,12368.813737986222
2013-02-07,11716.062379519683
2013-02-08,12989.067304282451
2013-02-09,11395.024548197724
2013-02-10,10676.02828205854
2013-02-11,12216.713865232887
2013-02-12,12579.404208078933
2013-02-13,12396.396636511387
2013-02-14,12041.168524611578
2013-02-15,12356.676561533804
2013-02-16,12554.118380456839
2013-02-17,12901.76842994809
2013-02-18,15781.613817186737
2013-02-19,15106.708625419385
2013-02-20,16339.119983605762
2013-02-21,14705.44830276134
2013-02-22,14039.556850008363
2013-02-23,15448.165120208925
2013-02-24,15628.401503211251
2013-02-25,15342.489879781635
2013-02-26,14863.154234495149
2013-02-27,15165.358818526242
2013-02-28,15369.004503309367
2013-03-01,15733.876826091637
2013-03-02,18507.24647395886
2013-03-03,17757.61847219552
2013-03-04,18980.291355151705
2013-03-05,17364.864778234594
2013-03-06,16977.88746732837
2013-03-07,18468.018665114356
2013-03-08,18756.46144603464
2013-03-09,18606.62747276631
2013-03-10,18228.26578335705
2013-03-11,18481.864904269652
2013-03-12,18543.559320360913
2013-03-13,18938.820298131835
2013-03-14,21818.722849193982
2013-03-15,21081.840375723852
2013-03-16,22313.73027795371
2013-03-17,20751.239550219634
2013-03-18,20316.20533126797
2013-03-19,21761.5929318128
2013-03-20,21861.82969722591
2013-03-21,21510.966658185953
2013-03-22,21102.29017728848
2013-03-23,21404.69073066861
2013-03-24,21528.01656310343
2013-03-25,22004.036589123487
2013-03-26,25033.352886504916
2013-03-27,24455.429606667643
2013-03-28,25831.448319295003
2013-03-29,24554.37792112413
2013-03-30,24371.797248680297
2013-03-31,25742.6096071576
2013-04-01,25772.623927295495
2013-04-02,25365.07046559461
2013-04-03,24976.206675569567
2013-04-04,25299.667056017315
2013-04-05,25521.25830863457
2013-04-06,26135.713698427302
2013-04-07,29183.63440899317
2013-04-08,28621.21362327322
2013-04-09,30025.354076968895
2013-04-10,28766.14626825881
