Date,diet
6/26/2011,70
7/3/2011,71
7/10/2011,73
7/17/2011,74
7/24/2011,72
7/31/2011,72
8/7/2011,67
8/14/2011,69
8/21/2011,67
8/28/2011,66
9/4/2011,66
9/11/2011,69
9/18/2011,68
9/25/2011,68
10/2/2011,65
10/9/2011,67
10/16/2011,65
10/23/2011,64
10/30/2011,65
11/6/2011,65
11/13/2011,66
11/20/2011,56
11/27/2011,68
12/4/2011,59
12/11/2011,56
12/18/2011,52
12/25/2011,68
1/1/2012,100
1/8/2012,88
1/15/2012,81
1/22/2012,79
1/29/2012,77
2/5/2012,76
2/12/2012,71
2/19/2012,79
2/26/2012,78
3/4/2012,76
3/11/2012,75
3/18/2012,75
3/25/2012,73
4/1/2012,72
4/8/2012,75
4/15/2012,79
4/22/2012,77
4/29/2012,76
5/6/2012,75
5/13/2012,74
5/20/2012,73
5/27/2012,72
6/3/2012,71
6/10/2012,71
6/17/2012,72
6/24/2012,74
7/1/2012,71
7/8/2012,75
7/15/2012,76
7/22/2012,76
7/29/2012,75
8/5/2012,75
8/12/2012,74
8/19/2012,73
8/26/2012,69
9/2/2012,70
9/9/2012,70
9/16/2012,70
9/23/2012,67
9/30/2012,66
10/7/2012,63
10/14/2012,65
10/21/2012,61
10/28/2012,59
11/4/2012,61
11/11/2012,62
11/18/2012,54
11/25/2012,62
12/2/2012,61
12/9/2012,56
12/16/2012,48
12/23/2012,55
12/30/2012,88
1/6/2013,92
1/13/2013,81
1/20/2013,79
1/27/2013,79
2/3/2013,77
2/10/2013,73
2/17/2013,80
2/24/2013,85
3/3/2013,80
3/10/2013,78
3/17/2013,79
3/24/2013,75
3/31/2013,76
4/7/2013,80
4/14/2013,76
4/21/2013,81
4/28/2013,79
5/5/2013,76
5/12/2013,75
5/19/2013,74
5/26/2013,74
6/2/2013,74
6/9/2013,74
6/16/2013,73
6/23/2013,71
6/30/2013,68
7/7/2013,76
7/14/2013,71
7/21/2013,72
7/28/2013,73
8/4/2013,73
8/11/2013,72
8/18/2013,71
8/25/2013,66
9/1/2013,71
9/8/2013,69
9/15/2013,69
9/22/2013,65
9/29/2013,65
10/6/2013,65
10/13/2013,66
10/20/2013,64
10/27/2013,62
11/3/2013,64
11/10/2013,65
11/17/2013,63
11/24/2013,52
12/1/2013,59
12/8/2013,55
12/15/2013,50
12/22/2013,52
12/29/2013,83
1/5/2014,97
1/12/2014,82
1/19/2014,76
1/26/2014,73
2/2/2014,73
2/9/2014,68
2/16/2014,72
2/23/2014,73
3/2/2014,78
3/9/2014,72
3/16/2014,72
3/23/2014,74
3/30/2014,72
4/6/2014,72
4/13/2014,70
4/20/2014,73
4/27/2014,74
5/4/2014,72
5/11/2014,70
5/18/2014,67
5/25/2014,67
6/1/2014,68
6/8/2014,66
6/15/2014,66
6/22/2014,65
6/29/2014,62
7/6/2014,66
7/13/2014,64
7/20/2014,64
7/27/2014,63
8/3/2014,66
8/10/2014,64
8/17/2014,63
8/24/2014,60
8/31/2014,62
9/7/2014,60
9/14/2014,65
9/21/2014,61
9/28/2014,62
10/5/2014,59
10/12/2014,58
10/19/2014,57
10/26/2014,58
11/2/2014,61
11/9/2014,58
11/16/2014,57
11/23/2014,49
11/30/2014,57
12/7/2014,53
12/14/2014,48
12/21/2014,46
12/28/2014,71
1/4/2015,86
1/11/2015,79
1/18/2015,70
1/25/2015,66
2/1/2015,65
2/8/2015,64
2/15/2015,64
2/22/2015,67
3/1/2015,68
3/8/2015,68
3/15/2015,69
3/22/2015,69
3/29/2015,64
4/5/2015,68
4/12/2015,68
4/19/2015,71
4/26/2015,67
5/3/2015,67
5/10/2015,67
5/17/2015,63
5/24/2015,63
5/31/2015,65
6/7/2015,66
6/14/2015,63
6/21/2015,61
6/28/2015,59
7/5/2015,62
7/12/2015,61
7/19/2015,64
7/26/2015,62
8/2/2015,64
8/9/2015,63
8/16/2015,61
8/23/2015,59
8/30/2015,58
9/6/2015,59
9/13/2015,59
9/20/2015,57
9/27/2015,57
10/4/2015,58
10/11/2015,57
10/18/2015,57
10/25/2015,56
11/1/2015,58
11/8/2015,55
11/15/2015,53
11/22/2015,48
11/29/2015,52
12/6/2015,52
12/13/2015,48
12/20/2015,44
12/27/2015,63
1/3/2016,83
1/10/2016,74
1/17/2016,71
1/24/2016,70
1/31/2016,67
2/7/2016,63
2/14/2016,63
2/21/2016,66
2/28/2016,65
3/6/2016,66
3/13/2016,64
3/20/2016,63
3/27/2016,65
4/3/2016,67
4/10/2016,68
4/17/2016,67
4/24/2016,67
5/1/2016,64
5/8/2016,65
5/15/2016,64
5/22/2016,62
5/29/2016,62
6/5/2016,62
6/12/2016,58
6/19/2016,58
