length,height
35.0,145.75166215012945
36.5,154.81989548172976
38.0,147.45149902510772
39.5,154.53270424106103
41.0,166.174503112501
42.5,171.4532581769252
44.0,149.44608871231287
45.5,164.7327584103715
47.0,168.82025028137505
48.5,171.32607674807946
50.0,182.07638078279047
51.5,188.3751315892768
53.0,188.08738788773528
54.5,196.95181716795653
56.0,192.85162151015507
57.5,201.607658163735
59.0,210.6613540190233
60.5,202.0614375777851
62.0,215.7222442195022
63.5,207.0495880723986
65.0,215.83945919564343
