mon,dom,dow,carrier,flight,org,mile,depart,duration,delay
11,20,6,US,19,JFK,2153,9.48,351,NA
0,22,2,UA,1107,ORD,316,16.33,82,30
2,20,4,UA,226,SFO,337,6.17,82,-8
9,13,1,AA,419,ORD,1236,10.33,195,-5
4,2,5,AA,325,ORD,258,8.92,65,NA
5,2,1,UA,704,SFO,550,7.98,102,2
7,2,6,AA,380,ORD,733,10.83,135,54
1,16,6,UA,1477,ORD,1440,8.00,232,-7
1,22,5,UA,620,SJC,1829,7.98,250,-13
11,8,1,OO,5590,SFO,158,7.77,60,88
4,26,1,AA,1144,SFO,1464,13.25,210,-10
4,25,0,AA,321,ORD,978,13.75,160,31
8,30,2,UA,646,ORD,719,13.28,151,16
3,16,3,UA,107,ORD,1745,9.00,264,3
0,3,4,AA,1559,LGA,1097,17.08,190,32
5,9,1,UA,770,SFO,967,12.70,158,20
3,10,4,B6,937,ORD,1735,17.58,265,155
11,15,1,AA,2303,ORD,802,6.75,160,23
8,18,4,UA,802,SJC,948,6.33,160,17
2,14,5,B6,71,JFK,944,6.17,166,0
7,21,4,OO,5806,ORD,607,19.00,110,21
11,6,6,OO,5524,SFO,316,8.75,82,40
0,10,4,AA,15,JFK,2586,11.00,379,100
11,14,0,OO,6500,SJC,308,6.33,90,-28
3,1,2,OH,5105,ORD,264,13.83,75,-9
1,18,1,OO,6761,ORD,466,20.50,102,168
4,19,1,AA,181,JFK,2475,16.92,360,15
7,24,0,AA,1860,ORD,334,17.42,90,7
3,21,1,WN,342,SJC,296,15.25,60,-8
9,26,0,B6,1087,JFK,541,21.67,132,-31
5,30,1,US,58,SMF,397,20.67,83,-7
3,30,3,AA,755,ORD,1041,10.75,165,6
6,12,6,OH,5557,LGA,722,11.25,147,38
11,27,6,AA,2331,ORD,802,14.42,160,53
9,2,4,UA,909,ORD,888,15.42,153,-20
0,8,2,UA,549,ORD,334,11.08,85,NA
0,7,1,OO,5494,SFO,199,21.00,64,5
2,21,5,AA,496,ORD,612,6.58,105,18
4,14,3,OO,5889,ORD,925,14.83,166,119
7,4,1,AA,1058,ORD,1005,19.50,155,266
0,22,2,AA,678,SFO,337,16.25,80,62
2,6,4,AA,1438,ORD,409,18.33,85,45
9,9,4,UA,683,LGA,733,14.07,156,-5
3,11,5,UA,498,ORD,837,14.28,143,28
3,14,1,OO,5912,ORD,316,11.02,70,-1
10,3,1,B6,345,JFK,1041,8.33,192,-1
5,8,0,UA,574,ORD,235,14.48,79,NA
2,25,2,UA,11,JFK,2586,11.17,394,36
0,5,6,AA,1547,ORD,177,15.25,60,16
11,25,4,OO,6063,ORD,179,13.23,55,27
1,1,5,OO,6417,ORD,1013,17.55,176,92
0,8,2,OO,5449,SMF,86,17.17,45,259
8,26,5,AA,753,LGA,1389,14.75,240,125
4,6,2,UA,1293,SFO,451,13.17,94,-17
0,28,1,OO,6669,ORD,1186,10.02,194,29
0,8,2,UA,1547,ORD,1515,14.75,240,-18
6,8,2,HA,133,OGG,100,9.35,34,-2
4,16,5,B6,383,LGA,1076,21.75,162,166
1,28,4,AA,789,ORD,888,15.83,160,-9
3,19,6,OO,5718,SFO,78,13.27,44,70
11,1,1,AA,1659,ORD,403,20.67,90,83
9,19,0,AA,437,ORD,334,13.00,90,-8
11,1,1,AA,1571,ORD,334,12.17,85,115
8,5,5,OO,5985,ORD,323,18.17,80,-4
11,9,2,B6,131,JFK,1074,7.33,195,-4
3,3,4,UA,1504,SFO,414,10.87,99,53
2,25,2,UA,842,ORD,1846,8.28,277,18
7,30,6,OO,6016,ORD,738,10.80,132,-16
6,12,6,OH,5585,JFK,184,9.00,100,-7
6,20,0,AA,2349,ORD,802,18.92,140,40
4,17,6,OO,5492,SFO,77,17.25,42,11
9,16,4,OH,6675,JFK,213,18.67,109,-4
5,12,4,B6,91,JFK,2576,15.92,373,13
0,1,2,B6,145,JFK,1074,20.58,204,79
1,13,3,US,2189,LGA,214,20.00,82,NA
4,21,3,HA,19,SMF,2462,8.75,315,36
4,19,1,UA,385,ORD,334,15.00,87,181
6,19,6,B6,38,JFK,264,13.58,77,86
2,27,4,AA,2060,SMF,1431,14.08,195,16
8,9,2,UA,695,LGA,733,19.98,163,NA
2,21,5,AA,1087,ORD,837,20.17,140,72
4,27,2,UA,156,ORD,235,15.83,79,-14
0,21,1,UA,614,ORD,612,13.00,105,-9
6,17,4,OH,5490,JFK,145,14.92,80,15
11,5,5,OO,5954,ORD,323,8.02,77,0
4,16,5,AA,1720,SJC,1438,9.33,205,16
9,14,2,UA,186,SFO,2521,13.95,328,-37
1,5,2,AA,761,ORD,258,10.75,65,114
1,4,1,WN,2471,TUS,451,9.33,90,58
0,7,1,WN,3155,SMF,479,18.92,90,5
6,25,5,AA,775,LGA,1097,8.50,185,9
0,12,6,WN,943,SJC,417,20.08,75,NA
0,17,4,OO,6153,ORD,160,16.83,56,NA
4,15,4,AA,1248,ORD,678,6.67,115,-18
10,21,5,UA,148,ORD,678,15.65,130,27
4,27,2,HA,529,OGG,100,13.00,34,14
5,23,1,AA,1178,SFO,1464,15.17,215,42
7,1,5,OH,5657,JFK,541,19.50,136,39
9,30,4,UA,863,ORD,1846,18.85,275,61
9,6,1,WN,1018,SJC,308,15.25,75,-15
9,12,0,UA,519,ORD,299,19.00,77,1
3,15,2,OO,5992,ORD,286,6.27,78,34
9,17,5,WN,1796,SMF,389,6.00,75,4
4,16,5,UA,612,ORD,612,12.00,104,11
10,12,3,AA,177,JFK,2586,18.08,405,-23
9,18,6,UA,341,ORD,416,9.92,90,-12
2,10,1,OH,5105,ORD,264,13.83,75,30
7,16,6,UA,322,SFO,679,10.70,124,-19
8,16,2,AA,272,SFO,2585,23.33,315,8
7,15,5,B6,79,JFK,944,21.33,187,NA
7,3,0,AA,1297,LGA,761,19.25,150,43
7,9,6,OH,5089,JFK,264,10.98,92,22
0,4,5,OH,5523,LGA,431,6.92,112,-7
10,14,5,UA,292,SFO,2445,12.12,308,0
8,17,3,OO,6585,ORD,213,14.93,61,-6
0,25,5,UA,36,OGG,2338,22.50,285,29
0,12,6,UA,294,SFO,2457,15.20,305,-5
0,7,1,HA,155,OGG,100,8.67,34,-1
6,31,4,OO,6019,ORD,462,17.57,99,-15
5,28,6,OH,5516,JFK,187,22.08,101,129
1,26,2,OO,5985,ORD,323,19.83,79,115
9,7,2,AA,1291,JFK,1090,5.75,180,30
9,1,3,AA,1269,JFK,740,17.33,170,39
2,12,3,OO,5655,SMF,86,10.75,50,39
2,17,1,UA,1582,SFO,414,19.50,91,-4
4,6,2,OO,6164,ORD,222,16.30,63,-8
7,14,4,OH,5519,LGA,585,7.75,131,-18
0,2,3,AA,1442,ORD,612,16.58,105,82
2,16,0,B6,369,LGA,1035,21.08,166,6
10,29,6,OO,6015,ORD,557,9.73,117,-32
1,19,2,OO,6371,ORD,1013,9.75,176,2
10,22,6,WN,1010,SFO,967,18.00,150,-13
7,23,6,US,49,SFO,414,9.38,92,-9
9,8,3,US,2187,LGA,214,19.00,77,NA
2,15,6,WN,3115,SMF,389,15.33,75,6
3,5,6,UA,682,ORD,733,13.08,137,-20
7,28,4,WN,896,SMF,910,18.75,135,24
3,23,3,WN,2385,SMF,404,19.00,80,-1
1,28,4,B6,625,JFK,1428,13.17,245,145
3,16,3,WN,895,SJC,308,8.00,70,6
9,12,0,OO,5822,ORD,631,21.07,108,-11
0,16,3,AA,779,ORD,1723,10.33,260,-8
6,4,5,UA,1504,SFO,414,10.75,97,17
10,28,5,AA,2057,ORD,2072,8.50,275,-15
6,30,3,OH,5721,LGA,431,12.57,112,-20
8,24,3,AA,1797,LGA,1097,7.83,180,8
6,24,4,OO,3908,SFO,599,10.20,104,-2
10,15,6,B6,1075,JFK,288,16.17,109,258
2,12,3,WN,441,SFO,414,6.33,90,-14
1,22,5,B6,904,ORD,740,9.33,130,NA
5,18,3,UA,472,ORD,528,13.12,101,10
9,31,5,UA,549,ORD,334,10.88,92,NA
4,1,4,UA,2,ORD,599,6.35,109,-14
9,17,5,AA,2093,LGA,1097,12.17,190,21
5,15,0,UA,403,LGA,1619,8.00,259,-13
10,21,5,B6,819,JFK,944,14.48,175,2
6,9,3,UA,224,SFO,2419,23.32,311,-13
1,26,2,OH,5394,LGA,641,20.50,145,74
7,18,1,UA,322,SFO,679,10.67,124,78
5,16,1,AA,1773,ORD,1118,19.25,170,88
3,13,0,UA,21,ORD,1652,11.93,246,192
5,14,6,B6,199,JFK,2248,21.08,347,NA
11,15,1,AA,1931,SFO,337,14.33,85,63
3,18,5,AA,791,LGA,1389,21.08,220,50
1,24,0,OH,5526,JFK,267,20.83,108,7
2,7,5,AA,1869,ORD,258,19.75,70,25
0,29,2,UA,685,LGA,733,15.00,158,NA
2,7,5,WN,1356,SMF,479,8.83,90,-9
4,25,0,AA,1670,ORD,1182,8.42,175,60
1,10,0,B6,89,JFK,2430,20.08,387,24
3,12,6,B6,1315,JFK,228,22.08,90,23
6,28,1,OO,5944,ORD,557,15.98,116,-2
7,4,1,OO,5985,ORD,323,19.67,80,409
11,17,3,OH,6439,ORD,264,12.00,78,43
2,21,5,OO,6024,ORD,157,16.42,57,NA
10,22,6,B6,217,JFK,2465,18.08,405,17
4,30,5,WN,1802,SJC,333,21.83,70,51
2,28,5,AA,14,OGG,2486,21.25,300,-19
1,23,6,B6,713,JFK,1597,6.00,224,24
7,16,6,WN,233,SMF,397,20.33,80,34
0,27,0,OO,5563,SMF,86,8.48,50,-14
7,7,4,AA,14,OGG,2486,21.33,300,-3
1,7,4,US,10,ORD,1440,18.83,233,39
8,7,0,B6,134,JFK,264,17.42,105,12
11,17,3,US,870,ORD,1515,18.83,237,NA
9,3,5,OH,6789,JFK,766,9.37,162,-8
0,25,5,UA,717,ORD,1723,19.92,265,54
3,29,2,WN,2807,SMF,373,16.42,80,-6
0,11,5,B6,1008,JFK,187,12.83,63,95
0,2,3,WN,632,SFO,414,19.42,90,11
6,7,1,AA,1345,ORD,1745,14.08,250,75
10,17,1,WN,2700,SMF,358,16.33,70,-4
0,21,1,AA,423,JFK,1090,11.50,190,5
2,15,6,UA,1510,SFO,651,8.67,117,23
6,1,2,UA,8,SFO,2586,9.30,342,63
8,30,2,UA,253,ORD,888,18.67,152,-17
9,1,3,AA,1765,ORD,258,19.25,65,-9
1,29,5,OO,5966,ORD,174,8.23,58,72
6,23,3,B6,636,SFO,2704,13.58,344,173
7,12,2,B6,470,SJC,2689,20.92,330,4
8,15,1,UA,664,ORD,137,18.33,50,25
8,17,3,US,2163,LGA,214,7.00,69,0
4,5,1,HA,595,OGG,100,20.92,34,-10
3,27,0,WN,287,SMF,389,7.92,75,-1
6,25,5,B6,1002,JFK,187,7.33,75,17
1,10,0,AA,1544,ORD,612,18.00,105,58
7,3,0,OO,5482,SFO,199,12.98,72,-7
11,14,0,WN,129,SJC,308,12.83,75,-12
2,20,4,AA,655,JFK,1623,7.17,235,0
0,31,4,AA,201,JFK,2475,6.50,375,0
0,15,2,WN,2269,SMF,480,11.00,85,4
0,5,6,OO,5975,ORD,409,15.75,90,28
6,29,2,OO,5966,ORD,174,8.02,56,4
11,17,3,UA,512,ORD,594,13.52,105,-13
10,21,5,OO,6585,ORD,213,14.93,63,0
8,15,1,B6,67,JFK,1069,14.98,189,-8
9,12,0,B6,1107,JFK,426,16.58,120,5
3,16,3,UA,203,ORD,334,9.12,90,2
1,25,1,UA,136,SFO,1846,9.75,254,-4
2,7,5,AA,751,LGA,1389,14.75,240,86
10,5,3,UA,524,ORD,867,6.85,135,36
7,16,6,B6,611,JFK,829,8.67,155,66
4,28,3,WN,2730,SJC,308,7.00,75,-4
2,18,2,OO,6238,ORD,344,9.55,79,22
1,5,2,AA,2361,ORD,802,21.00,140,157
8,17,3,UA,399,ORD,299,8.95,72,-24
5,11,3,AA,1417,ORD,1515,14.75,225,36
4,27,2,AA,2050,ORD,1197,12.50,180,-16
10,13,4,OO,5426,SFO,86,22.58,43,-7
6,6,0,AA,454,ORD,647,18.25,115,82
6,6,0,AA,400,ORD,867,9.75,140,-10
4,7,3,AA,2355,ORD,802,20.08,135,48
10,8,6,UA,481,ORD,1440,15.13,235,-22
