season,team_1,team_2,home,seed_diff,score_diff,score_1,score_2,won,pred
1985,288,73,0,-3,-9,41,50,0,-3.60145230960554
1985,5929,73,0,4,6,61,55,1,0.474164250835699
1985,9884,73,0,5,-4,59,63,0,-0.414316413973896
1985,73,288,0,3,9,50,41,1,3.60145230960642
1985,3920,410,0,1,-9,54,63,0,8.1761792235749
1985,8405,410,0,8,3,68,65,1,8.22865178085939
1985,4149,513,0,8,-2,64,66,0,0.824334430413092
1985,6281,513,0,9,6,62,56,1,4.69569691039951
1985,7201,513,0,5,-1,58,59,0,2.81975058204478
1985,2340,764,0,8,-1,73,74,0,8.64976873480068
1985,5077,764,0,9,2,59,57,1,5.47369075460679
1985,8984,764,0,5,-2,53,55,0,0.00318103851371987
1985,10020,2082,0,1,2,51,49,1,0.81736969253687
1985,8662,2204,0,3,5,70,65,1,-0.0521058554359222
1985,764,2340,0,-8,1,74,73,1,-8.6497687347965
1985,6966,2340,0,-11,-13,62,75,0,-15.4569442196502
1985,5212,2675,0,15,4,59,55,1,25.6531467497066
1985,3234,3132,0,-1,-6,54,60,0,-4.03816474728386
1985,4400,3132,0,-15,-25,43,68,0,-32.8650384489034
1985,4698,3132,0,-3,-12,53,65,0,-10.070142146612
1985,8405,3132,0,0,-18,59,77,0,-2.77533700641986
1985,8746,3132,0,-7,-17,46,63,0,-13.0627357050169
1985,10020,3132,0,-7,2,66,64,1,-10.3241388733348
1985,3745,3166,0,3,16,74,58,1,2.73493060901902
1985,10564,3166,0,-5,-8,59,67,0,-6.95895337307276
1985,3132,3234,0,1,6,60,54,1,4.03816474727991
1985,3745,3234,0,-1,-8,53,61,0,2.73140409898349
1985,5111,3234,0,-13,-7,58,65,0,-16.4310045781344
1985,8662,3234,0,-5,-17,53,70,0,-4.22998722519264
1985,3166,3745,0,-3,-16,58,74,0,-2.73493060902144
1985,3234,3745,0,1,8,61,53,1,-2.73140409898772
1985,6372,3745,0,-11,-19,57,76,0,-16.5746836283454
1985,6664,3779,0,8,6,75,69,1,10.3234513804647
1985,9663,3779,0,1,-3,55,58,0,0.0478401664160071
1985,4698,3886,0,9,1,59,58,1,7.48974251937731
1985,410,3920,0,-1,9,63,54,1,-8.17617922358152
1985,6629,3954,0,9,11,75,64,1,3.64063479193422
1985,513,4149,0,-8,2,66,64,1,-0.824334430411117
1985,6595,4149,0,-11,-11,38,49,0,-6.96990125276494
1985,8405,4264,0,11,16,86,70,1,5.67348626864197
1985,9629,4264,0,8,-3,61,64,0,-2.33379995472935
1985,10366,4264,0,7,-8,58,66,0,0.167065193667611
1985,3132,4400,0,15,25,68,43,1,32.8650384488983
1985,6629,4562,0,1,-12,67,79,0,3.42029740032525
1985,6664,4562,0,4,2,86,84,1,9.26129168852032
1985,7000,4562,0,-7,-24,54,78,0,-2.20484734151724
1985,3132,4698,0,3,12,65,53,1,10.0701421466077
1985,3886,4698,0,-9,-1,58,59,0,-7.48974251937528
1985,8059,4698,0,-1,-13,57,70,0,1.51666795489523
1985,5850,4732,0,-9,23,78,55,1,-7.51188568615877
1985,9884,4907,0,13,16,81,65,1,12.3642896721538
1985,5178,4941,0,-7,-1,68,69,0,-7.84057344525641
1985,5850,4941,0,-8,-5,59,64,0,-8.69964601212903
1985,10020,4941,0,-3,3,46,43,1,-4.42956443319643
1985,764,5077,0,-9,-2,57,59,0,-5.4736907546063
1985,6664,5077,0,1,-2,61,63,0,3.20745517331939
1985,6898,5077,0,-13,-12,55,67,0,-19.8596168901728
1985,9269,5077,0,-5,-1,66,67,0,-6.7957417100431
1985,10020,5077,0,-6,7,52,45,1,-5.70374754689354
1985,3234,5111,0,13,7,65,58,1,16.4310045781331
1985,4941,5178,0,7,1,69,68,1,7.84057344525365
1985,2675,5212,0,-15,-4,55,59,0,-25.6531467497046
1985,10020,5212,0,-7,4,59,55,1,-9.95624308597233
1985,9269,5246,0,3,2,70,68,1,-5.30419268327007
1985,6281,5715,0,13,19,76,57,1,18.2979863537788
1985,4732,5850,0,9,-23,55,78,0,7.51188568615904
1985,4941,5850,0,8,5,64,59,1,8.69964601212829
1985,6664,5884,0,15,13,96,83,1,25.8177755512627
1985,73,5929,0,-4,-6,55,61,0,-0.474164250834459
1985,6012,5929,0,-11,-9,56,65,0,-11.3373925557774
1985,8405,5929,0,2,9,69,60,1,2.41538426129904
1985,9847,5929,0,-8,-13,73,86,0,-7.00417925426651
1985,5929,6012,0,11,9,65,56,1,11.3373925557738
1985,513,6281,0,-9,-6,56,62,0,-4.69569691039294
1985,5715,6281,0,-13,-19,57,76,0,-18.2979863537775
1985,6542,6281,0,-5,-2,58,60,0,-5.49148848023632
1985,10020,6281,0,-6,12,56,44,1,-6.01561914512503
1985,3745,6372,0,11,19,76,57,1,16.574683628341
1985,6281,6542,0,5,2,60,58,1,5.4914884802384
1985,6830,6542,0,-3,-9,70,79,0,-2.05920380978134
1985,4149,6595,0,11,11,49,38,1,6.96990125276355
1985,3954,6629,0,-9,-11,64,75,0,-3.64063479193563
1985,4562,6629,0,-1,12,79,67,1,-3.4202974003308
1985,3779,6664,0,-8,-6,69,75,0,-10.3234513804658
1985,4562,6664,0,-4,-2,84,86,0,-9.26129168852303
1985,5077,6664,0,-1,2,63,61,1,-3.20745517332041
1985,5884,6664,0,-15,-13,83,96,0,-25.8177755512626
