# Active bout lengths of zebrafish
# Data provided courtesy of Avni Gandhi, Grigorios Oikonomou, and David Prober, Caltech.
# Data set from experiments published in Avni V. Gandhi, Eric A. Mosser, Grigorios Oikonomou and David A. Prober. (2015). Melatonin is required for the circadian regulation of sleep. Neuron 85, 1193-1199. doi: 10.1016/j.neuron.2015.02.016.
# Mutant fish have a null mutation in arylalkylamine N-acetyltransferase 2 (aanat2).
genotype,bout_length,fish
het,11.999999999999318,1
het,32.999999999995566,1
het,0.9600000000028786,1
het,4.9799999999999045,1
het,1.9800000000043383,1
het,1.979999999997517,1
het,4.9799999999999045,1
het,30.0,1
het,16.979999999999222,1
het,22.019999999997708,1
het,4.019999999995321,1
het,30.0,1
het,10.979999999997858,1
het,0.9600000000028786,1
het,1.0199999999963438,1
het,11.03999999999985,1
het,24.960000000001514,1
het,1.0199999999963438,1
het,5.999999999999659,1
het,20.039999999998486,1
het,49.01999999999873,1
het,3.96000000000015,1
het,25.019999999996685,1
het,5.040000000000191,1
het,1.9799999999992224,1
het,38.03999999999746,1
het,5.999999999999659,1
het,7.019999999999413,1
het,64.01999999999873,1
het,1.9799999999992224,1
het,1.0199999999997544,1
het,1.9799999999992224,1
het,4.019999999998731,1
het,8.039999999999168,1
het,4.019999999998731,1
het,7.019999999999413,1
het,20.039999999998486,1
het,1.0199999999997544,1
wt,3.000000000005798,2
wt,3.000000000005798,2
wt,4.9799999999999045,2
wt,2.039999999999509,2
wt,6.000000000001364,2
wt,3.000000000005798,2
wt,0.9599999999977626,2
wt,10.020000000000095,2
wt,1.0199999999963438,2
wt,1.020000000003165,2
wt,0.9599999999977626,2
wt,1.980000000002633,2
wt,1.0199999999963438,2
wt,1.0199999999997544,2
wt,1.9800000000043383,2
wt,1.0199999999963438,2
wt,4.980000000003315,2
wt,1.0199999999946385,2
wt,0.9599999999977626,2
wt,4.020000000000437,2
wt,1.9800000000060436,2
wt,2.9999999999972715,2
wt,3.9600000000035607,2
wt,2.999999999998977,2
wt,4.020000000002142,2
wt,0.9600000000045839,2
wt,3.9600000000035607,2
wt,4.980000000003315,2
wt,8.999999999998636,2
wt,1.0199999999963438,2
wt,1.0199999999997544,2
wt,4.9799999999999045,2
wt,0.9600000000028786,2
wt,9.000000000000341,2
wt,1.9800000000009277,2
wt,10.019999999996685,2
wt,1.020000000003165,2
wt,0.9600000000045839,2
wt,3.000000000000682,2
wt,2.9999999999972715,2
wt,1.0199999999980491,2
wt,0.9600000000028786,2
wt,0.9600000000011732,2
wt,0.9600000000028786,2
wt,4.0200000000055525,2
wt,4.979999999998199,2
wt,1.0199999999963438,2
wt,2.040000000001214,2
wt,2.9999999999972715,2
wt,1.9799999999992224,2
wt,3.0000000000023874,2
wt,2.040000000001214,2
wt,1.0199999999997544,2
wt,0.9600000000028786,2
wt,1.9799999999992224,2
wt,3.0000000000023874,2
wt,0.9600000000045839,2
wt,2.999999999998977,2
wt,0.9600000000028786,2
wt,1.980000000002633,2
wt,2.9999999999972715,2
wt,4.019999999997026,2
wt,1.0199999999963438,2
wt,2.999999999998977,2
wt,1.980000000002633,2
wt,7.980000000000587,2
wt,2.999999999998977,2
wt,1.0200000000014597,2
wt,2.9999999999972715,2
wt,1.020000000003165,2
wt,3.9600000000035607,2
wt,5.03999999999678,2
wt,1.020000000003165,2
wt,0.9599999999977626,2
wt,1.0199999999980491,2
wt,2.039999999999509,2
wt,4.9799999999999045,2
wt,6.960000000000832,2
wt,1.0199999999997544,2
wt,4.020000000000437,2
wt,1.9800000000009277,2
wt,2.999999999998977,2
wt,3.000000000000682,2
wt,1.9799999999992224,2
wt,1.0199999999997544,2
wt,1.0199999999997544,2
wt,1.0199999999997544,2
wt,1.0199999999997544,2
wt,4.020000000000437,2
wt,1.0199999999997544,2
wt,4.9799999999999045,2
wt,1.0199999999997544,2
wt,4.020000000000437,2
wt,4.020000000000437,2
wt,1.0199999999980491,2
wt,4.9799999999999045,2
wt,3.96000000000015,2
het,0.9600000000011732,3
het,7.9800000000057025,3
het,0.9600000000028786,3
het,0.9599999999977626,3
het,1.0199999999997544,3
het,7.979999999998881,3
het,0.9600000000028786,3
het,8.039999999999168,3
het,0.9600000000045839,3
het,4.9799999999999045,3
het,4.980000000003315,3
het,1.9800000000009277,3
het,2.039999999994393,3
het,1.020000000003165,3
het,4.980000000003315,3
het,0.9600000000028786,3
het,2.999999999998977,3
het,0.9599999999977626,3
het,1.0199999999946385,3
het,10.980000000002974,3
het,0.9600000000045839,3
het,1.0199999999946385,3
het,3.000000000000682,3
het,0.9600000000028786,3
het,0.9599999999977626,3
het,4.979999999998199,3
het,5.999999999997954,3
