date,gdp_growth
2007-01-01,0.2
2007-04-01,3.1
2007-07-01,2.7
2007-10-01,1.4
2008-01-01,-2.7
2008-04-01,2.0
2008-07-01,-1.9
2008-10-01,-8.2
2009-01-01,-5.4
2009-04-01,-0.5
2009-07-01,1.3
2009-10-01,3.9
2010-01-01,1.7
2010-04-01,3.9
2010-07-01,2.7
2010-10-01,2.5
2011-01-01,-1.5
2011-04-01,2.9
2011-07-01,0.8
2011-10-01,4.6
2012-01-01,2.7
2012-04-01,1.9
2012-07-01,0.5
2012-10-01,0.1
2013-01-01,2.8
2013-04-01,0.8
2013-07-01,3.1
2013-10-01,4.0
2014-01-01,-1.2
2014-04-01,4.0
2014-07-01,5.0
2014-10-01,2.3
2015-01-01,2.0
2015-04-01,2.6
2015-07-01,2.0
2015-10-01,0.9
2016-01-01,0.8
2016-04-01,1.4
2016-07-01,3.5
2016-10-01,2.1
2017-01-01,1.4
