storeID,product,quantity,revenue
A,Apples,1811,9300.6
A,Bananas,1003,3375.2
A,Oranges,1604,8528.5
B,Apples,1785,9181
B,Bananas,944,3680.2
B,Oranges,315,915.5
C,Apples,804,2684.2
C,Bananas,1503,5091.9
C,Oranges,808,3389.7
D,Apples,1335,8105.9
D,Bananas,1713,7108.6
D,Oranges,1741,6143.7
E,Apples,904,2855.7
E,Bananas,885,3001.6
E,Oranges,1812,7155
F,Apples,1360,5117.1
F,Bananas,1534,5801
F,Oranges,1290,4451.5
G,Apples,1826,8139
G,Bananas,729,1974.8
G,Oranges,544,2182.3
H,Apples,1796,7919.4
H,Bananas,1106,4087.8
H,Oranges,1779,8673.5
I,Apples,541,2192.8
I,Bananas,1565,6201.5
I,Oranges,1504,7688.5
J,Apples,1899,6710
J,Bananas,1186,3172.7
J,Oranges,1481,6278.3
K,Apples,900,3516
K,Bananas,382,1225.9
K,Oranges,1869,7169.5
L,Apples,710,2532.9
L,Bananas,1263,5207.7
L,Oranges,399,2061.9
M,Apples,1713,8416.9
M,Bananas,772,2540.5
M,Oranges,1609,8431.4
N,Apples,682,2640
N,Bananas,594,2890.2
N,Oranges,1130,5278.3
O,Apples,684,2550.4
O,Bananas,526,1578.5
O,Oranges,1133,3648.4
P,Apples,1213,3913.4
P,Bananas,432,1068.8
P,Oranges,661,3418.4
Q,Apples,1492,7135.2
Q,Bananas,1931,6635.5
Q,Oranges,380,1681
R,Apples,1574,5967.2
R,Bananas,1906,10211.9
R,Oranges,1674,5912.4
S,Apples,755,3061.5
S,Bananas,1369,5175
S,Oranges,1916,9042.2
T,Apples,1917,7588.3
T,Bananas,812,1623
T,Oranges,672,2109.1
U,Apples,498,2188.3
U,Bananas,780,2801.8
U,Oranges,1118,3812.2
V,Apples,1863,7461.4
V,Bananas,1120,3374.8
V,Oranges,750,3302.6
W,Apples,284,832.5
W,Bananas,952,3678
W,Oranges,1737,7657.9
X,Apples,825,3426.7
X,Bananas,437,1579.2
X,Oranges,874,3859.7
Y,Apples,1337,4770.2
Y,Bananas,902,3169.8
Y,Oranges,1441,6856.1
Z,Apples,1441,7209
Z,Bananas,1199,4440.5
Z,Oranges,973,3990.4
