weight_kg,height_1,height_2,height_3
81.5,1.78,1.8,1.8
72.6,1.7,1.7,1.69
92.9,1.74,1.75,1.73
79.4,1.66,1.68,1.67
94.6,1.91,1.93,1.9
80.2,1.72,1.71,1.74
116.2,1.81,1.82,1.81
95.4,1.85,1.85,1.84
99.5,1.78,1.78,1.8
70.2,1.81,1.81,1.82
88.2,1.78,1.78,1.8
70.1,1.73,1.74,1.74
103.7,1.81,1.82,1.8
111.6,1.86,1.86,1.88
89.6,1.71,1.71,1.71
92.4,1.74,1.74,1.75
77.9,1.69,1.7,1.7
96.9,1.77,1.77,1.77
76.0,1.75,1.75,1.76
90.8,1.79,1.78,1.8
71.4,1.78,1.75,1.78
74.6,1.68,1.69,1.67
79.2,1.65,1.66,1.65
91.5,1.96,1.95,1.97
96.5,1.76,1.78,1.75
67.5,1.63,1.62,1.63
107.3,1.82,1.82,1.82
79.3,1.8,1.8,1.82
78.2,1.74,1.76,1.75
88.2,1.82,1.83,1.82
71.5,1.88,1.88,1.87
94.7,1.76,1.76,1.77
66.5,1.68,1.67,1.67
87.9,1.85,1.83,1.85
67.5,1.78,1.78,1.77
88.4,1.79,1.79,1.8
69.5,1.68,1.69,1.69
121.8,1.85,1.86,1.85
71.9,1.74,1.74,1.74
88.1,1.74,1.74,1.73
57.5,1.74,1.73,1.73
87.6,1.68,1.67,1.68
85.0,1.84,1.82,1.84
86.5,1.73,1.75,1.74
95.8,1.76,1.75,1.78
66.7,1.67,1.67,1.68
70.6,1.74,1.73,1.73
84.7,1.71,1.72,1.72
101.3,1.88,1.86,1.87
85.6,1.67,1.67,1.67
109.5,1.78,1.77,1.78
83.4,1.84,1.84,1.86
72.7,1.64,1.63,1.63
98.6,1.75,1.74,1.74
77.3,1.7,1.7,1.7
140.0,1.84,1.84,1.83
67.4,1.78,1.78,1.79
88.4,1.75,1.75,1.74
98.8,1.7,1.69,1.69
95.2,1.85,1.85,1.85
56.6,1.61,1.6,1.61
71.7,1.71,1.71,1.73
71.7,1.84,1.83,1.85
80.2,1.68,1.66,1.68
98.8,1.74,1.74,1.73
66.2,1.7,1.7,1.71
80.7,1.67,1.65,1.66
105.3,1.85,1.85,1.83
68.3,1.75,1.74,1.76
74.9,1.62,1.62,1.62
73.8,1.77,1.78,1.78
60.4,1.7,1.7,1.7
77.4,1.62,1.63,1.63
76.8,1.73,1.72,1.72
102.2,1.84,1.84,1.83
96.3,1.74,1.73,1.75
92.3,1.67,1.66,1.66
98.8,1.75,1.74,1.74
88.7,1.82,1.82,1.82
98.7,1.8,1.8,1.8
85.2,1.75,1.74,1.75
74.8,1.72,1.73,1.71
92.0,1.81,1.81,1.8
74.4,1.79,1.77,1.77
82.3,1.72,1.73,1.73
62.7,1.58,1.6,1.56
77.8,1.72,1.73,1.71
88.2,1.8,1.8,1.8
59.0,1.74,1.73,1.73
73.0,1.7,1.71,1.72
86.4,1.74,1.74,1.73
86.6,1.73,1.74,1.73
73.7,1.78,1.78,1.78
65.4,1.82,1.83,1.81
69.6,1.84,1.84,1.85
77.5,1.79,1.8,1.79
72.7,1.66,1.66,1.67
79.7,1.7,1.72,1.71
74.4,1.79,1.79,1.81
96.8,1.76,1.76,1.77
