Id,LotArea,OverallQual,YearBuilt,RoofStyle,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice
1,8450,7,2003,Gable,856,Y,856,854,2,1,3,1,8,2,548,208500
2,9600,6,1976,Gable,1262,Y,1262,0,2,0,3,1,6,2,460,181500
3,11250,7,2001,Gable,920,Y,920,866,2,1,3,1,6,2,608,223500
4,9550,7,1915,Gable,756,Y,961,756,1,0,3,1,7,3,642,140000
5,14260,8,2000,Gable,1145,Y,1145,1053,2,1,4,1,9,3,836,250000
6,14115,5,1993,Gable,796,Y,796,566,1,1,1,1,5,2,480,143000
7,10084,8,2004,Gable,1686,Y,1694,0,2,0,3,1,7,2,636,307000
8,10382,7,1973,Gable,1107,Y,1107,983,2,1,3,1,7,2,484,200000
9,6120,7,1931,Gable,952,Y,1022,752,2,0,2,2,8,2,468,129900
10,7420,5,1939,Gable,991,Y,1077,0,1,0,2,2,5,1,205,118000
11,11200,5,1965,Hip,1040,Y,1040,0,1,0,3,1,5,1,384,129500
12,11924,9,2005,Hip,1175,Y,1182,1142,3,0,4,1,11,3,736,345000
13,12968,5,1962,Hip,912,Y,912,0,1,0,2,1,4,1,352,144000
14,10652,7,2006,Gable,1494,Y,1494,0,2,0,3,1,7,3,840,279500
15,10920,6,1960,Hip,1253,Y,1253,0,1,1,2,1,5,1,352,157000
16,6120,7,1929,Gable,832,Y,854,0,1,0,2,1,5,2,576,132000
17,11241,6,1970,Gable,1004,Y,1004,0,1,0,2,1,5,2,480,149000
18,10791,4,1967,Gable,0,Y,1296,0,2,0,2,2,6,2,516,90000
19,13695,5,2004,Gable,1114,Y,1114,0,1,1,3,1,6,2,576,159000
20,7560,5,1958,Hip,1029,Y,1339,0,1,0,3,1,6,1,294,139000
21,14215,8,2005,Gable,1158,Y,1158,1218,3,1,4,1,9,3,853,325300
22,7449,7,1930,Gable,637,Y,1108,0,1,0,3,1,6,1,280,139400
23,9742,8,2002,Hip,1777,Y,1795,0,2,0,3,1,7,2,534,230000
24,4224,5,1976,Gable,1040,Y,1060,0,1,0,3,1,6,2,572,129900
25,8246,5,1968,Gable,1060,Y,1060,0,1,0,3,1,6,1,270,154000
26,14230,8,2007,Gable,1566,Y,1600,0,2,0,3,1,7,3,890,256300
27,7200,5,1951,Gable,900,Y,900,0,1,0,3,1,5,2,576,134800
28,11478,8,2007,Gable,1704,Y,1704,0,2,0,3,1,7,3,772,306000
29,16321,5,1957,Gable,1484,Y,1600,0,1,0,2,1,6,1,319,207500
30,6324,4,1927,Gable,520,N,520,0,1,0,1,1,4,1,240,68500
31,8500,4,1920,Gambrel,649,N,649,668,1,0,3,1,6,1,250,40000
32,8544,5,1966,Gable,1228,Y,1228,0,1,1,3,1,6,1,271,149350
33,11049,8,2007,Gable,1234,Y,1234,0,2,0,3,1,7,2,484,179900
34,10552,5,1959,Hip,1398,Y,1700,0,1,1,4,1,6,2,447,165500
35,7313,9,2005,Hip,1561,Y,1561,0,2,0,2,1,6,2,556,277500
36,13418,8,2004,Gable,1117,Y,1132,1320,3,1,4,1,9,3,691,309000
37,10859,5,1994,Gable,1097,Y,1097,0,1,1,3,1,6,2,672,145000
38,8532,5,1954,Hip,1297,Y,1297,0,1,0,3,1,5,2,498,153000
39,7922,5,1953,Gable,1057,Y,1057,0,1,0,3,1,5,1,246,109000
40,6040,4,1955,Gable,0,N,1152,0,2,0,2,2,6,0,0,82000
41,8658,6,1965,Gable,1088,Y,1324,0,2,0,3,1,6,2,440,160000
42,16905,5,1959,Gable,1350,Y,1328,0,1,1,2,1,5,1,308,170000
43,9180,5,1983,Gable,840,Y,884,0,1,0,2,1,5,2,504,144000
44,9200,5,1975,Hip,938,Y,938,0,1,0,3,1,5,1,308,130250
45,7945,5,1959,Gable,1150,Y,1150,0,1,0,3,1,6,1,300,141000
46,7658,9,2005,Hip,1752,Y,1752,0,2,0,2,1,6,2,576,319900
47,12822,7,2003,Gable,1434,Y,1518,631,1,1,1,1,6,2,670,239686
48,11096,8,2006,Gable,1656,Y,1656,0,2,0,3,1,7,3,826,249700
49,4456,4,1920,Gable,736,Y,736,716,2,0,2,3,8,0,0,113000
50,7742,5,1966,Gable,955,Y,955,0,1,0,3,1,6,1,386,127000
51,13869,6,1997,Gable,794,Y,794,676,2,0,3,1,6,2,388,177000
52,6240,6,1934,Gable,816,Y,816,0,1,0,3,1,6,2,528,114500
53,8472,5,1963,Gable,816,N,816,0,1,0,2,1,5,2,516,110000
54,50271,9,1981,Gable,1842,Y,1842,0,0,1,0,1,5,3,894,385000
55,7134,5,1955,Gable,384,Y,1360,0,1,0,3,1,6,2,572,130000
56,10175,6,1964,Gable,1425,Y,1425,0,2,0,3,1,7,2,576,180500
57,2645,8,1999,Gable,970,Y,983,756,2,1,3,1,7,2,480,172500
58,11645,7,2004,Gable,860,Y,860,860,2,1,3,1,7,2,565,196500
59,13682,10,2006,Hip,1410,Y,1426,1519,3,1,3,1,10,3,641,438780
60,7200,5,1972,Gable,780,Y,780,0,1,0,2,1,4,1,352,124900
61,13072,6,2004,Gable,1158,Y,1158,0,1,1,3,1,5,2,576,158000
62,7200,5,1920,Gable,530,N,581,530,1,0,3,1,6,1,288,101000
63,6442,8,2006,Gable,1370,Y,1370,0,2,0,2,1,6,2,484,202500
64,10300,7,1921,Gable,576,Y,902,808,2,0,3,1,9,2,480,140000
65,9375,7,1997,Gable,1057,Y,1057,977,2,1,3,1,8,2,645,219500
66,9591,8,2004,Gable,1143,Y,1143,1330,2,1,4,1,9,3,852,317000
67,19900,7,1970,Gable,1947,Y,2207,0,2,0,3,1,7,2,576,180000
68,10665,7,2003,Gable,1453,Y,1479,0,2,0,3,1,7,2,558,226000
69,4608,4,1945,Gable,747,Y,747,0,1,0,2,1,4,1,220,80000
70,15593,7,1953,Gable,1304,Y,1304,983,2,0,3,1,7,2,667,225000
71,13651,7,1973,Gable,2223,Y,2223,0,2,0,3,1,8,2,516,244000
72,7599,4,1982,Gable,845,Y,845,0,1,0,2,1,4,2,360,129500
73,10141,7,1998,Gable,832,Y,885,833,2,1,3,1,7,2,427,185000
74,10200,5,1954,Gable,1086,Y,1086,0,1,0,3,1,6,2,490,144900
75,5790,3,1915,Gambrel,840,N,840,765,2,0,3,2,8,1,379,107400
76,1596,4,1973,Gable,462,Y,526,462,1,0,2,1,5,1,297,91000
77,8475,4,1956,Gable,952,Y,952,0,1,0,2,1,4,1,283,135750
78,8635,5,1948,Gable,672,Y,1072,213,1,0,2,1,6,1,240,127000
79,10778,4,1968,Hip,1768,N,1768,0,2,0,4,2,8,0,0,136500
80,10440,5,1910,Gable,440,Y,682,548,1,1,2,1,5,2,440,110000
81,13000,6,1968,Gable,896,Y,1182,960,2,1,4,1,8,1,509,193500
82,4500,6,1998,Hip,1237,Y,1337,0,2,0,2,1,5,2,405,153500
83,10206,8,2007,Gable,1563,Y,1563,0,2,0,3,1,6,3,758,245000
84,8892,5,1960,Gable,1065,Y,1065,0,1,1,3,1,6,2,461,126500
85,8530,7,1995,Gable,384,Y,804,670,2,1,3,1,7,2,400,168500
86,16059,8,1991,Hip,1288,Y,1301,1116,2,1,4,1,9,2,462,260000
87,11911,6,2005,Gable,684,Y,684,876,2,1,3,1,6,2,400,174000
88,3951,6,2009,Gable,612,Y,612,612,2,1,2,1,4,2,528,164500
89,8470,3,1915,Hip,1013,N,1013,0,1,0,2,1,6,0,0,85000
90,8070,4,1994,Gable,990,Y,990,0,1,0,3,1,5,0,0,123600
91,7200,4,1950,Gable,0,Y,1040,0,1,0,2,1,4,2,420,109900
92,8500,5,1961,Hip,1235,Y,1235,0,1,0,2,1,6,2,480,98600
93,13360,5,1921,Gable,876,Y,964,0,1,0,2,1,5,2,432,163500
94,7200,6,1910,Hip,1214,N,1260,1031,2,0,4,2,9,2,506,133900
95,9337,6,1997,Gable,824,Y,905,881,2,1,3,1,7,2,684,204750
96,9765,6,1993,Gable,680,Y,680,790,2,1,3,1,6,2,420,185000
97,10264,7,1999,Gable,1588,Y,1588,0,2,0,3,1,6,2,472,214000
98,10921,4,1965,Hip,960,Y,960,0,1,0,3,1,6,1,432,94750
99,10625,5,1920,Gable,458,N,835,0,1,0,2,1,5,1,366,83000
100,9320,4,1959,Gable,950,Y,1225,0,1,1,3,1,6,0,0,128950
101,10603,6,1977,Gable,1610,Y,1610,0,2,0,3,1,6,2,480,205000
102,9206,6,1985,Gable,741,Y,977,755,2,1,3,1,7,2,476,178000
103,7018,5,1979,Gable,0,Y,1535,0,2,0,4,2,8,2,410,118964
104,10402,7,2009,Gable,1226,Y,1226,0,2,0,3,1,6,3,740,198900
105,7758,7,1931,Gable,1040,Y,1226,592,1,1,4,1,7,1,240,169500
106,9375,8,2003,Hip,1053,Y,1053,939,2,1,3,1,9,2,648,250000
107,10800,4,1885,Mansard,641,Y,1047,0,1,0,2,1,6,1,273,100000
108,6000,5,1948,Gable,789,Y,789,0,1,0,2,1,5,1,250,115000
109,8500,5,1919,Gable,793,N,997,520,2,0,3,1,7,0,0,115000
110,11751,6,1977,Hip,1844,Y,1844,0,2,0,3,1,7,2,546,190000
111,9525,6,1954,Gable,994,Y,1216,639,2,0,4,1,7,1,325,136900
112,7750,7,2000,Gable,384,Y,774,656,2,1,3,1,7,2,400,180000
113,9965,7,2007,Gable,1264,Y,1282,1414,2,1,4,1,10,3,792,383970
114,21000,6,1953,Hip,1809,Y,2259,0,2,0,3,1,7,2,450,217000
115,7259,6,1945,Gambrel,1028,Y,1436,884,2,1,3,1,9,1,180,259500
116,3230,6,1999,Gable,729,Y,729,729,2,1,2,1,5,2,440,176000
117,11616,5,1962,Gable,1092,Y,1092,0,1,0,3,1,6,1,288,139000
118,8536,5,2006,Gable,1125,Y,1125,0,1,1,2,1,5,2,430,155000
119,12376,7,1990,Hip,1673,Y,1699,1523,3,0,5,1,11,3,594,320000
120,8461,6,2005,Gable,728,Y,728,728,2,1,3,1,8,2,390,163990
121,21453,6,1969,Flat,938,Y,988,0,1,0,1,1,4,2,540,180000
122,6060,4,1939,Gable,732,Y,772,351,1,0,3,1,4,1,264,100000
123,9464,6,1958,Hip,1080,Y,1080,0,1,0,3,1,5,1,288,136000
124,7892,6,1993,Gable,1199,Y,1199,0,2,0,2,1,5,2,530,153900
125,17043,6,1979,Gable,1362,Y,1586,0,2,0,3,1,7,2,435,181000
126,6780,6,1935,Gable,520,N,520,0,1,0,2,1,5,0,0,84500
127,4928,6,1976,Gable,1078,Y,958,0,2,0,2,1,5,2,440,128000
128,4388,5,1930,Gable,672,Y,840,0,1,0,3,1,5,0,0,87000
129,7590,6,1966,Gable,660,Y,660,688,1,1,3,1,6,2,453,155000
130,8973,5,1958,Gable,1008,Y,1053,0,1,1,3,1,6,2,750,150000
131,14200,7,1966,Gable,924,Y,1216,941,2,1,4,1,8,2,487,226000
132,12224,6,2000,Gable,992,Y,1022,1032,2,1,3,1,7,2,390,244000
133,7388,5,1959,Gable,1063,Y,1327,0,1,0,3,1,7,2,624,150750
134,6853,8,2001,Gable,1267,Y,1296,0,2,0,2,1,6,2,471,220000
135,10335,5,1968,Gable,1461,Y,1721,0,2,1,3,1,7,2,440,180000
136,10400,7,1970,Hip,1304,Y,1682,0,2,0,3,1,7,2,530,174000
137,10355,5,1967,Gable,1214,Y,1214,0,2,0,3,1,5,1,318,143000
