Date,
1/4/10,100
1/5/10,100.4573941
1/6/10,99.98100475
1/7/10,99.48532842
1/8/10,100.1482314
1/11/10,99.31431222
1/12/10,97.93367371
1/13/10,99.18826017
1/14/10,99.11256013
1/15/10,97.92267639
1/19/10,100.0321953
1/20/10,97.9925736
1/21/10,95.56390313
1/22/10,92.75151174
1/25/10,93.56355652
1/26/10,93.33139262
1/27/10,94.00666059
1/28/10,92.16490567
1/29/10,90.38892339
2/1/10,91.68730307
2/2/10,92.5860842
2/3/10,92.37427056
2/4/10,88.48156375
2/5/10,88.97468127
2/8/10,88.26345423
2/9/10,89.96809487
2/10/10,89.70936313
2/11/10,90.64207384
2/12/10,90.33659454
2/16/10,91.96825409
2/17/10,92.09878573
2/18/10,92.44283556
2/19/10,92.1280708
2/22/10,92.08977509
2/23/10,90.69990339
2/24/10,91.43250423
2/25/10,91.29785796
2/26/10,92.09162654
3/1/10,93.67925284
3/2/10,94.22535388
3/3/10,94.75784493
3/4/10,95.26211482
3/5/10,97.57752682
3/8/10,97.93370121
3/9/10,98.04336471
3/10/10,98.92502376
3/11/10,99.42002386
3/12/10,99.63625494
3/15/10,98.71498959
3/16/10,99.49325253
3/17/10,99.79814249
3/18/10,99.9102831
3/19/10,98.86320509
3/22/10,99.35661339
3/23/10,100.1898809
3/24/10,99.40405077
3/25/10,99.42531137
3/26/10,100.3781886
3/29/10,101.1566436
3/30/10,101.5971273
3/31/10,101.2672164
4/5/10,102.552834
4/6/10,102.66963
4/7/10,102.3236088
4/8/10,103.0834377
4/9/10,103.7836877
4/12/10,104.0809182
4/13/10,104.1202393
4/14/10,105.7787146
4/15/10,106.0912763
4/16/10,103.2605346
4/19/10,103.2688264
4/20/10,102.7741019
4/21/10,103.707393
4/22/10,104.5249082
4/23/10,105.2502496
4/26/10,104.9030403
4/27/10,101.3467795
4/28/10,101.3492252
4/29/10,102.9689089
4/30/10,100.1235403
5/3/10,100.4649167
5/4/10,97.7728029
5/5/10,96.56627342
5/6/10,92.33251235
5/7/10,90.75283544
5/10/10,96.73146449
5/11/10,95.66269637
5/12/10,97.47490021
5/13/10,95.91142812
5/14/10,93.33146479
5/17/10,93.1372595
5/18/10,92.07137817
5/19/10,91.58963153
5/20/10,88.22423538
5/21/10,90.36028218
5/24/10,89.65756778
5/25/10,90.18194885
5/26/10,89.26845744
5/27/10,93.17571552
5/28/10,92.72307092
6/1/10,91.85810816
6/2/10,94.56121705
6/3/10,94.40048261
6/4/10,91.00921026
6/7/10,89.48095443
6/8/10,89.66883151
6/9/10,88.51883875
6/10/10,91.91310549
6/11/10,92.3959686
6/14/10,92.53815542
6/15/10,95.11749524
6/16/10,95.55610566
6/17/10,96.17368139
6/18/10,96.47875836
6/21/10,96.36444674
6/22/10,95.82305382
6/23/10,95.85304459
6/24/10,94.35475442
6/25/10,94.72214934
6/28/10,94.07980907
6/29/10,89.80561055
6/30/10,88.53058131
7/1/10,89.05222228
7/2/10,88.56272033
7/6/10,89.52078857
7/7/10,92.64995356
7/8/10,93.29110828
7/9/10,93.96428466
7/12/10,93.2731021
7/13/10,93.93683504
7/14/10,94.15253063
7/15/10,94.41644451
7/16/10,92.65043289
7/19/10,92.93395792
7/20/10,94.76260909
7/21/10,93.76963061
7/22/10,96.24523594
7/23/10,96.88329499
7/26/10,97.36056722
7/27/10,97.86880617
7/28/10,97.41648693
7/29/10,98.01126108
7/30/10,97.87917183
8/2/10,100.1052434
8/3/10,100.1775515
8/4/10,101.1432777
8/5/10,101.0327761
8/6/10,101.0349525
8/9/10,101.4546305
8/10/10,100.7758189
8/11/10,96.888449
8/12/10,97.09233623
8/13/10,96.5630682
8/16/10,96.66303129
8/17/10,97.98393279
8/18/10,98.29546434
8/19/10,96.71008969
8/20/10,96.24737363
8/23/10,95.49696112
8/24/10,93.31602975
8/25/10,94.05243102
8/26/10,93.35921348
8/27/10,94.87119768
8/30/10,93.70008525
8/31/10,94.09707133
9/1/10,97.75036337
9/2/10,98.3326672
9/3/10,100.3920311
9/7/10,98.82067988
9/8/10,99.90724307
9/9/10,100.3894931
9/10/10,100.8928914
9/13/10,102.233055
9/14/10,102.7708545
9/15/10,103.3514064
9/16/10,104.2154158
9/17/10,103.7409935
9/20/10,105.6013395
9/21/10,105.7792727
9/22/10,106.3997489
9/23/10,105.927216
9/24/10,108.3771995
9/27/10,107.7861133
9/28/10,107.9050546
9/29/10,107.5287184
9/30/10,106.8939751
10/1/10,107.293116
10/4/10,106.2722666
10/5/10,109.5140104
10/6/10,109.6360273
10/7/10,109.7056786
10/8/10,110.7968849
10/11/10,110.6908513
10/12/10,111.2999295
10/13/10,112.6345965
10/14/10,113.5287291
10/15/10,115.6661048
10/18/10,116.139078
10/19/10,113.4747703
10/20/10,114.9445496
10/21/10,115.0308094
10/22/10,115.1562262
10/25/10,115.6497814
10/26/10,115.5407849
10/27/10,114.8592399
10/28/10,115.0801514
10/29/10,114.5045824
11/1/10,114.4553797
11/2/10,116.4504207
11/3/10,116.6749382
11/4/10,118.7350729
11/5/10,118.6826025
11/8/10,118.3115656
11/9/10,117.2889801
11/10/10,117.528079
11/11/10,116.9777263
11/12/10,114.9520262
11/15/10,114.3650152
11/16/10,112.0044
11/17/10,111.8258785
11/18/10,114.8490448
11/19/10,114.8436636
11/22/10,115.0396421
11/23/10,112.314645
11/24/10,114.3837453
11/26/10,113.3476236
11/29/10,113.2579022
11/30/10,111.5822324
12/1/10,114.2857075
12/2/10,115.7865622
12/3/10,116.1177217
12/6/10,116.3455198
12/7/10,115.9640623
12/8/10,116.3795903
12/9/10,116.5225622
12/10/10,116.9674667
12/13/10,117.5756452
12/14/10,117.4006045
12/15/10,116.3633272
12/16/10,116.7859319
12/17/10,116.332694
12/20/10,116.9635278
12/21/10,118.0559573
12/22/10,118.1823385
12/23/10,117.5386263
12/27/10,117.419234
12/28/10,117.4092308
12/29/10,117.8171844
12/30/10,117.5927743
12/31/10,117.4882014
1/3/11,118.7936936
