,state,num_markets,population,people_per_market,log_pop,log_markets,is_selected
43,Vermont,68,626562.0,9214.14705882353,13.34800301091182,4.219507705176107,Vermont
7,District of Columbia,44,658893.0,14974.84090909091,13.398316433078595,3.784189633918261,other
48,Wyoming,31,584153.0,18843.645161290322,13.277918213799316,3.4339872044851463,other
27,New Hampshire,69,1326813.0,19229.17391304348,14.098290384017284,4.23410650459726,other
24,Montana,52,1023579.0,19684.21153846154,13.838815867230824,3.9512437185814275,other
17,Maine,66,1330089.0,20152.863636363636,14.100756415252308,4.189654742026425,other
19,Massachusetts,240,6745408.0,28105.866666666665,15.72437253504589,5.480638923341991,other
47,Wisconsin,196,5757564.0,29375.326530612245,15.566025026550932,5.278114659230517,other
13,Iowa,101,3107126.0,30763.62376237624,14.94920874114158,4.61512051684126,other
37,Rhode Island,34,1055173.0,31034.5,13.869215292491537,3.5263605246161616,other
35,Oregon,122,3970239.0,32542.94262295082,15.19433685236267,4.804021044733257,other
46,West Virginia,56,1850326.0,33041.53571428572,14.43087239774647,4.02535169073515,other
6,Delaware,28,935614.0,33414.78571428572,13.74895827723989,3.332204510175204,other
25,Nebraska,55,1881503.0,34209.145454545454,14.447581483486854,4.007333185232471,other
23,Missouri,166,6063589.0,36527.64457831325,15.617812426962523,5.111987788356544,other
39,South Dakota,23,853175.0,37094.565217391304,13.656719963696684,3.1354942159291497,other
29,New Mexico,56,2085572.0,37242.357142857145,14.550553716118136,4.02535169073515,other
14,Kansas,77,2904021.0,37714.55844155844,14.881606886305637,4.343805421853684,other
20,Michigan,238,9909877.0,41638.138655462186,16.1090424945238,5.472270673671475,other
21,Minnesota,127,5457173.0,42969.86614173228,15.512441448066445,4.844187086458591,other
30,New York,450,19746227.0,43880.50444444444,16.798472993086644,6.1092475827643655,other
10,Idaho,37,1634464.0,44174.7027027027,14.306825479819723,3.6109179126442243,other
12,Indiana,144,6596855.0,45811.493055555555,15.702103578275715,4.969813299576001,other
44,Virginia,181,8326289.0,46001.59668508287,15.934928416679941,5.198497031265826,other
32,North Dakota,16,739482.0,46217.625,13.51370522006596,2.772588722239781,other
15,Kentucky,95,4413457.0,46457.44210526316,15.300168840560477,4.553876891600541,other
2,Arkansas,59,2966369.0,50277.4406779661,14.902849203921505,4.07753744390572,other
18,Maryland,115,5976407.0,51968.75652173913,15.603330109232058,4.74493212836325,Maryland
45,Washington,131,7061530.0,53904.80916030534,15.770172299871383,4.875197323201151,other
4,Colorado,98,5355866.0,54651.69387755102,15.493702966809579,4.584967478670572,other
31,North Carolina,163,9943964.0,61005.91411042945,16.112476291892598,5.093750200806762,other
33,Ohio,184,11594163.0,63011.75543478261,16.26601233977902,5.214935757608986,other
22,Mississippi,45,2994079.0,66535.08888888889,14.912147229719148,3.8066624897703196,other
5,Connecticut,54,3596677.0,66605.12962962964,15.095520921592664,3.9889840465642745,other
11,Illinois,191,12880580.0,67437.59162303664,16.371231308682514,5.25227342804663,other
0,Alabama,71,4849377.0,68301.08450704225,15.394360801054548,4.2626798770413155,other
38,South Carolina,67,4832482.0,72126.59701492537,15.390870765277551,4.204692619390966,other
40,Tennessee,82,6549352.0,79870.14634146342,15.694876671419701,4.406719247264253,other
9,Georgia,124,10097343.0,81430.18548387097,16.127782877895758,4.820281565605037,other
16,Louisiana,57,4649676.0,81573.26315789473,15.3523080977166,4.04305126783455,other
28,New Jersey,104,8938175.0,85943.99038461539,16.005841987608093,4.6443908991413725,other
3,California,442,38802500.0,87788.46153846153,17.473995235507477,6.091309882077698,other
36,Pennsylvania,144,12787209.0,88800.0625,16.363955932384844,4.969813299576001,other
42,Utah,31,2942902.0,94932.32258064517,14.894906727306774,3.4339872044851463,other
1,Arizona,66,6731484.0,101992.18181818182,15.722306182513806,4.189654742026425,other
26,Nevada,26,2839099.0,109196.11538461539,14.858997306280717,3.258096538021482,other
34,Oklahoma,34,3878051.0,114060.32352941176,15.170843265807077,3.5263605246161616,other
8,Florida,156,19893297.0,127521.13461538461,16.805893398782494,5.049856007249537,other
41,Texas,127,26956958.0,212259.51181102364,17.109752003814272,4.844187086458591,Texas
