,name,city,county,state,lat,lon,months_open,Bakedgoods,Beans,Cheese,Coffee,Crafts,Eggs,Flowers,Fruits,Grains,Herbs,Honey,Jams,Juices,Maple,Meat,Mushrooms,Nursery,Nuts,PetFood,Plants,Poultry,Prepared,Seafood,Soap,Tofu,Trees,Vegetables,WildHarvested,Wine,num_items_sold,state_pop
0,Island Market,Key Largo,Monroe,Florida,-80.4272178,25.1092141,6,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,18,19893297.0
1,COFFO Harvest Farmers' Market,Florida City,Miami-Dade,Florida,-80.482299,25.44985,12,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,7,19893297.0
2,COFFO Harvest Farmers' Market,Homestead,Miami-Dade,Florida,-80.4834,25.4635,12,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,7,19893297.0
3,Verde Gardens Farmers Market,Homestead,Miami-Dade,Florida,-80.3956069,25.5067274,12,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,19893297.0
4,Verde Community Farm and Market,Homestead,Miami-Dade,Florida,-80.3956069,25.5067274,9,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,19893297.0
5,All Locally Grown Produce,Homestead,Miami-Dade,Florida,-80.430378,25.50788,6,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,7,19893297.0
6,Pinecrest Farmers Market,Pinecrest,Miami-Dade,Florida,-80.286264,25.669303,12,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,24,19893297.0
7,Sunset Marketplace,South Miami,Miami-Dade,Florida,-80.2854382,25.7044957,12,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,16,19893297.0
8,Roots in the City Urban Farmers' Market,Coconut Grove,Miami-Dade,Florida,-80.253582,25.727617,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,19893297.0
9,Southwest Community Farmers Market at Tropical Park,Miami,Miami-Dade,Florida,-80.325631,25.73197,12,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,18,19893297.0
10,Miami Children's Hospital Farmer's Market,miami,Miami-Dade,Florida,-80.29403,25.741264,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,14,19893297.0
11,Coral Gables Farmers Market,Coral Gables,Miami-Dade,Florida,-80.2632,25.749,3,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,11,19893297.0
12,Coral Gables Museum Market on the Plaza,Coral Gables,Miami-Dade,Florida,-80.260407,25.7504534,10,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,12,19893297.0
13,Brickell City Centre Farmers Market,Miami,Miami-Dade,Florida,-80.192121,25.767406,12,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,15,19893297.0
