,city,year,pollutant,state,value,month,day
0,Cincinnati,2012,CO,Ohio,1.1949999999999998,2,60
1,Cincinnati,2012,NO2,Ohio,43.0,2,60
2,Cincinnati,2012,O3,Ohio,0.04,2,60
3,Cincinnati,2012,SO2,Ohio,102.35,2,60
4,Cincinnati,2013,CO,Ohio,1.32,12,365
5,Cincinnati,2013,NO2,Ohio,58.0,12,365
6,Cincinnati,2013,O3,Ohio,0.07400000000000001,12,365
7,Cincinnati,2013,SO2,Ohio,82.9,12,365
8,Cincinnati,2014,CO,Ohio,1.0550000000000002,12,365
9,Cincinnati,2014,NO2,Ohio,50.0,12,365
10,Cincinnati,2014,O3,Ohio,0.078,12,365
11,Cincinnati,2014,SO2,Ohio,90.35,12,365
12,Cincinnati,2015,CO,Ohio,1.008,12,365
13,Cincinnati,2015,NO2,Ohio,57.0,12,365
14,Cincinnati,2015,O3,Ohio,0.075,12,365
15,Cincinnati,2015,SO2,Ohio,40.3,12,365
16,Denver,2012,CO,Colorado,3.3,12,366
17,Denver,2012,NO2,Colorado,85.0,12,366
18,Denver,2012,O3,Colorado,0.07566666666666666,12,366
19,Denver,2012,SO2,Colorado,37.0,12,366
20,Denver,2013,CO,Colorado,5.1,12,365
21,Denver,2013,NO2,Colorado,82.0,12,365
22,Denver,2013,O3,Colorado,0.07400000000000001,12,365
23,Denver,2013,SO2,Colorado,44.15,12,365
24,Denver,2014,CO,Colorado,2.6500000000000004,12,365
25,Denver,2014,NO2,Colorado,136.4,12,365
26,Denver,2014,O3,Colorado,0.068,12,365
27,Denver,2014,SO2,Colorado,13.3,12,365
28,Denver,2015,CO,Colorado,2.45,12,365
29,Denver,2015,NO2,Colorado,94.9,12,365
30,Denver,2015,O3,Colorado,0.077,12,365
31,Denver,2015,SO2,Colorado,17.3,12,365
32,Des Moines,2012,CO,Iowa,1.2255,10,305
33,Des Moines,2012,NO2,Iowa,50.1,10,305
34,Des Moines,2012,O3,Iowa,0.07,10,305
35,Des Moines,2012,SO2,Iowa,1.6,10,305
36,Des Moines,2013,CO,Iowa,0.8059999999999999,10,304
37,Des Moines,2013,NO2,Iowa,43.6,10,304
38,Des Moines,2013,O3,Iowa,0.0625,10,304
39,Des Moines,2013,SO2,Iowa,0.95,10,304
40,Des Moines,2014,CO,Iowa,1.0550000000000002,10,304
41,Des Moines,2014,NO2,Iowa,47.0,10,304
42,Des Moines,2014,O3,Iowa,0.068,10,304
43,Des Moines,2014,SO2,Iowa,1.05,10,304
44,Des Moines,2015,CO,Iowa,0.8945,10,300
45,Des Moines,2015,NO2,Iowa,41.1,10,300
46,Des Moines,2015,O3,Iowa,0.065,10,300
47,Des Moines,2015,SO2,Iowa,1.65,10,300
48,Fairbanks,2014,CO,Alaska,2.23,12,365
49,Fairbanks,2014,NO2,Alaska,95.1,12,365
50,Fairbanks,2014,O3,Alaska,0.035,12,365
51,Fairbanks,2014,SO2,Alaska,30.05,12,365
52,Fairbanks,2015,CO,Alaska,5.17,12,365
