,Unnamed: 0,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
58,794,455,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
60,796,455,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Silver
61,797,455,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Bronze
1066,18577,9829,David Sagitovich Belyavsky,M,24.0,165.0,55.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
1068,18579,9829,David Sagitovich Belyavsky,M,24.0,165.0,55.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
2838,53763,27572,Deng Shudi,M,24.0,163.0,58.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Bronze
4600,89224,45219,Fabian Hambchen,M,28.0,164.0,62.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
5150,101753,51457,Diego Matias Hyplito,M,30.0,170.0,68.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,Silver
5748,114515,57997,Ryohei Kato,M,22.0,162.0,54.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Gold
6421,128700,64787,Nikolay Yulyevich Kuksenkov,M,27.0,172.0,65.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
6832,137853,69285,Danell Johan Leyva Gonzalez,M,24.0,170.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,Silver
6833,137854,69285,Danell Johan Leyva Gonzalez,M,24.0,170.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
6923,139275,69955,Lin Chaopan,M,20.0,163.0,60.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Bronze
6990,140788,70677,Liu Yang,M,21.0,162.0,61.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Bronze
7450,149540,75010,Arthur Nory Oyakawa Mariano,M,22.0,169.0,65.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
8398,167240,84014,"Alexander Michael ""Alex"" Naddour",M,25.0,170.0,70.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
8414,167469,84138,Nikita Vladimirovich Nagorny,M,19.0,166.0,67.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
9410,187216,94094,Eleftherios Petrounias,M,25.0,164.0,62.0,Greece,GRE,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Gold
10076,199788,100351,Ri Se-Gwang,M,31.0,155.0,54.0,North Korea,PRK,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Gold
11004,218755,109869,Kenzo Shirai,M,19.0,162.0,51.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Gold
11006,218757,109869,Kenzo Shirai,M,19.0,162.0,51.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Bronze
11252,223676,112342,Louis Antoine Smith,M,27.0,184.0,76.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,Silver
11540,230629,115758,Ivan Alekseyevich Stretovich,M,19.0,170.0,59.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
11796,236062,118359,Yusuke Tanaka,M,26.0,166.0,58.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Gold
12324,245736,123056,Kohei Uchimura,M,27.0,160.0,54.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,Gold
12325,245737,123056,Kohei Uchimura,M,27.0,160.0,54.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Gold
12663,251779,126096,Oleh Yuriyovych Verniaiev,M,22.0,161.0,55.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,Silver
12667,251783,126096,Oleh Yuriyovych Verniaiev,M,22.0,161.0,55.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,Gold
13048,259829,130071,Max Antony Whitlock,M,23.0,167.0,56.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
13050,259831,130071,Max Antony Whitlock,M,23.0,167.0,56.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,Gold
13054,259835,130071,Max Antony Whitlock,M,23.0,167.0,56.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
13146,261563,130874,Nile Wilson,M,20.0,166.0,60.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
13291,264454,132340,Koji Yamamuro,M,27.0,159.0,58.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Gold
13402,266171,133174,You Hao,M,24.0,162.0,60.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Bronze
13502,267709,133931,Arthur Nabarrete Zanetti,M,26.0,156.0,61.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Silver
13551,268713,134433,Zhang Chenglong,M,27.0,173.0,65.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Bronze
