,model_year,origin,mpg_mean
0,70,europe,25.2
1,70,japan,25.5
2,70,usa,15.272727272727273
3,71,europe,28.75
4,71,japan,29.5
5,71,usa,18.1
6,72,europe,22.0
7,72,japan,24.2
8,72,usa,16.27777777777778
9,73,europe,24.0
10,73,japan,20.0
11,73,usa,15.034482758620689
12,74,europe,27.0
13,74,japan,29.33333333333333
14,74,usa,18.33333333333333
15,75,europe,24.5
16,75,japan,27.5
17,75,usa,17.55
18,76,europe,24.25
19,76,japan,28.0
20,76,usa,19.431818181818183
21,77,europe,29.25
22,77,japan,27.41666666666667
23,77,usa,20.722222222222218
24,78,europe,24.95
25,78,japan,29.6875
26,78,usa,21.772727272727273
27,79,europe,30.45
28,79,japan,32.95
29,79,usa,23.47826086956522
30,80,europe,37.28888888888889
31,80,japan,35.4
32,80,usa,25.914285714285718
33,81,europe,31.575
34,81,japan,32.95833333333333
35,81,usa,27.530769230769234
36,82,europe,40.0
37,82,japan,34.888888888888886
38,82,usa,29.45
