,lats,lons
0,32.00032,-103.55583
1,32.00001,-104.00265
2,32.00041,-104.64165
3,32.0005,-105.14679
4,32.00198,-105.90075
5,32.00076,-106.55721
6,31.98981,-106.63119
7,31.93601,-106.62216
8,31.90997,-106.63325
9,31.84661,-106.61103
10,31.8054,-106.54568
11,31.78318,-106.52834
12,31.78328,-106.52861
13,31.78391,-106.53181
14,31.78394,-106.55963
15,31.78395,-106.56993
16,31.78399,-106.60042
17,31.784,-106.61408
18,31.78409,-106.62967
19,31.78395,-106.67613
20,31.78393,-106.68194
21,31.78371,-106.7505
22,31.78394,-106.75874
23,31.78404,-106.77057
24,31.78385,-106.82052
25,31.78384,-106.87555
26,31.78379,-106.89949
27,31.78378,-106.93928
28,31.78381,-106.96546
29,31.7837,-106.98754
30,31.78369,-106.99317
31,31.78367,-106.99823
32,31.78367,-106.99882
33,31.78355,-107.00056
34,31.78354,-107.12556
35,31.78377,-107.2773
36,31.78367,-107.29766
37,31.78366,-107.3093
38,31.78367,-107.32402
39,31.78365,-107.35469
40,31.78367,-107.37629
41,31.78365,-107.39716
42,31.7836,-107.42244
43,31.78365,-107.47074
44,31.78366,-107.50261
45,31.78365,-107.53069
46,31.78369,-107.5835
47,31.78365,-107.62497
48,31.78374,-107.6266
49,31.78374,-107.62774
50,31.78374,-107.62988
51,31.78374,-107.63241
52,31.7837,-107.63786
53,31.78371,-107.64356
54,31.78371,-107.65173
55,31.78368,-107.66987
56,31.78368,-107.70084
57,31.78368,-107.70821
58,31.78361,-107.75058
59,31.78363,-107.7889
60,31.78365,-107.84105
61,31.7836,-107.86238
62,31.78359,-107.8711
63,31.78359,-107.88551
64,31.7836,-107.90473
65,31.78363,-107.964
66,31.78365,-108.00059
67,31.78361,-108.044
68,31.78357,-108.05664
69,31.78351,-108.07876
70,31.7835,-108.08267
71,31.78353,-108.1052
72,31.78357,-108.15227
73,31.78358,-108.17096
74,31.78359,-108.1986
75,31.7836,-108.20839
76,31.74465,-108.20844
77,31.72969,-108.20841
78,31.72323,-108.2084
79,31.7194,-108.20838
80,31.71733,-108.20837
81,31.68878,-108.2083
82,31.62561,-108.20814
83,31.58935,-108.20819
84,31.5608,-108.20835
85,31.52581,-108.20869
86,31.50105,-108.20855
87,31.4998,-108.20852
88,31.47883,-108.20849
89,31.42917,-108.20839
90,31.37656,-108.20848
91,31.3561,-108.20854
92,31.3334,-108.20857
93,31.3334,-108.36757
94,31.33341,-108.38904
95,31.33347,-108.44606
96,31.33344,-108.47535
97,31.33336,-108.53011
98,31.33329,-108.61731
99,31.33323,-108.65709
100,31.33319,-108.70766
101,31.33307,-108.71907
102,31.33298,-108.72702
103,31.3329,-108.73503
104,31.33285,-108.73904
105,31.33273,-108.7506
106,31.33261,-108.75906
107,31.33226,-108.82206
108,31.33232,-108.86103
109,31.33231,-108.88692
110,31.33217,-109.00061
111,31.33224,-109.05004
112,31.3325,-109.05004
113,31.63698,-109.04911
114,31.87069,-109.04905
115,32.1771,-109.04811
116,32.40743,-109.04764
117,32.70386,-109.04762
118,33.07165,-109.0474
119,33.3477,-109.04691
120,33.71335,-109.047
121,34.08446,-109.04692
122,34.44558,-109.04633
123,34.71264,-109.04603
124,34.91388,-109.04598
125,35.30697,-109.04644
126,35.45859,-109.04662
127,35.65092,-109.04636
128,35.81044,-109.04621
129,35.93088,-109.04606
130,36.03128,-109.04578
131,36.18724,-109.04601
132,36.29154,-109.04575
133,36.41637,-109.04579
134,36.54513,-109.04547
135,36.70384,-109.04544
136,36.8531,-109.04531
137,36.99897,-109.04522
138,36.99908,-109.04522
139,36.99908,-109.04518
140,36.99885,-108.8978
141,36.99887,-108.7496
142,36.99927,-108.52833
143,36.99924,-108.20233
144,37.0,-107.8669
145,37.00001,-107.49519
146,37.0,-107.4121
147,37.00001,-107.25094
148,37.00001,-107.00562
149,37.00014,-106.89142
150,36.99263,-106.73137
151,36.99303,-106.61906
152,36.99378,-106.4654
153,36.99469,-106.15386
154,36.99556,-105.93761
155,36.99578,-105.6576
156,36.99589,-105.50752
157,36.99527,-105.15658
158,36.9935,-104.76311
159,36.99367,-104.49245
160,36.99511,-104.17265
161,36.99669,-103.92627
162,36.99892,-103.53892
163,36.99956,-103.26061
164,37.00021,-103.01356
165,37.0001,-103.0022
166,37.00006,-103.0022
167,36.9686,-103.00232
168,36.95031,-103.00232
169,36.91582,-103.00228
170,36.91402,-103.00227
171,36.90243,-103.00224
172,36.89755,-103.00223
173,36.86996,-103.00218
174,36.81735,-103.00206
175,36.76898,-103.00213
176,36.74295,-103.00215
177,36.7193,-103.0021
178,36.7013,-103.00214
179,36.68525,-103.00218
180,36.67653,-103.00237
181,36.65329,-103.00218
182,36.6278,-103.0023
183,36.60265,-103.00226
184,36.5919,-103.00223
185,36.56927,-103.00226
186,36.56386,-103.0023
187,36.54875,-103.00233
188,36.52963,-103.00233
189,36.51475,-103.00228
190,36.50609,-103.00228
191,36.50046,-103.00245
192,36.5004,-103.00243
193,36.50042,-103.02394
194,35.76515,-103.04133
195,35.21202,-103.04249
196,35.1362,-103.04239
197,34.88888,-103.04283
198,34.67259,-103.04312
199,34.53564,-103.04338
200,34.40999,-103.04362
201,34.27181,-103.04374
202,34.03983,-103.04376
203,33.71754,-103.04993
204,33.35051,-103.05727
205,33.00011,-103.06464
206,32.59516,-103.06478
207,32.00034,-103.53275
