,NO2,SO2
6672,21.2,0.425
6673,33.85,1.1
6674,64.15,2.45
6675,6.8,0.0
6676,4.0,0.0
6677,16.3,0.0
6678,29.8,0.45
6679,21.8,0.9
6680,32.6,0.7
6681,20.75,6.425
6682,21.85,0.0
6683,30.1,1.175
6684,55.5,2.25
6685,19.3,1.15
6686,18.05,0.25
6687,20.35,1.7999999999999998
6688,12.8,0.55
6689,17.1,0.025
6690,14.5,0.575
6691,17.450000000000006,0.9
6692,16.1,0.525
6693,14.0,0.05
6694,13.2,0.45
6695,28.9,0.1
6696,13.65,0.95
6697,16.6,0.275
6698,17.65,1.125
6699,15.95,0.75
6700,26.0,0.825
6701,12.8,0.475
6702,16.95,2.175
7017,66.7,2.35
7018,57.4,7.800000000000002
7019,36.0,3.7
7020,23.4,5.5
7021,22.3,1.4
7022,16.8,2.45
7023,24.1,1.8
7024,23.2,2.2
7025,29.5,2.4000000000000004
7026,27.4,2.55
7027,19.9,5.449999999999998
7028,54.6,3.95
7029,61.5,2.25
7030,65.7,2.6
7031,66.2,2.1
7032,63.6,3.4
7033,17.2,1.9
7034,18.7,4.5
7035,19.8,1.9
7036,16.3,1.45
7037,18.7,1.9
7038,22.7,1.7
7039,17.1,1.25
7040,15.5,1.5499999999999998
7041,17.6,1.65
7042,9.0,2.1
7043,26.4,2.8
7044,22.0,3.3
7045,19.4,1.5
7046,34.6,2.15
7047,33.1,2.8
