,NO2,SO2,sample
7031,66.2,2.1,0
6674,64.15,2.45,0
6700,26.0,0.825,0
7020,23.4,5.5,0
7024,23.2,2.2,0
6689,17.1,0.025,0
6691,17.450000000000006,0.9,0
7028,54.6,3.95,0
7045,19.4,1.5,0
7043,26.4,2.8,0
6694,13.2,0.45,0
7019,36.0,3.7,0
7018,57.4,7.800000000000002,0
7035,19.8,1.9,0
7033,17.2,1.9,0
6681,20.75,6.425,0
7018,57.4,7.800000000000002,0
7032,63.6,3.4,0
7018,57.4,7.800000000000002,0
7033,17.2,1.9,0
6697,16.6,0.275,0
6691,17.450000000000006,0.9,0
6686,18.05,0.25,0
7047,33.1,2.8,0
7022,16.8,2.45,0
7018,57.4,7.800000000000002,0
6688,12.8,0.55,0
6676,4.0,0.0,0
7035,19.8,1.9,0
7041,17.6,1.65,0
6675,6.8,0.0,0
6674,64.15,2.45,0
6692,16.1,0.525,0
7025,29.5,2.4000000000000004,0
6674,64.15,2.45,0
6692,16.1,0.525,0
7033,17.2,1.9,0
7042,9.0,2.1,0
7047,33.1,2.8,0
7034,18.7,4.5,0
6679,21.8,0.9,0
7027,19.9,5.449999999999998,0
7021,22.3,1.4,0
7046,34.6,2.15,0
6700,26.0,0.825,0
7038,22.7,1.7,0
7024,23.2,2.2,0
7019,36.0,3.7,0
6693,14.0,0.05,0
7040,15.5,1.5499999999999998,0
6702,16.95,2.175,0
6699,15.95,0.75,0
7020,23.4,5.5,0
7019,36.0,3.7,0
6684,55.5,2.25,0
7026,27.4,2.55,0
6675,6.8,0.0,0
7028,54.6,3.95,0
6677,16.3,0.0,0
6672,21.2,0.425,0
6683,30.1,1.175,0
7020,23.4,5.5,0
7044,22.0,3.3,1
6682,21.85,0.0,1
6694,13.2,0.45,1
6685,19.3,1.15,1
6690,14.5,0.575,1
7022,16.8,2.45,1
6687,20.35,1.7999999999999998,1
7029,61.5,2.25,1
6699,15.95,0.75,1
7047,33.1,2.8,1
7030,65.7,2.6,1
6702,16.95,2.175,1
7038,22.7,1.7,1
6678,29.8,0.45,1
7031,66.2,2.1,1
7037,18.7,1.9,1
6698,17.65,1.125,1
6688,12.8,0.55,1
6678,29.8,0.45,1
6686,18.05,0.25,1
7038,22.7,1.7,1
7025,29.5,2.4000000000000004,1
6683,30.1,1.175,1
7040,15.5,1.5499999999999998,1
6679,21.8,0.9,1
6673,33.85,1.1,1
7029,61.5,2.25,1
7044,22.0,3.3,1
7023,24.1,1.8,1
7041,17.6,1.65,1
6697,16.6,0.275,1
7036,16.3,1.45,1
6692,16.1,0.525,1
7042,9.0,2.1,1
7035,19.8,1.9,1
6684,55.5,2.25,1
6690,14.5,0.575,1
6689,17.1,0.025,1
6673,33.85,1.1,1
7037,18.7,1.9,1
7030,65.7,2.6,1
7039,17.1,1.25,1
7027,19.9,5.449999999999998,1
7034,18.7,4.5,1
7042,9.0,2.1,1
6699,15.95,0.75,1
7035,19.8,1.9,1
6694,13.2,0.45,1
6675,6.8,0.0,1
6675,6.8,0.0,1
6683,30.1,1.175,1
6693,14.0,0.05,1
6697,16.6,0.275,1
7025,29.5,2.4000000000000004,1
7027,19.9,5.449999999999998,1
7020,23.4,5.5,1
6675,6.8,0.0,1
6683,30.1,1.175,1
6675,6.8,0.0,1
7037,18.7,1.9,1
7042,9.0,2.1,1
6702,16.95,2.175,1
6678,29.8,0.45,2
6681,20.75,6.425,2
6695,28.9,0.1,2
6686,18.05,0.25,2
7024,23.2,2.2,2
6691,17.450000000000006,0.9,2
7043,26.4,2.8,2
6678,29.8,0.45,2
6684,55.5,2.25,2
7040,15.5,1.5499999999999998,2
6699,15.95,0.75,2
7024,23.2,2.2,2
6689,17.1,0.025,2
7047,33.1,2.8,2
7032,63.6,3.4,2
6682,21.85,0.0,2
7021,22.3,1.4,2
7038,22.7,1.7,2
7021,22.3,1.4,2
6673,33.85,1.1,2
7033,17.2,1.9,2
7031,66.2,2.1,2
6688,12.8,0.55,2
6677,16.3,0.0,2
7026,27.4,2.55,2
7031,66.2,2.1,2
6694,13.2,0.45,2
7032,63.6,3.4,2
6687,20.35,1.7999999999999998,2
7045,19.4,1.5,2
7026,27.4,2.55,2
6697,16.6,0.275,2
7031,66.2,2.1,2
7035,19.8,1.9,2
6672,21.2,0.425,2
7021,22.3,1.4,2
6701,12.8,0.475,2
6673,33.85,1.1,2
6691,17.450000000000006,0.9,2
6676,4.0,0.0,2
6702,16.95,2.175,2
6679,21.8,0.9,2
6701,12.8,0.475,2
7024,23.2,2.2,2
7046,34.6,2.15,2
6673,33.85,1.1,2
7038,22.7,1.7,2
6684,55.5,2.25,2
6675,6.8,0.0,2
7030,65.7,2.6,2
7037,18.7,1.9,2
6679,21.8,0.9,2
7024,23.2,2.2,2
6696,13.65,0.95,2
6678,29.8,0.45,2
6685,19.3,1.15,2
6700,26.0,0.825,2
7030,65.7,2.6,2
6692,16.1,0.525,2
7022,16.8,2.45,2
7041,17.6,1.65,2
7034,18.7,4.5,2
7018,57.4,7.800000000000002,3
7043,26.4,2.8,3
7026,27.4,2.55,3
6696,13.65,0.95,3
7038,22.7,1.7,3
7044,22.0,3.3,3
7044,22.0,3.3,3
7031,66.2,2.1,3
6685,19.3,1.15,3
6680,32.6,0.7,3
6686,18.05,0.25,3
6678,29.8,0.45,3
6673,33.85,1.1,3
6702,16.95,2.175,3
6678,29.8,0.45,3
7026,27.4,2.55,3
7041,17.6,1.65,3
6682,21.85,0.0,3
6684,55.5,2.25,3
6684,55.5,2.25,3
6697,16.6,0.275,3
7028,54.6,3.95,3
7045,19.4,1.5,3
7035,19.8,1.9,3
6679,21.8,0.9,3
6685,19.3,1.15,3
7030,65.7,2.6,3
7045,19.4,1.5,3
6673,33.85,1.1,3
7041,17.6,1.65,3
7027,19.9,5.449999999999998,3
6686,18.05,0.25,3
7042,9.0,2.1,3
6695,28.9,0.1,3
7019,36.0,3.7,3
6675,6.8,0.0,3
6689,17.1,0.025,3
6696,13.65,0.95,3
7032,63.6,3.4,3
6695,28.9,0.1,3
6677,16.3,0.0,3
7019,36.0,3.7,3
7036,16.3,1.45,3
7023,24.1,1.8,3
6674,64.15,2.45,3
6690,14.5,0.575,3
7032,63.6,3.4,3
7031,66.2,2.1,3
7043,26.4,2.8,3
7021,22.3,1.4,3
6690,14.5,0.575,3
6699,15.95,0.75,3
7032,63.6,3.4,3
7040,15.5,1.5499999999999998,3
7041,17.6,1.65,3
6681,20.75,6.425,3
6689,17.1,0.025,3
6675,6.8,0.0,3
6683,30.1,1.175,3
6698,17.65,1.125,3
6700,26.0,0.825,3
7042,9.0,2.1,3
6683,30.1,1.175,4
6682,21.85,0.0,4
6675,6.8,0.0,4
7031,66.2,2.1,4
7044,22.0,3.3,4
7044,22.0,3.3,4
7045,19.4,1.5,4
6695,28.9,0.1,4
6697,16.6,0.275,4
6699,15.95,0.75,4
7043,26.4,2.8,4
7032,63.6,3.4,4
7045,19.4,1.5,4
6675,6.8,0.0,4
7021,22.3,1.4,4
6686,18.05,0.25,4
6693,14.0,0.05,4
7045,19.4,1.5,4
7040,15.5,1.5499999999999998,4
7034,18.7,4.5,4
7042,9.0,2.1,4
6695,28.9,0.1,4
6695,28.9,0.1,4
7022,16.8,2.45,4
6676,4.0,0.0,4
6677,16.3,0.0,4
7034,18.7,4.5,4
7042,9.0,2.1,4
7046,34.6,2.15,4
6681,20.75,6.425,4
6674,64.15,2.45,4
7023,24.1,1.8,4
7019,36.0,3.7,4
6677,16.3,0.0,4
7046,34.6,2.15,4
6681,20.75,6.425,4
6687,20.35,1.7999999999999998,4
7045,19.4,1.5,4
6700,26.0,0.825,4
6674,64.15,2.45,4
6682,21.85,0.0,4
7022,16.8,2.45,4
6675,6.8,0.0,4
7034,18.7,4.5,4
6675,6.8,0.0,4
6695,28.9,0.1,4
6699,15.95,0.75,4
7041,17.6,1.65,4
7020,23.4,5.5,4
7023,24.1,1.8,4
7035,19.8,1.9,4
6695,28.9,0.1,4
6693,14.0,0.05,4
6697,16.6,0.275,4
6689,17.1,0.025,4
7044,22.0,3.3,4
6674,64.15,2.45,4
7031,66.2,2.1,4
6682,21.85,0.0,4
6680,32.6,0.7,4
7039,17.1,1.25,4
7018,57.4,7.800000000000002,4
6697,16.6,0.275,5
7021,22.3,1.4,5
6675,6.8,0.0,5
7037,18.7,1.9,5
6673,33.85,1.1,5
6679,21.8,0.9,5
6678,29.8,0.45,5
7021,22.3,1.4,5
7019,36.0,3.7,5
7025,29.5,2.4000000000000004,5
6690,14.5,0.575,5
6700,26.0,0.825,5
7024,23.2,2.2,5
6677,16.3,0.0,5
6681,20.75,6.425,5
7026,27.4,2.55,5
7027,19.9,5.449999999999998,5
6676,4.0,0.0,5
7044,22.0,3.3,5
6695,28.9,0.1,5
7026,27.4,2.55,5
6693,14.0,0.05,5
6697,16.6,0.275,5
7036,16.3,1.45,5
7022,16.8,2.45,5
7030,65.7,2.6,5
6700,26.0,0.825,5
7021,22.3,1.4,5
6691,17.450000000000006,0.9,5
6689,17.1,0.025,5
7025,29.5,2.4000000000000004,5
7030,65.7,2.6,5
7047,33.1,2.8,5
7026,27.4,2.55,5
7039,17.1,1.25,5
7041,17.6,1.65,5
7041,17.6,1.65,5
6686,18.05,0.25,5
6686,18.05,0.25,5
6695,28.9,0.1,5
6700,26.0,0.825,5
7039,17.1,1.25,5
6688,12.8,0.55,5
7034,18.7,4.5,5
7032,63.6,3.4,5
6696,13.65,0.95,5
6687,20.35,1.7999999999999998,5
7035,19.8,1.9,5
6688,12.8,0.55,5
7032,63.6,3.4,5
7032,63.6,3.4,5
6692,16.1,0.525,5
7029,61.5,2.25,5
7033,17.2,1.9,5
6698,17.65,1.125,5
7039,17.1,1.25,5
6676,4.0,0.0,5
6693,14.0,0.05,5
7018,57.4,7.800000000000002,5
7025,29.5,2.4000000000000004,5
6673,33.85,1.1,5
7020,23.4,5.5,5
7028,54.6,3.95,6
6690,14.5,0.575,6
7025,29.5,2.4000000000000004,6
6698,17.65,1.125,6
7025,29.5,2.4000000000000004,6
7021,22.3,1.4,6
7044,22.0,3.3,6
7024,23.2,2.2,6
6673,33.85,1.1,6
7026,27.4,2.55,6
7038,22.7,1.7,6
6689,17.1,0.025,6
7031,66.2,2.1,6
6694,13.2,0.45,6
7039,17.1,1.25,6
6697,16.6,0.275,6
6682,21.85,0.0,6
7033,17.2,1.9,6
6672,21.2,0.425,6
7021,22.3,1.4,6
7035,19.8,1.9,6
6691,17.450000000000006,0.9,6
6702,16.95,2.175,6
6679,21.8,0.9,6
7025,29.5,2.4000000000000004,6
6695,28.9,0.1,6
7039,17.1,1.25,6
6691,17.450000000000006,0.9,6
7040,15.5,1.5499999999999998,6
6686,18.05,0.25,6
6701,12.8,0.475,6
6691,17.450000000000006,0.9,6
7023,24.1,1.8,6
6673,33.85,1.1,6
6677,16.3,0.0,6
7027,19.9,5.449999999999998,6
6689,17.1,0.025,6
7021,22.3,1.4,6
6685,19.3,1.15,6
6697,16.6,0.275,6
7019,36.0,3.7,6
7039,17.1,1.25,6
6701,12.8,0.475,6
6678,29.8,0.45,6
7044,22.0,3.3,6
6701,12.8,0.475,6
6689,17.1,0.025,6
6693,14.0,0.05,6
6688,12.8,0.55,6
6702,16.95,2.175,6
7041,17.6,1.65,6
6688,12.8,0.55,6
6702,16.95,2.175,6
6684,55.5,2.25,6
6698,17.65,1.125,6
6691,17.450000000000006,0.9,6
6688,12.8,0.55,6
6700,26.0,0.825,6
7024,23.2,2.2,6
7020,23.4,5.5,6
6679,21.8,0.9,6
7028,54.6,3.95,6
7023,24.1,1.8,7
6686,18.05,0.25,7
7035,19.8,1.9,7
6672,21.2,0.425,7
7018,57.4,7.800000000000002,7
6674,64.15,2.45,7
7024,23.2,2.2,7
7023,24.1,1.8,7
7033,17.2,1.9,7
7047,33.1,2.8,7
6686,18.05,0.25,7
7047,33.1,2.8,7
7046,34.6,2.15,7
7027,19.9,5.449999999999998,7
6689,17.1,0.025,7
7023,24.1,1.8,7
6702,16.95,2.175,7
6691,17.450000000000006,0.9,7
7044,22.0,3.3,7
6678,29.8,0.45,7
7022,16.8,2.45,7
6698,17.65,1.125,7
6679,21.8,0.9,7
6685,19.3,1.15,7
7035,19.8,1.9,7
6686,18.05,0.25,7
6678,29.8,0.45,7
7018,57.4,7.800000000000002,7
7037,18.7,1.9,7
7019,36.0,3.7,7
6675,6.8,0.0,7
6672,21.2,0.425,7
7026,27.4,2.55,7
6685,19.3,1.15,7
6702,16.95,2.175,7
7023,24.1,1.8,7
7035,19.8,1.9,7
7038,22.7,1.7,7
6691,17.450000000000006,0.9,7
6674,64.15,2.45,7
7020,23.4,5.5,7
7031,66.2,2.1,7
7018,57.4,7.800000000000002,7
6686,18.05,0.25,7
6674,64.15,2.45,7
6699,15.95,0.75,7
6698,17.65,1.125,7
7032,63.6,3.4,7
7032,63.6,3.4,7
7018,57.4,7.800000000000002,7
6690,14.5,0.575,7
7041,17.6,1.65,7
7043,26.4,2.8,7
7018,57.4,7.800000000000002,7
6702,16.95,2.175,7
6675,6.8,0.0,7
7017,66.7,2.35,7
7027,19.9,5.449999999999998,7
6699,15.95,0.75,7
7041,17.6,1.65,7
6687,20.35,1.7999999999999998,7
7034,18.7,4.5,7
7028,54.6,3.95,8
6699,15.95,0.75,8
6686,18.05,0.25,8
7033,17.2,1.9,8
6693,14.0,0.05,8
6702,16.95,2.175,8
7045,19.4,1.5,8
6692,16.1,0.525,8
7017,66.7,2.35,8
6678,29.8,0.45,8
7018,57.4,7.800000000000002,8
6679,21.8,0.9,8
6685,19.3,1.15,8
7047,33.1,2.8,8
7042,9.0,2.1,8
6696,13.65,0.95,8
7017,66.7,2.35,8
6699,15.95,0.75,8
6673,33.85,1.1,8
6688,12.8,0.55,8
6698,17.65,1.125,8
6673,33.85,1.1,8
6679,21.8,0.9,8
7023,24.1,1.8,8
6691,17.450000000000006,0.9,8
7034,18.7,4.5,8
7022,16.8,2.45,8
7042,9.0,2.1,8
6692,16.1,0.525,8
6697,16.6,0.275,8
6702,16.95,2.175,8
6691,17.450000000000006,0.9,8
6677,16.3,0.0,8
7035,19.8,1.9,8
6686,18.05,0.25,8
7042,9.0,2.1,8
6672,21.2,0.425,8
6697,16.6,0.275,8
6700,26.0,0.825,8
6673,33.85,1.1,8
6693,14.0,0.05,8
7046,34.6,2.15,8
7045,19.4,1.5,8
6700,26.0,0.825,8
6680,32.6,0.7,8
7026,27.4,2.55,8
6692,16.1,0.525,8
