# Data extracted from the United States Geological Survey Advanced National Seismic System Comprehensive Earthquake Catalog (USGS ANSS ComCat), available here https://earthquake.usgs.gov/data/comcat/
# The loc_name, loc_admin1, loc_admin2, and loc_cc fields were added based on the latitude and longitude fields using the reverse_geocoder package, https://github.com/thampiman/reverse-geocoder.
time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,loc_name,loc_admin1,loc_admin2,loc_cc
1974-12-16 02:30:21.400,35.33,-97.48,10.0,2.6,ml,,,,,us,usp000094v,2014-11-06T23:21:27.851Z,"Oklahoma City urban area, Oklahoma",earthquake,,,,,reviewed,m,tul,Moore,Oklahoma,Cleveland County,US
1975-09-13 01:25:02.800,34.139,-97.369,5.0,3.4,lg,,,,,us,usp0000csk,2014-11-06T23:21:31.918Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Wilson,Oklahoma,Carter County,US
1975-10-12 02:58:11.200,34.816,-97.406,20.0,3.2,lg,,,,,us,usp0000d4a,2014-11-06T23:21:32.248Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Maysville,Oklahoma,Garvin County,US
1975-11-29 14:29:40.900,34.521,-97.34700000000001,5.0,3.5,lg,,,,,us,usp0000dsb,2014-11-06T23:21:32.839Z,Oklahoma,earthquake,,,,,reviewed,us,slm,Wynnewood,Oklahoma,Garvin County,US
1976-04-16 18:59:44.200,36.107,-99.875,5.0,3.4,,,,,,us,usp0000fwz,2014-11-06T23:21:34.833Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Arnett,Oklahoma,Ellis County,US
1976-04-19 04:42:42.200,36.134,-99.84100000000001,5.0,3.5,,,,,,us,usp0000fya,2014-11-06T23:21:34.862Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Arnett,Oklahoma,Ellis County,US
1979-06-07 07:39:35.600,35.187,-99.81200000000001,5.0,3.0,,,,,,us,usp0001150,2014-11-06T23:22:02.344Z,Oklahoma,earthquake,,,,,reviewed,d,tul,Erick,Oklahoma,Beckham County,US
1979-09-13 00:49:19.800,35.219,-99.51799999999999,5.0,3.4,,,,,,us,usp00012xa,2014-11-06T23:22:05.405Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Sayre,Oklahoma,Beckham County,US
1980-11-02 10:00:49.300,35.472,-97.777,8.0,3.0,,,,,,us,usp0001amx,2014-11-06T23:24:27.049Z,Oklahoma,earthquake,,,,,reviewed,g,tul,Yukon,Oklahoma,Canadian County,US
1981-07-11 21:09:22.540,34.884,-97.677,5.0,3.5,mblg,,,,,us,usp0001emz,2014-11-07T00:29:46.469Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Lindsay,Oklahoma,Garvin County,US
1982-05-03 07:54:50.000,34.07,-96.38,5.0,3.0,mblg,,,,,us,usp0001m33,2014-11-07T00:31:15.750Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Durant,Oklahoma,Bryan County,US
1983-03-11 16:50:45.310,36.791,-100.196,5.0,2.7,mblg,,,,1.2,us,usp0001tjg,2014-11-07T00:32:48.620Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Laverne,Oklahoma,Harper County,US
1984-01-06 17:14:49.800,36.16,-95.58,5.0,2.6,md,,,,,us,usp000212k,2014-11-07T00:34:21.755Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Inola,Oklahoma,Rogers County,US
1984-02-03 04:38:27.110,34.657,-97.39399999999999,5.0,3.2,mblg,,,,0.7,us,usp00021rg,2014-11-07T00:34:27.804Z,Oklahoma,earthquake,,,,,reviewed,us,us,Maysville,Oklahoma,Garvin County,US
1984-03-03 11:42:02.400,35.51,-96.3,5.0,2.6,mblg,,,,,us,usp00022dx,2014-11-07T00:34:35.307Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Okemah,Oklahoma,Okfuskee County,US
1984-11-20 10:57:32.020,34.711,-97.414,5.0,2.9,mblg,,,,,us,usp000297w,2014-11-07T00:35:43.897Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Maysville,Oklahoma,Garvin County,US
1985-09-23 01:03:43.060,34.629,-95.164,5.0,2.9,mblg,,,,1.1,us,usp0002k0v,2014-11-07T00:37:12.106Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Talihina,Oklahoma,Le Flore County,US
1985-11-07 08:35:33.320,34.224000000000004,-97.788,5.0,2.0,mblg,,,,0.6,us,usp0002mhe,2014-11-07T00:37:26.700Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Ringling,Oklahoma,Jefferson County,US
1985-12-31 18:27:25.820,34.76,-97.484,5.0,2.7,mblg,,,,0.8,us,usp0002pn1,2014-11-07T00:37:41.690Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Maysville,Oklahoma,Garvin County,US
1986-02-14 06:09:04.720,34.868,-95.37299999999999,5.0,1.8,mblg,,,,0.7,us,usp0002qzq,2014-11-07T00:37:55.111Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Wilburton,Oklahoma,Latimer County,US
1986-02-24 23:52:22.030,34.692,-97.479,5.0,2.3,mblg,,,,0.9,us,usp0002r9y,2014-11-07T00:37:56.730Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Maysville,Oklahoma,Garvin County,US
1986-04-05 14:54:51.350,34.405,-96.806,5.0,1.6,mblg,,,,0.6,us,usp0002spk,2014-11-07T00:38:11.514Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Sulphur,Oklahoma,Murray County,US
1986-04-29 23:57:18.700,35.165,-96.00299999999999,5.0,1.7,md,,,,,us,usp0002tbx,2014-11-07T00:38:16.216Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Wetumka,Oklahoma,Hughes County,US
1986-04-30 03:36:10.700,34.931,-97.36,5.0,2.2,md,,,,,us,usp0002tc4,2014-11-07T00:38:16.235Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Purcell,Oklahoma,McClain County,US
1986-05-25 10:27:44.800,36.23,-94.87700000000001,5.0,2.2,md,,,,,us,usp0002udk,2014-11-07T00:38:25.898Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Kenwood,Oklahoma,Delaware County,US
1986-06-01 19:52:38.200,35.656,-96.897,5.0,2.0,md,,,,,us,usp0002up3,2014-11-07T00:38:28.888Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Chandler,Oklahoma,Lincoln County,US
1986-06-02 07:08:11.200,34.652,-96.65100000000001,5.0,1.3,md,,,,,us,usp0002upr,2014-11-07T00:38:29.683Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Ada,Oklahoma,Pontotoc County,US
1986-06-10 07:48:01.700,34.056,-95.59200000000001,5.0,1.5,mblg,,,,,us,usp0002uxy,2014-11-07T00:38:32.181Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Hugo,Oklahoma,Choctaw County,US
1986-06-30 19:55:51.200,34.705999999999996,-96.75200000000001,5.0,2.3,md,,,,,us,usp0002vkt,2014-11-07T00:38:35.796Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Ada,Oklahoma,Pontotoc County,US
1986-07-26 04:17:23.800,34.591,-96.62,5.0,2.3,mblg,,,,,us,usp0002whh,2014-11-07T00:38:44.005Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Ada,Oklahoma,Pontotoc County,US
1986-09-02 13:19:59.000,34.684,-96.48299999999999,5.0,2.1,md,,,,,us,usp0002xs2,2014-11-07T00:38:57.591Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Ada,Oklahoma,Pontotoc County,US
1986-09-04 17:33:17.400,34.477,-96.50299999999999,5.0,2.6,mblg,,,,,us,usp0002xu1,2014-11-07T00:38:58.246Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Coalgate,Oklahoma,Coal County,US
1986-11-02 04:00:12.000,34.192,-96.855,5.0,1.7,md,,,,,us,usp0002zkq,2014-11-07T00:39:17.139Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Oakland,Oklahoma,Marshall County,US
1986-11-26 20:53:38.600,34.957,-97.52600000000001,5.0,1.8,mblg,,,,,us,usp00030e1,2014-11-07T00:39:23.213Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Lindsay,Oklahoma,Garvin County,US
1986-11-26 22:16:56.500,35.125,-97.541,5.0,1.9,mblg,,,,,us,usp00030e4,2014-11-07T00:39:23.219Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Goldsby,Oklahoma,McClain County,US
1986-11-27 06:12:15.900,35.158,-97.671,5.0,1.8,mblg,,,,,us,usp00030ed,2014-11-07T00:39:23.257Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Blanchard,Oklahoma,McClain County,US
1986-12-08 17:50:11.800,35.766,-97.32799999999999,5.0,2.4,mblg,,,,,us,usp00030qz,2014-11-07T00:39:28.752Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Guthrie,Oklahoma,Logan County,US
1986-12-14 11:56:18.500,34.959,-96.64200000000001,5.0,1.6,md,,,,,us,usp00030vt,2014-11-07T00:39:29.701Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Byng,Oklahoma,Pontotoc County,US
1986-12-21 17:32:58.100,35.141999999999996,-96.676,5.0,2.8,mblg,,,,,us,usp0003124,2014-11-07T00:39:30.915Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Seminole,Oklahoma,Seminole County,US
1986-12-23 21:10:47.600,34.571999999999996,-97.204,5.0,1.6,md,,,,,us,usp000313h,2014-11-07T00:39:31.132Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Wynnewood,Oklahoma,Garvin County,US
1986-12-25 08:46:17.400,35.399,-95.839,5.0,1.7,md,,,,,us,usp000314r,2014-11-07T00:39:31.268Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Henryetta,Oklahoma,Okmulgee County,US
1987-01-06 08:00:49.300,34.815,-97.57600000000001,5.0,1.9,md,,,,,us,usp00031ej,2014-11-07T00:39:37.489Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Lindsay,Oklahoma,Garvin County,US
1987-01-10 03:21:50.000,34.552,-97.425,5.0,2.3,mblg,,,,,us,usp00031jc,2014-11-07T00:39:38.709Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Maysville,Oklahoma,Garvin County,US
1987-01-17 04:13:53.800,35.051,-97.51700000000001,5.0,2.3,mblg,,,,,us,usp00031r1,2014-11-07T00:39:39.632Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Goldsby,Oklahoma,McClain County,US
1987-01-24 16:08:17.000,35.828,-98.09700000000001,5.0,3.1,mblg,,,,,us,usp00031wk,2014-11-07T00:39:40.654Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Okarche,Oklahoma,Canadian County,US
1987-02-04 13:45:23.900,34.757,-97.58,5.0,1.7,md,,,,,us,usp0003265,2014-11-07T00:39:46.963Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Lindsay,Oklahoma,Garvin County,US
1987-02-19 05:50:11.500,34.846,-97.488,5.0,2.1,mblg,,,,,us,usp00032kx,2014-11-07T00:39:52.856Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Maysville,Oklahoma,Garvin County,US
1987-02-26 02:04:07.200,35.308,-96.62,5.0,1.9,mblg,,,,,us,usp00032sc,2014-11-07T00:39:53.955Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Seminole,Oklahoma,Seminole County,US
1987-03-14 04:43:03.500,34.79,-96.331,5.0,2.8,mblg,,,,,us,usp00033a0,2014-11-07T00:40:03.986Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Coalgate,Oklahoma,Coal County,US
1987-05-15 08:29:07.500,35.455,-97.749,5.0,2.1,md,,,,,us,usp000350x,2014-11-07T00:40:24.945Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Yukon,Oklahoma,Canadian County,US
1987-05-17 05:41:04.900,35.89,-97.236,5.0,1.7,mblg,,,,,us,usp000352e,2014-11-07T00:40:25.132Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Langston,Oklahoma,Logan County,US
1987-05-17 15:01:19.800,35.878,-97.264,5.0,1.5,md,,,,,us,usp000352u,2014-11-07T00:40:25.217Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Langston,Oklahoma,Logan County,US
1987-05-28 19:18:02.700,34.683,-97.27600000000001,5.0,1.6,md,,,,,us,usp00035b7,2014-11-07T00:40:26.990Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Pauls Valley,Oklahoma,Garvin County,US
1987-06-01 17:44:33.200,34.615,-97.38,5.0,2.9,mblg,,,,,us,usp00035f0,2014-11-07T00:40:29.543Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Pauls Valley,Oklahoma,Garvin County,US
1987-06-02 20:25:37.000,34.707,-96.555,5.0,1.9,md,,,,,us,usp00035fy,2014-11-07T00:40:29.954Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Ada,Oklahoma,Pontotoc County,US
1987-06-07 07:35:24.300,35.165,-95.28,5.0,1.5,md,,,,,us,usp00035ks,2014-11-07T00:40:31.544Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Quinton,Oklahoma,Pittsburg County,US
1987-06-18 02:21:56.700,35.118,-96.34700000000001,5.0,1.9,mblg,,,,,us,usp00035vt,2014-11-07T00:40:32.970Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Holdenville,Oklahoma,Hughes County,US
1987-06-29 07:26:21.000,34.335,-96.726,5.0,1.7,md,,,,,us,usp0003668,2014-11-07T00:40:34.486Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Tishomingo,Oklahoma,Johnston County,US
1987-12-06 17:43:48.200,34.664,-97.39399999999999,5.0,2.6,mblg,,,,,us,usp0003b0v,2014-11-07T00:41:21.378Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Maysville,Oklahoma,Garvin County,US
1987-12-07 00:44:01.000,34.580999999999996,-97.348,5.0,2.0,md,,,,,us,usp0003b16,2014-11-07T00:41:21.463Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Wynnewood,Oklahoma,Garvin County,US
1987-12-08 01:42:40.300,36.055,-98.024,5.0,3.7,mblg,,,,,us,usp0003b2c,2014-11-07T00:41:21.878Z,Oklahoma,earthquake,,,,,reviewed,tul,us,Hennessey,Oklahoma,Kingfisher County,US
1987-12-08 01:45:47.500,36.056,-98.03,5.0,2.5,mblg,,,,,us,usp0003b2d,2014-11-07T00:41:21.881Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Hennessey,Oklahoma,Kingfisher County,US
1987-12-16 07:04:58.600,34.876999999999995,-95.512,5.0,2.1,md,,,,,us,usp0003bb0,2014-11-07T00:41:24.027Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Hartshorne,Oklahoma,Pittsburg County,US
1988-01-30 22:59:20.400,36.38,-98.46600000000001,5.0,1.9,mblg,,,,,us,usp0003ck4,2014-11-07T00:41:33.624Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Fairview,Oklahoma,Major County,US
1988-03-19 09:27:37.700,36.041,-96.824,5.0,1.4,md,,,,,us,usp0003e3p,2014-11-07T00:41:48.861Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Cushing,Oklahoma,Payne County,US
1988-03-24 02:25:47.900,35.414,-96.573,5.0,2.3,md,,,,,us,usp0003e8m,2014-11-07T00:41:49.433Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Boley,Oklahoma,Okfuskee County,US
1988-03-30 15:46:55.300,36.31,-98.54299999999999,5.0,2.3,md,,,,,us,usp0003efu,2014-11-07T00:41:50.523Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Fairview,Oklahoma,Major County,US
1988-04-21 10:58:08.100,35.855,-99.20700000000001,5.0,1.7,md,,,,,us,usp0003f7k,2014-11-07T00:41:58.461Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Taloga,Oklahoma,Dewey County,US
1988-06-05 02:56:55.500,34.743,-95.19,5.0,2.1,md,,,,,us,usp0003gqp,2014-11-07T00:42:16.763Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Talihina,Oklahoma,Le Flore County,US
