# Growth curve data from Bacillus subtilis under restrictive growth conditions.
# Computed from fluorescence microscopy images acquired by Jin Park in Michael Elowitz's lab at Caltech using image processing code written by Justin Bois.
bacterial area (sq. microns),time (hr)
5.5747349999999996,0.0
5.71202325,0.25
5.9033947499999995,0.5
6.19461225,0.75
6.456708,1.0
6.851931749999999,1.25
7.176431249999999,1.5
7.56749475,1.75
8.087526,2.0
8.586756,2.25
8.74900575,2.5
9.48120975,2.75
10.03868325,3.0
10.550393999999999,3.25
11.13698925,3.5
11.765187,3.75
12.38506425,4.0
13.075665749999999,4.25
13.7371455,4.5
14.377824,4.75
14.89785525,5.0
15.5177325,5.25
16.341462,5.5
17.31912075,5.75
18.4132665,6.0
19.5947775,6.25
20.96766,6.5
22.078446749999998,6.75
23.41804725,7.0
24.6702825,7.25
26.25533775,7.5
28.00264275,7.75
29.6293005,8.0
31.414047749999998,8.25
33.31944225,8.5
35.599259249999996,8.75
37.974762,9.0
40.787091,9.25
43.749189,9.5
46.8028125,9.75
50.28494175,10.0
53.467532999999996,10.25
57.644424,10.5
61.438572,10.75
64.72932975,11.0
68.3861895,11.25
71.539659,11.5
75.85383825,11.75
81.61994475,12.0
86.050611,12.25
91.53798075,12.5
98.23182299999999,12.75
104.27666624999999,13.0
110.862342,13.25
118.31751,13.5
