# Data extracted from the United States Geological Survey Advanced National Seismic System Comprehensive Earthquake Catalog (USGS ANSS ComCat), available here https://earthquake.usgs.gov/data/comcat/
# The loc_name, loc_admin1, loc_admin2, and loc_cc fields were added based on the latitude and longitude fields using the reverse_geocoder package, https://github.com/thampiman/reverse-geocoder.
time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,loc_name,loc_admin1,loc_admin2,loc_cc
1951-10-03 13:44:33.170,35.8693333,-120.45100000000001,6.0,3.67,ml,6.0,259.0,1.548,0.43,ci,ci3322265,2016-01-28T18:07:55.760Z,"4km SSW of Parkfield, CA",earthquake,3.85,31.61,0.154,10.0,reviewed,ci,ci,Shandon,California,San Luis Obispo County,US
1953-05-28 07:58:34.510,36.0041667,-120.50116670000001,6.0,3.61,ml,7.0,296.0,0.9139,0.39,ci,ci3304011,2016-01-28T18:11:50.020Z,"13km NNW of Parkfield, CA",earthquake,3.28,31.61,,1.0,reviewed,ci,ci,Coalinga,California,Fresno County,US
1961-12-14 11:51:15.410,35.97,-120.47016670000001,6.0,3.95,ml,12.0,297.0,0.8718,0.51,ci,ci3344629,2016-01-28T19:48:08.330Z,"9km NNW of Parkfield, CA",earthquake,3.43,31.61,0.07,11.0,reviewed,ci,ci,Coalinga,California,Fresno County,US
1965-02-21 18:39:24.500,35.881,-120.3835,6.0,3.54,ml,10.0,257.0,1.538,0.56,ci,ci3330686,2016-01-28T19:32:10.560Z,"5km ESE of Parkfield, CA",earthquake,3.75,31.61,0.048,11.0,reviewed,ci,ci,Shandon,California,San Luis Obispo County,US
1966-06-28 04:18:36.180,35.8565,-120.4461667,6.0,3.15,ml,7.0,259.0,1.3119999999999998,0.32,ci,ci3330125,2016-01-28T19:32:35.480Z,"5km SSW of Parkfield, CA",earthquake,1.93,31.61,0.105,7.0,reviewed,ci,ci,Shandon,California,San Luis Obispo County,US
1966-06-28 04:26:16.260,35.7905,-120.294,6.0,5.47,ml,15.0,247.0,1.183,0.48,ci,ci3330127,2017-04-26T17:23:14.375Z,"8km N of Cholame, CA",earthquake,3.51,31.61,0.075,8.0,reviewed,ci,ci,Shandon,California,San Luis Obispo County,US
1966-06-28 04:28:36.000,35.95,-120.5,6.0,4.5,mh,,,,,ci,ci10086774,2016-01-28T19:54:08.270Z,"8km NW of Parkfield, CA",earthquake,,,,0.0,reviewed,ci,ci,Coalinga,California,Fresno County,US
1966-06-28 04:34:59.140,35.8203333,-120.4035,6.0,3.24,ml,5.0,304.0,1.274,0.61,ci,ci3330130,2016-01-28T19:41:01.260Z,"9km SSE of Parkfield, CA",earthquake,4.66,31.61,0.22,7.0,reviewed,ci,ci,Shandon,California,San Luis Obispo County,US
1966-06-28 04:46:20.410,35.905333299999995,-120.43366670000002,6.0,3.12,ml,4.0,329.0,1.308,0.73,ci,ci3330133,2016-01-28T19:54:09.080Z,"1km NNW of Parkfield, CA",earthquake,7.25,31.61,0.162,7.0,reviewed,ci,ci,Coalinga,California,Fresno County,US
1966-06-28 06:32:20.980,35.846,-120.41033329999999,6.0,3.76,ml,13.0,251.0,1.2819999999999998,0.61,ci,ci3330137,2016-01-28T19:32:35.990Z,"6km SSE of Parkfield, CA",earthquake,3.93,31.61,0.126,11.0,reviewed,ci,ci,Shandon,California,San Luis Obispo County,US
