HP,Attack,Defense,Generation,Name,Type,Legendary
45,49,49,1,Bulbasaur,Grass,False
60,62,63,1,Ivysaur,Grass,False
80,82,83,1,Venusaur,Grass,False
80,100,123,1,VenusaurMega Venusaur,Grass,False
39,52,43,1,Charmander,Fire,False
58,64,58,1,Charmeleon,Fire,False
78,84,78,1,Charizard,Fire,False
78,130,111,1,CharizardMega Charizard X,Fire,False
78,104,78,1,CharizardMega Charizard Y,Fire,False
44,48,65,1,Squirtle,Water,False
59,63,80,1,Wartortle,Water,False
79,83,100,1,Blastoise,Water,False
79,103,120,1,BlastoiseMega Blastoise,Water,False
45,30,35,1,Caterpie,Bug,False
50,20,55,1,Metapod,Bug,False
60,45,50,1,Butterfree,Bug,False
40,35,30,1,Weedle,Bug,False
45,25,50,1,Kakuna,Bug,False
65,90,40,1,Beedrill,Bug,False
65,150,40,1,BeedrillMega Beedrill,Bug,False
40,45,40,1,Pidgey,Normal,False
63,60,55,1,Pidgeotto,Normal,False
83,80,75,1,Pidgeot,Normal,False
83,80,80,1,PidgeotMega Pidgeot,Normal,False
30,56,35,1,Rattata,Normal,False
55,81,60,1,Raticate,Normal,False
40,60,30,1,Spearow,Normal,False
65,90,65,1,Fearow,Normal,False
35,60,44,1,Ekans,Poison,False
60,85,69,1,Arbok,Poison,False
35,55,40,1,Pikachu,Electric,False
60,90,55,1,Raichu,Electric,False
50,75,85,1,Sandshrew,Ground,False
75,100,110,1,Sandslash,Ground,False
55,47,52,1,Nidoran♀,Poison,False
70,62,67,1,Nidorina,Poison,False
90,92,87,1,Nidoqueen,Poison,False
46,57,40,1,Nidoran♂,Poison,False
61,72,57,1,Nidorino,Poison,False
81,102,77,1,Nidoking,Poison,False
70,45,48,1,Clefairy,Fairy,False
95,70,73,1,Clefable,Fairy,False
38,41,40,1,Vulpix,Fire,False
73,76,75,1,Ninetales,Fire,False
115,45,20,1,Jigglypuff,Normal,False
140,70,45,1,Wigglytuff,Normal,False
40,45,35,1,Zubat,Poison,False
75,80,70,1,Golbat,Poison,False
45,50,55,1,Oddish,Grass,False
60,65,70,1,Gloom,Grass,False
75,80,85,1,Vileplume,Grass,False
35,70,55,1,Paras,Bug,False
60,95,80,1,Parasect,Bug,False
60,55,50,1,Venonat,Bug,False
70,65,60,1,Venomoth,Bug,False
10,55,25,1,Diglett,Ground,False
35,80,50,1,Dugtrio,Ground,False
40,45,35,1,Meowth,Normal,False
65,70,60,1,Persian,Normal,False
50,52,48,1,Psyduck,Water,False
80,82,78,1,Golduck,Water,False
40,80,35,1,Mankey,Fighting,False
65,105,60,1,Primeape,Fighting,False
55,70,45,1,Growlithe,Fire,False
90,110,80,1,Arcanine,Fire,False
40,50,40,1,Poliwag,Water,False
65,65,65,1,Poliwhirl,Water,False
90,95,95,1,Poliwrath,Water,False
25,20,15,1,Abra,Psychic,False
40,35,30,1,Kadabra,Psychic,False
55,50,45,1,Alakazam,Psychic,False
55,50,65,1,AlakazamMega Alakazam,Psychic,False
70,80,50,1,Machop,Fighting,False
80,100,70,1,Machoke,Fighting,False
90,130,80,1,Machamp,Fighting,False
50,75,35,1,Bellsprout,Grass,False
65,90,50,1,Weepinbell,Grass,False
80,105,65,1,Victreebel,Grass,False
40,40,35,1,Tentacool,Water,False
80,70,65,1,Tentacruel,Water,False
40,80,100,1,Geodude,Rock,False
55,95,115,1,Graveler,Rock,False
80,120,130,1,Golem,Rock,False
50,85,55,1,Ponyta,Fire,False
65,100,70,1,Rapidash,Fire,False
90,65,65,1,Slowpoke,Water,False
95,75,110,1,Slowbro,Water,False
95,75,180,1,SlowbroMega Slowbro,Water,False
25,35,70,1,Magnemite,Electric,False
50,60,95,1,Magneton,Electric,False
52,65,55,1,Farfetch'd,Normal,False
35,85,45,1,Doduo,Normal,False
60,110,70,1,Dodrio,Normal,False
65,45,55,1,Seel,Water,False
90,70,80,1,Dewgong,Water,False
80,80,50,1,Grimer,Poison,False
105,105,75,1,Muk,Poison,False
30,65,100,1,Shellder,Water,False
50,95,180,1,Cloyster,Water,False
30,35,30,1,Gastly,Ghost,False
45,50,45,1,Haunter,Ghost,False
60,65,60,1,Gengar,Ghost,False
60,65,80,1,GengarMega Gengar,Ghost,False
35,45,160,1,Onix,Rock,False
60,48,45,1,Drowzee,Psychic,False
85,73,70,1,Hypno,Psychic,False
30,105,90,1,Krabby,Water,False
55,130,115,1,Kingler,Water,False
40,30,50,1,Voltorb,Electric,False
60,50,70,1,Electrode,Electric,False
60,40,80,1,Exeggcute,Grass,False
95,95,85,1,Exeggutor,Grass,False
50,50,95,1,Cubone,Ground,False
60,80,110,1,Marowak,Ground,False
50,120,53,1,Hitmonlee,Fighting,False
50,105,79,1,Hitmonchan,Fighting,False
90,55,75,1,Lickitung,Normal,False
40,65,95,1,Koffing,Poison,False
65,90,120,1,Weezing,Poison,False
80,85,95,1,Rhyhorn,Ground,False
105,130,120,1,Rhydon,Ground,False
250,5,5,1,Chansey,Normal,False
65,55,115,1,Tangela,Grass,False
105,95,80,1,Kangaskhan,Normal,False
105,125,100,1,KangaskhanMega Kangaskhan,Normal,False
30,40,70,1,Horsea,Water,False
55,65,95,1,Seadra,Water,False
45,67,60,1,Goldeen,Water,False
80,92,65,1,Seaking,Water,False
30,45,55,1,Staryu,Water,False
60,75,85,1,Starmie,Water,False
40,45,65,1,Mr. Mime,Psychic,False
70,110,80,1,Scyther,Bug,False
65,50,35,1,Jynx,Ice,False
65,83,57,1,Electabuzz,Electric,False
65,95,57,1,Magmar,Fire,False
65,125,100,1,Pinsir,Bug,False
65,155,120,1,PinsirMega Pinsir,Bug,False
75,100,95,1,Tauros,Normal,False
20,10,55,1,Magikarp,Water,False
95,125,79,1,Gyarados,Water,False
95,155,109,1,GyaradosMega Gyarados,Water,False
130,85,80,1,Lapras,Water,False
48,48,48,1,Ditto,Normal,False
55,55,50,1,Eevee,Normal,False
130,65,60,1,Vaporeon,Water,False
65,65,60,1,Jolteon,Electric,False
65,130,60,1,Flareon,Fire,False
65,60,70,1,Porygon,Normal,False
35,40,100,1,Omanyte,Rock,False
70,60,125,1,Omastar,Rock,False
30,80,90,1,Kabuto,Rock,False
60,115,105,1,Kabutops,Rock,False
80,105,65,1,Aerodactyl,Rock,False
80,135,85,1,AerodactylMega Aerodactyl,Rock,False
160,110,65,1,Snorlax,Normal,False
41,64,45,1,Dratini,Dragon,False
61,84,65,1,Dragonair,Dragon,False
91,134,95,1,Dragonite,Dragon,False
100,100,100,1,Mew,Psychic,False
