city,year,month,day,CO,NO2,O3,SO2
Cincinnati,2012,1,1,0.245,20,0.03,4.199999999999999
Cincinnati,2012,1,2,0.185,9,0.025,6.35
Cincinnati,2012,1,3,0.33499999999999996,31,0.025,4.25
Cincinnati,2012,1,4,0.305,25,0.016,17.15
Cincinnati,2012,1,5,0.345,21,0.016,11.05
Cincinnati,2012,1,6,0.22,23,0.029,6.95
Cincinnati,2012,1,7,0.21500000000000002,17,0.027,8.35
Cincinnati,2012,1,8,0.23500000000000001,21,0.024,13.05
Cincinnati,2012,1,9,0.37,34,0.017,36.75
Cincinnati,2012,1,10,0.72,38,0.016,25.55
Cincinnati,2012,1,11,0.5349999999999999,23,0.012,24.25
Cincinnati,2012,1,12,0.355,18,0.019,13.200000000000001
Cincinnati,2012,1,13,0.21500000000000002,13,0.018,8.2
Cincinnati,2012,1,14,0.225,22,0.018,20
Cincinnati,2012,1,15,0.25,17,0.024,13.25
Cincinnati,2012,1,16,0.21500000000000002,15,0.033,2.6500000000000004
Cincinnati,2012,1,17,0.21000000000000002,20,0.032,2.45
Cincinnati,2012,1,18,0.365,28,0.024,4.45
Cincinnati,2012,1,19,0.295,17,0.019,13.95
Cincinnati,2012,1,20,0.33499999999999996,16,0.014,4.05
Cincinnati,2012,1,21,0.225,16,0.024,8.15
Cincinnati,2012,1,22,0.31,13,0.027,45.85
Cincinnati,2012,1,23,0.28,16,0.033,9.1
Cincinnati,2012,1,24,0.23,19,0.014,11.1
Cincinnati,2012,1,25,0.33499999999999996,17,0.011,20.2
Cincinnati,2012,1,26,0.765,25,0.004,2.75
Cincinnati,2012,1,27,0.42000000000000004,19,0.015,7.699999999999999
Cincinnati,2012,1,28,0.25,20,0.033,5.45
Cincinnati,2012,1,29,0.2,18,0.03,5.25
Cincinnati,2012,1,30,0.36,29,0.034,3.8499999999999996
Cincinnati,2012,1,31,0.23500000000000001,18,0.032,4.25
Cincinnati,2012,2,32,0.355,30,0.028,10.149999999999999
Cincinnati,2012,2,33,0.33999999999999997,30,0.022,2.5999999999999996
Cincinnati,2012,2,34,0.445,26,0.02,102.35
Cincinnati,2012,2,35,0.295,16,0.022,8.95
Cincinnati,2012,2,36,0.385,34,0.032,1.65
Cincinnati,2012,2,37,1.1949999999999998,43,0.025,18.2
Cincinnati,2012,2,38,0.3,26,0.019,11.95
Cincinnati,2012,2,39,0.23,22,0.022,3.15
Cincinnati,2012,2,40,0.42000000000000004,25,0.016,21.7
Cincinnati,2012,2,41,0.32499999999999996,25,0.021,5.2
Cincinnati,2012,2,44,0.42000000000000004,26,0.018,17.45
