time,AAPL,FB,NFLX,V,XOM
2010-01-04,214.009998,,53.479999,88.139999,69.150002
2010-01-05,214.379993,,51.510001,87.129997,69.41999799999999
2010-01-06,210.969995,,53.319999,85.959999,70.019997
2010-01-07,210.58,,52.400001,86.760002,69.800003
2010-01-08,211.980005,,53.300002,87.0,69.519997
2010-01-11,210.110003,,53.23,86.75,70.300003
2010-01-12,207.720001,,52.37,86.339996,69.949997
2010-01-13,210.650002,,53.96,87.139999,69.66999799999999
2010-01-14,209.43,,50.989999,87.440002,69.68
2010-01-15,205.93,,50.950001,86.139999,69.110001
2010-01-19,215.039995,,51.2,87.849998,69.269997
2010-01-20,211.73,,51.240001,87.41999799999998,68.029999
2010-01-21,208.069996,,51.19,84.449997,66.699997
2010-01-22,197.75,,50.89,82.730003,66.099998
2010-01-25,203.070002,,49.13,82.029999,65.849998
2010-01-26,205.940001,,49.949998,81.150002,65.91999799999999
2010-01-27,207.880005,,50.969998,83.910004,65.540001
2010-01-28,199.289995,,63.040001,82.650002,64.959999
2010-01-29,192.060003,,62.250003,82.029999,64.43
2010-02-01,194.729998,,61.030002,83.660004,66.18
2010-02-02,195.859997,,61.85,84.010002,66.959999
2010-02-03,199.229994,,61.950003,83.519997,66.599998
2010-02-04,192.050003,,60.339999,83.050003,64.720001
2010-02-05,195.460001,,60.839997,82.559998,64.800003
2010-02-08,194.119997,,60.899999,83.050003,64.349998
2010-02-09,196.190004,,62.13,83.269997,65.199997
2010-02-10,195.120007,,61.489999,83.639999,64.849998
2010-02-11,198.669994,,63.360002,85.139999,65.239998
2010-02-12,200.379993,,63.179997,84.779999,64.800003
2010-02-16,203.399996,,64.860003,85.879997,66.279999
2010-02-17,202.550003,,64.510001,86.41999799999998,65.760002
2010-02-18,202.929998,,66.099998,86.959999,65.959999
2010-02-19,201.669996,,66.649997,86.809998,65.870003
2010-02-22,200.419994,,65.269999,86.910004,65.400002
2010-02-23,197.059998,,64.349998,86.120003,64.940002
2010-02-24,200.66,,64.689999,85.629997,65.550003
2010-02-25,202.000004,,65.61,85.230003,65.139999
2010-02-26,204.619997,,66.050003,85.279999,65.0
2010-03-01,208.990004,,69.7,86.82,65.400002
2010-03-02,208.85,,68.979997,86.449997,65.489998
2010-03-03,209.329998,,67.54999699999999,86.800003,65.43
2010-03-04,210.710003,,68.010001,87.040001,65.400002
2010-03-05,218.950005,,67.65,88.510002,66.470001
2010-03-08,219.079994,,68.680003,90.629997,66.480003
2010-03-09,223.020004,,69.939999,90.150002,66.779999
2010-03-10,224.839993,,71.28000300000002,91.519997,67.220001
2010-03-11,225.500008,,71.190001,92.739998,67.220001
2010-03-12,226.600006,,69.98,93.25,66.800003
2010-03-15,223.839996,,69.599998,92.410004,66.300003
2010-03-16,224.449997,,70.63000100000002,91.650002,66.57
2010-03-17,224.120003,,70.920001,91.510002,67.360001
2010-03-18,224.650002,,70.539999,90.129997,67.389999
2010-03-19,222.25,,70.449997,88.839996,67.040001
2010-03-22,224.750004,,72.889999,89.239998,66.970001
2010-03-23,228.359993,,72.960001,89.980003,66.949997
2010-03-24,229.370003,,72.370001,88.75,66.5
2010-03-25,226.649994,,73.540001,90.410004,66.300003
2010-03-26,230.899998,,74.299998,90.25,66.540001
2010-03-29,232.389992,,73.900002,90.239998,67.300003
2010-03-30,235.849991,,75.060002,91.0,67.050003
2010-03-31,235.000011,,73.739999,91.029999,66.980003
2010-04-01,235.969994,,75.000001,92.550003,67.610001
2010-04-05,238.489998,,79.990002,92.470001,68.190002
2010-04-06,239.540009,,83.36999899999998,92.400002,67.900002
2010-04-07,240.600006,,79.730002,90.709999,67.339996
2010-04-08,239.950005,,81.82999699999998,91.489998,67.860001
2010-04-09,241.789993,,82.419997,92.519997,68.760002
2010-04-12,242.290005,,83.180001,93.190002,68.709999
