max_depth,min_samples_leaf,learn_rate,accuracy
4,16,0.624362416,95
10,14,0.477449664,97
7,14,0.050067114,96
5,12,0.023355705,96
6,12,0.771275168,97
13,11,0.290469799,96
6,10,0.317181208,96
19,10,0.757919463,96
2,16,0.931543624,96
16,13,0.904832215,96
12,13,0.89147651,96
4,16,0.504161074,96
2,13,0.223691275,95
3,11,0.01,95
14,15,0.517516779,95
10,16,0.223691275,95
20,12,0.878120805,95
10,14,0.851409396,95
2,15,0.063422819,94
9,16,0.651073826,94
16,15,0.771275168,94
12,14,0.357248322,94
10,14,0.637718121,94
4,8,0.744563758,93
7,12,0.757919463,93
5,16,0.89147651,93
12,10,0.38395973200000005,92
19,8,0.46409396,91
17,12,0.397315436,91
9,14,0.46409396,87
11,5,0.21033557,87
18,5,0.931543624,84
2,12,0.46409396,83
2,5,0.036711409,83
6,6,0.130201342,83
12,6,0.9448993290000001,82
5,11,0.504161074,82
2,7,0.477449664,82
10,11,0.504161074,82
19,8,0.89147651,82
10,12,0.66442953,81
7,16,0.651073826,81
20,3,0.8380536909999999,80
17,7,0.784630872,79
7,6,0.811342282,78
17,16,0.89147651,78
13,6,0.517516779,78
25,10,0.317181208,78
4,3,0.757919463,78
53,13,0.637718121,78
47,13,0.797986577,77
17,5,0.69114094,76
11,16,1.719530201,76
20,6,0.263758389,76
5,4,0.530872483,76
17,9,0.9448993290000001,76
9,16,1.198657718,74
9,4,0.7178523490000001,74
24,14,0.21033557,74
61,11,0.5976510070000001,73
13,7,0.263758389,73
5,10,1.038389262,73
1,11,0.277114094,73
22,14,0.09013422800000001,72
6,11,1.0784563759999999,72
17,10,1.3856375840000001,72
4,8,0.9448993290000001,71
10,10,1.8397315440000002,71
20,15,1.786308725,71
13,9,0.050067114,71
19,13,1.5859731540000002,71
57,15,0.170268456,70
37,14,0.66442953,70
35,13,0.584295302,70
41,16,0.370604027,69
47,10,0.317181208,69
17,7,0.063422819,69
10,9,0.544228188,69
54,10,0.397315436,69
55,10,0.5976510070000001,69
15,6,0.998322148,68
61,12,0.971610738,68
27,14,0.958255034,68
16,12,1.8797986580000001,67
5,11,1.4791275169999998,67
5,9,0.878120805,67
27,14,0.530872483,67
5,6,0.9448993290000001,66
48,13,0.023355705,66
46,12,0.410671141,66
27,15,0.637718121,66
58,13,0.744563758,66
18,11,1.011677852,66
43,14,0.8647651009999999,65
42,10,0.584295302,65
15,4,0.677785235,65
51,13,0.958255034,65
27,15,0.811342282,65
3,12,1.198657718,65
11,14,1.065100671,65
7,5,0.904832215,65
37,15,0.330536913,64
22,10,0.424026846,64
39,15,0.130201342,64
59,10,0.998322148,64
39,12,0.504161074,64
10,6,0.9448993290000001,64
17,15,1.011677852,64
34,16,0.036711409,63
12,8,0.744563758,63
8,15,1.4123489930000002,63
50,12,0.904832215,63
64,16,0.517516779,62
53,12,0.450738255,62
33,10,0.303825503,62
39,11,0.183624161,61
64,14,0.370604027,60
55,10,0.624362416,60
39,16,0.223691275,60
25,13,0.771275168,60
6,16,1.212013423,59
20,8,0.46409396,59
33,13,0.290469799,59
56,12,0.21033557,58
20,10,1.57261745,58
39,12,0.624362416,58
57,14,0.904832215,58
26,9,0.771275168,57
13,10,1.9465771809999999,57
61,8,0.21033557,57
55,16,0.170268456,56
11,12,1.77295302,56
31,4,0.8647651009999999,56
30,12,0.46409396,55
52,9,0.050067114,55
14,6,1.038389262,55
53,8,0.651073826,55
15,11,1.77295302,54
5,6,1.959932886,54
3,14,1.198657718,54
40,7,0.811342282,54
38,13,0.357248322,53
60,11,0.450738255,53
32,8,0.38395973200000005,53
57,4,0.517516779,53
41,5,0.878120805,53
14,10,1.6527516780000002,53
5,6,1.038389262,53
51,5,0.651073826,53
13,16,1.532550336,52
4,11,1.6661073830000002,52
43,7,0.130201342,52
14,5,1.105167785,52
34,3,0.8380536909999999,52
44,3,0.09013422800000001,52
37,12,0.8647651009999999,51
14,4,2.0,51
3,9,1.4924832209999999,51
17,11,1.11852349,51
17,4,1.505838926,51
45,11,0.504161074,51
15,5,2.0,51
21,16,0.677785235,51
19,5,1.131879195,50
45,6,0.46409396,50
34,13,0.9181879190000001,50
32,13,0.584295302,50
15,6,1.305503356,50
64,8,0.958255034,50
7,3,1.786308725,50
10,7,1.986644295,50
49,16,0.477449664,50
8,5,1.185302013,50
14,9,1.559261745,50
7,9,1.77295302,49
16,6,1.425704698,49
1,12,1.732885906,49
4,9,1.238724832,49
59,9,0.397315436,49
9,3,1.212013423,49
46,16,0.370604027,49
55,8,0.744563758,49
17,7,1.425704698,49
51,4,0.584295302,49
17,14,1.158590604,49
11,9,1.813020134,49
40,3,0.397315436,49
6,7,1.158590604,49
16,3,1.185302013,49
25,16,0.89147651,49
60,4,0.624362416,49
61,14,0.38395973200000005,49
36,4,0.290469799,49
21,6,0.931543624,49
31,9,0.7178523490000001,49
62,11,0.263758389,48
18,5,1.986644295,48
20,15,1.4791275169999998,48
3,4,1.599328859,48
29,7,0.757919463,48
1,5,1.8397315440000002,48
63,4,0.063422819,48
10,6,1.198657718,48
13,9,1.171946309,48
11,7,1.4123489930000002,48
18,5,1.398993289,48
9,11,1.4123489930000002,48
57,15,0.196979866,48
61,3,0.651073826,48
17,3,1.8397315440000002,47
15,13,1.278791946,47
50,10,0.130201342,47
21,13,0.784630872,47
61,16,0.5976510070000001,47
4,7,1.011677852,47
47,3,0.984966443,47
37,7,0.530872483,47
16,14,1.9332214769999998,47
22,10,0.317181208,47
61,5,0.878120805,47
6,6,1.519194631,47
10,5,1.559261745,46
12,3,1.6661073830000002,46
23,12,0.971610738,46
33,5,0.343892617,46
13,3,1.986644295,46
55,11,0.504161074,46
62,7,0.023355705,46
20,4,1.425704698,46
19,6,1.8397315440000002,46
10,8,1.9465771809999999,46
37,3,0.01,46
47,13,0.637718121,46
48,6,0.998322148,46
3,13,1.786308725,46
14,9,1.612684564,46
55,8,0.277114094,46
9,10,1.31885906,46
15,6,1.6661073830000002,46
22,8,0.517516779,45
55,3,0.290469799,45
4,7,1.6260402680000001,45
16,4,1.706174497,45
34,12,0.637718121,45
10,9,1.4924832209999999,45
57,11,0.757919463,45
30,7,0.517516779,45
8,14,1.158590604,45
55,10,0.771275168,45
21,14,0.277114094,44
37,5,0.904832215,44
42,16,0.677785235,44
16,10,1.6260402680000001,44
45,12,0.9448993290000001,44
24,7,0.797986577,44
33,3,0.09013422800000001,44
46,4,0.277114094,44
42,7,0.09013422800000001,44
31,5,0.651073826,44
46,15,0.7178523490000001,43
38,9,0.878120805,43
48,11,0.530872483,43
1,5,0.397315436,43
30,9,0.21033557,43
14,8,1.038389262,43
28,16,0.677785235,43
12,6,1.372281879,43
41,4,0.530872483,42
64,14,0.050067114,42
26,6,0.984966443,42
20,10,1.559261745,42
8,9,1.252080537,42
33,12,0.8380536909999999,42
32,9,0.38395973200000005,42
17,11,1.34557047,42
49,14,0.811342282,42
3,13,1.9332214769999998,42
10,11,1.212013423,42
16,13,1.612684564,41
60,16,0.998322148,41
60,9,0.023355705,41
8,14,1.305503356,41
30,5,0.611006711,41
49,4,0.130201342,41
53,9,0.517516779,41
29,12,0.38395973200000005,41
9,9,1.34557047,40
47,8,0.797986577,40
25,6,0.744563758,40
3,6,1.34557047,40
49,6,0.744563758,40
43,7,0.063422819,39
