School ID,School Name,Street Address,City,State,ZIP Code,Phone Number,School State ID,School Level,Lowest Grade,Highest Grade,Latitude,Longitude,School Website,Cluster,Mapped Location
496,A. Z. Kelley Elementary,5834 Pettus Road,Antioch,TN,37013,(615)941-7535,1,Elementary School,Grade P3,Grade 4,36.02181712,-86.65884778,http://schools.mnps.org/az-kelley-elementary-school,Cane Ridge,"(36.02181712, -86.65884778)"
375,Alex Green Elementary,3921 Lloyd Road,Whites Creek,TN,37189,(615)876-5105,5,Elementary School,Grade P4,Grade 4,36.2529607,-86.8322292,http://schools.mnps.org/alex-green-elementary-school,Whites Creek,"(36.2529607, -86.8322292)"
105,Amqui Elementary,319 Anderson Lane,Madison,TN,37115,(615)612-3678,10,Elementary School,Grade P3,Grade 4,36.27376585,-86.70383153,http://schools.mnps.org/amqui-elementary-school,Hunters Lane,"(36.27376585, -86.70383153)"
460,Andrew Jackson Elementary,110 Shute Ln,Old Hickory,TN,37138,(615)847-7317,15,Elementary School,Grade P4,Grade 4,36.23158465,-86.62377469,http://schools.mnps.org/andrew-jackson-elementary-school,McGavock,"(36.23158465, -86.62377469)"
110,Antioch High School,1900 Hobson Pike,Antioch,TN,37013,(615)641-5400,20,High School,Grade 9,Grade 12,36.04667464,-86.59941833,http://schools.mnps.org/antioch-high-school,Antioch,"(36.04667464, -86.59941833)"
111,Antioch Middle,5050 Blue Hole Road,Antioch,TN,37013,(615)333-5642,23,Middle School,Grade 5,Grade 8,36.05537897,-86.67182989,http://schools.mnps.org/antioch-middle-prep,Cane Ridge,"(36.05537897, -86.67182989)"
577,Apollo Middle,631 Richards Rd,Antioch,TN,37013,(615)333-5025,25,Middle School,Grade 5,Grade 8,36.06687798,-86.66406971,http://schools.mnps.org/apollo-middle-prep,Antioch,"(36.06687798, -86.66406971)"
130,Bellevue Middle,655 Colice Jeanne Road,Nashville,TN,37221,(615)662-3000,40,Middle School,Grade 5,Grade 8,36.07074879,-86.93482036,http://schools.mnps.org/bellevue-middle-prep,Hillwood,"(36.07074879, -86.93482036)"
135,Bellshire Elementary,1128 Bell Grimes Lane,Nashville,TN,37207,(615)860-1452,45,Elementary School,Grade P3,Grade 4,36.26968766,-86.76230026,http://schools.mnps.org/bellshire-design-center,Hunters Lane,"(36.26968766, -86.76230026)"
118,Brick Church College Prep,2835 Brick Church Pike,Nashville,TN,37207,(615)806-6317,118,Charter,Grade 5,Grade 8,36.22073858,-86.78175245,http://www.brickchurchcollegeprep.org/,Whites Creek,"(36.22073858, -86.78175245)"
165,Buena Vista Elementary,1531 9th Avenue North,Nashville,TN,37208,(615)291-6762,70,Elementary School,Grade P4,Grade 4,36.17774116,-86.79813805,http://schools.mnps.org/buena-vista-enhanced-option-elementary-school,Pearl-Cohn,"(36.17774116, -86.79813805)"
175,Caldwell Elementary,244 Foster St.,Nashville,TN,37207,(615)291-6361,80,Elementary School,Grade P3,Grade 4,36.17830976,-86.76900113,http://schools.mnps.org/caldwell-enhanced-option-elementary-school,Maplewood,"(36.17830976, -86.76900113)"
419,Cambridge Early Learning Center,2325 Hickory Highlands Dr,Antioch,TN,37013,(615)687-4560,7005,Elementary School,Grade P4,Grade P4,36.06035009,-86.64101743,http://schools.mnps.org/cambridge-early-learning-center,,"(36.06035009, -86.64101743)"
181,Cameron College Preparatory,1034 1st Avenue South,Nashville,TN,37210,(615)806-6320,8010,Charter,Grade 5,Grade 8,36.14859279,-86.76399902,http://www.cameroncollegeprep.org/,Glencliff,"(36.14859279, -86.76399902)"
184,Cane Ridge Elementary,3884 Asheford Trace,Antioch,TN,37013,(615)641-7824,82,Elementary School,Grade K,Grade 4,36.03971967,-86.61815063,http://schools.mnps.org/cane-ridge-elementary-school,Cane Ridge,"(36.03971967, -86.61815063)"
182,Cane Ridge High School,12848 Old Hickory Blvd.,Antioch,TN,37013,(615)687-4000,77,High School,Grade 9,Grade 12,36.03028843,-86.62123021,http://schools.mnps.org/cane-ridge-high-school,Cane Ridge,"(36.03028843, -86.62123021)"
185,Carter-Lawrence Elementary,1118 12th Avenue South,Nashville,TN,37203,(615)291-7333,670,Elementary School,Grade P4,Grade 4,36.14365344,-86.78585349,http://schools.mnps.org/carterlawrence-elementary-school,,"(36.14365344, -86.78585349)"
186,Casa Azafran Early Learning Center,2195 Nolensville Road,Nashville,TN,37211,(615)291-4672,7020,Elementary School,Grade P4,Grade P4,36.12651716,-86.75339875,http://schools.mnps.org/casa-azafrn-early-learning-center,,"(36.12651716, -86.75339875)"
200,Chadwell Elementary,321 Port Drive,Madison,TN,37115,(615)860-1459,105,Elementary School,Grade P3,Grade 4,36.25637022,-86.74167109,http://schools.mnps.org/chadwell-elementary-school,Maplewood,"(36.25637022, -86.74167109)"
205,Charlotte Park Elementary,480 Annex Ave.,Nashville,TN,37209,(615)353-2006,110,Elementary School,Grade P3,Grade 4,36.15124524,-86.88371355,http://schools.mnps.org/charlotte-park-elementary-school,Hillwood,"(36.15124524, -86.88371355)"
215,Cockrill Elementary,4701 Indiana Ave,Nashville,TN,37209,(615)298-8075,120,Elementary School,Grade P3,Grade 4,36.15620646,-86.84514493,http://schools.mnps.org/cockrill-elementary-school,Pearl-Cohn,"(36.15620646, -86.84514493)"
225,Cole Elementary,5060 Colemont Dr.,Antioch,TN,37013,(615)333-5043,130,Elementary School,Grade P4,Grade 4,36.05833526,-86.69862021,http://schools.mnps.org/cole-elementary-school,Cane Ridge,"(36.05833526, -86.69862021)"
448,Cora Howe School,1928 Greenwood Avenue,Nashville,TN,37206,(615)262-6675,443,Special Education,Grade K,Grade 12,36.18893027,-86.73458329,http://schools.mnps.org/cora-howe-school,,"(36.18893027, -86.73458329)"
783,Creswell Middle Prep School of the Arts,3500 John Mallette Drive,Nashville,TN,37218,(615)291-6515,700,Middle School,Grade 5,Grade 8,36.19606322,-86.83753939,http://schools.mnps.org/creswell-middle-prep-school-of-the-arts,,"(36.19606322, -86.83753939)"
235,Crieve Hall Elementary,498 Hogan Road,Nashville,TN,37220,(615)333-5059,145,Elementary School,Grade K,Grade 4,36.06574575,-86.75810305,http://schools.mnps.org/crieve-hall-elementary-school,John Overton,"(36.06574575, -86.75810305)"
238,Croft Middle,482 Elysian Fields Road,Nashville,TN,37211,(615)332-0217,148,Middle School,Grade 5,Grade 8,36.08747494,-86.73414769,http://schools.mnps.org/croft-design-center-middle-prep,John Overton,"(36.08747494, -86.73414769)"
240,Cumberland Elementary,4247 Cato Road,Nashville,TN,37218,(615)291-6370,150,Elementary School,Grade P3,Grade 4,36.2120691,-86.86656862,http://schools.mnps.org/cumberland-elementary-school,Whites Creek,"(36.2120691, -86.86656862)"
560,Dan Mills Elementary,4106 Kennedy Avenue,Nashville,TN,37216,(615)262-6677,160,Elementary School,Grade P4,Grade 4,36.21863826,-86.71708395,http://schools.mnps.org/dan-mills-elementary-school,Stratford,"(36.21863826, -86.71708395)"
