user_offset,artist_offset,playcount
1,79,58
1,84,80
1,86,317
1,89,64
1,96,159
1,102,58
1,29,55
1,31,59
1,1,211
2,57,85
2,60,124
2,82,155
2,96,159
2,19,176
2,21,57
2,107,75
2,31,87
2,33,243
2,38,58
2,50,120
2,54,52
2,0,105
2,16,56
3,57,101
3,75,166
3,39,63
4,58,61
4,72,128
4,15,108
5,65,72
5,79,92
5,12,80
6,60,107
6,77,196
6,85,217
6,22,96
6,31,93
7,60,309
7,99,61
7,18,75
8,59,103
8,62,162
8,73,575
8,25,177
9,55,107
9,61,160
9,69,60
9,103,125
9,44,313
9,47,127
9,12,79
10,70,127
10,87,136
10,23,75
10,27,57
10,37,171
10,45,103
10,49,144
10,15,202
11,99,56
11,31,330
11,16,59
12,56,433
12,57,58
12,59,63
12,69,54
12,78,59
12,23,116
12,35,124
12,52,95
12,12,207
12,16,5759
13,104,161
13,20,74
13,106,104
13,23,152
14,75,73
14,104,98
14,106,73
14,107,66
14,26,59
14,33,54
14,35,181
14,50,169
15,56,166
15,58,88
15,63,118
15,70,83
15,82,146
15,2,437
15,109,59
15,29,211
15,33,55
15,40,133
15,43,131
15,46,76
15,0,165
16,72,99
16,82,52
16,23,52
17,82,57
17,89,127
17,96,92
18,55,2786
18,56,168
18,61,1889
18,62,162
18,64,1951
18,66,123
18,71,121
18,84,79
18,94,3282
18,103,479
18,17,442
18,30,194
18,36,3845
18,40,54
18,44,156
18,47,116
18,49,267
18,52,1292
18,54,99
18,15,130
19,57,2039
19,65,100
19,68,77
19,70,60
19,74,93
19,84,69
19,104,52
19,26,84
19,28,357
19,3,2087
19,41,391
19,44,147
19,48,213
19,54,310
19,14,138
19,16,353
20,56,53
20,69,59
20,82,88
20,23,96
20,26,68
20,35,64
20,46,81
20,54,70
20,0,91
20,16,103
21,27,203
21,45,144
21,0,98
22,77,406
22,93,64
22,97,495
22,18,75
22,3,92
22,32,240
22,16,103
23,55,289
23,61,266
23,25,83
23,36,216
23,47,233
23,12,323
24,57,287
24,59,106
24,67,447
24,98,194
24,26,777
24,35,127
24,40,100
24,47,414
24,52,96
24,53,340
24,9,95
24,10,253
24,13,217
24,1,287
25,63,67
25,73,954
25,74,122
25,23,267
25,43,365
25,48,52
26,57,73
26,106,59
26,26,123
27,57,105
27,65,174
27,67,61
27,1,66
28,80,143
28,90,79
28,107,186
28,23,106
28,29,114
28,37,328
28,14,259
28,15,213
29,57,305
29,70,93
29,85,356
29,23,385
29,26,72
29,27,79
29,40,56
29,41,145
29,0,120
29,16,64
30,36,118
30,54,205
30,12,115
31,66,367
31,12,52
31,16,141
32,58,748
32,59,211
32,72,197
32,73,167
32,74,74
32,94,369
32,95,809
32,99,117
32,103,175
32,21,70
32,107,1299
32,23,169
32,25,86
32,28,63
32,35,124
32,43,132
33,71,69
33,4,116
33,47,69
34,57,69
34,77,52
34,86,226
34,6,72
34,7,87
35,57,254
35,58,235
35,60,75
35,91,56
35,92,154
35,99,139
35,21,70
35,107,250
35,109,67
35,6,51
35,38,336
35,42,108
35,51,64
35,10,56
35,1,73
35,16,108
36,57,400
36,68,82
36,77,350
36,106,180
36,24,166
36,26,126
36,3,634
36,4,83
36,33,59
36,8,253
36,14,651
36,15,250
37,58,76
37,68,130
37,18,141
37,106,53
37,24,328
37,6,65
37,47,61
37,8,55
37,15,53
37,16,53
38,57,95
38,66,51
38,69,57
38,74,62
38,80,55
38,20,64
38,23,57
38,25,70
38,32,81
38,43,55
38,47,53
38,15,219
38,16,182
39,81,87
39,88,209
39,16,100
40,58,413
40,66,81
40,82,152
40,91,117
40,92,153
40,100,307
40,105,139
40,18,160
40,26,90
40,28,209
40,50,76
40,14,94
41,55,68
41,73,187
41,103,218
41,17,51
41,25,76
41,47,126
41,16,107
42,57,191
42,62,171
42,2,128
42,16,99
43,64,136
43,69,133
43,81,73
43,2,349
44,65,80
44,98,61
44,32,181
44,51,67
45,55,347
45,57,136
45,59,112
45,66,238
45,73,296
45,78,159
45,83,88
45,92,266
45,94,138
45,103,169
45,106,62
45,107,81
45,23,588
45,26,207
45,31,135
45,5,559
45,47,253
45,52,122
45,54,388
45,12,474
46,72,110
46,20,61
46,107,164
47,57,79
47,82,133
47,89,79
47,95,53
47,96,86
47,106,51
47,26,154
47,6,108
48,57,737
48,93,67
48,107,511
48,28,61
48,29,414
48,33,278
48,5,208
48,7,828
48,46,55
48,48,71
48,0,236
48,14,51
49,35,67
49,37,58
49,47,52
49,54,102
49,12,232
49,15,290
50,66,346
50,10,114
50,12,76
51,56,81
51,109,77
51,23,542
51,26,328
51,33,698
51,46,106
51,52,668
51,54,56
51,12,129
52,95,85
52,32,153
52,1,160
53,57,226
53,77,161
53,82,223
53,84,68
53,106,67
53,22,206
53,23,84
53,26,72
53,3,65
53,48,95
53,14,57
54,58,445
54,69,53
54,76,53
54,98,569
54,23,402
54,47,420
54,52,160
54,9,283
54,10,631
54,12,66
54,13,567
54,16,239
55,78,448
55,47,403
55,52,232
55,54,143
55,9,54
55,12,3439
56,56,97
56,58,103
56,60,158
56,92,127
56,93,89
56,99,73
56,101,171
56,102,64
56,2,152
56,106,87
56,107,103
56,109,152
56,26,53
56,110,51
57,58,309
57,86,345
57,109,56
57,29,721
57,5,410
57,46,107
58,62,374
58,82,250
58,86,226
58,23,66
58,15,775
59,74,136
59,45,64
59,54,305
59,15,95
60,82,68
60,89,502
60,93,142
60,96,748
60,106,313
60,107,116
60,108,69
60,110,272
61,64,584
61,36,52
61,44,90
62,62,446
62,86,162
62,98,62
62,103,162
62,17,136
62,23,57
62,42,104
62,1,208
62,14,69
63,82,121
63,107,101
63,26,64
63,40,53
64,91,74
64,24,86
64,52,55
64,9,111
65,57,62
65,68,76
65,84,244
65,3,55
65,14,128
66,64,59
66,69,118
66,73,55
66,86,75
66,92,250
66,93,86
66,21,294
66,106,197
66,26,907
66,4,473
66,44,155
66,47,71
66,52,202
66,16,465
67,77,58
67,89,79
67,26,81
67,32,188
67,6,148
67,7,144
68,57,202
68,79,86
68,14,106
69,66,319
69,23,55
69,26,111
69,37,149
69,47,324
69,12,229
70,80,90
70,92,519
70,103,225
70,0,67
70,15,51
70,16,72
71,60,113
71,76,53
71,81,81
71,82,128
71,88,178
71,98,176
71,99,161
71,100,94
71,106,68
71,109,52
72,56,52
72,57,84
72,58,106
72,69,57
72,72,117
72,91,78
72,93,61
72,103,66
72,2,78
72,23,196
72,26,95
72,40,76
72,47,182
72,51,51
72,54,91
72,16,99
73,85,117
73,97,91
73,35,78
73,50,71
74,56,359
74,26,82
74,51,56
75,56,71
75,62,85
75,64,80
75,67,982
75,98,146
75,23,204
75,9,2179
75,10,2425
75,13,199
75,16,62
76,61,248
76,66,115
76,78,131
76,12,136
76,16,168
77,74,96
77,98,52
77,23,361
77,6,299
77,1,82
78,104,213
78,107,67
78,109,197
78,23,73
78,48,72
78,16,131
79,59,128
79,66,2263
79,78,144
79,91,191
79,103,606
79,23,1289
79,36,104
79,47,217
79,52,856
79,12,571
79,16,295
80,64,211
80,65,162
80,66,51
80,68,71
80,87,71
80,19,65
80,23,150
80,25,118
80,4,51
80,32,77
80,52,252
80,12,632
81,60,96
81,72,92
81,87,202
81,95,114
81,5,62
81,50,135
82,70,52
82,82,55
82,2,74
83,82,114
83,107,67
83,31,82
84,57,67
84,86,179
84,28,56
84,29,101
84,52,58
85,61,151
85,78,196
85,23,64
85,52,218
86,69,354
86,36,58
86,47,52
87,63,129
87,104,75
87,27,51
88,57,988
88,62,94
88,65,76
88,28,65
88,14,247
88,16,109
89,57,60
89,65,93
89,7,61
90,60,126
90,98,93
90,107,88
90,39,52
91,57,58
91,66,126
91,22,83
91,52,153
91,12,151
92,89,97
92,52,122
92,13,97
93,57,168
93,82,168
93,99,154
93,104,130
93,107,106
94,76,738
94,98,662
94,4,57
94,51,2809
94,53,81
94,9,63
94,10,332
94,13,327
95,58,705
95,60,222
95,70,122
95,93,237
95,102,64
95,18,68
95,21,80
95,107,111
95,109,55
95,26,54
95,29,74
95,38,201
95,48,68
95,0,77
95,1,2370
96,61,213
96,70,205
96,80,82
96,103,160
