# Source:
#    EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators
#    EPA sea level webpage: https://www.epa.gov/climate-indicators/climate-change-indicators-sea-surface-temperature
#    EPA sea level data table: https://www.epa.gov/sites/production/files/2016-08/sea-level_fig-1.csv
# Data source: EPA, CSIRO
# Columns: Time [Year], Adjusted sea level [inches]
year,sea_level_inches
1970,4.67716535
1971,4.881889759
1972,5.240157475
1973,5.003937003
1974,5.472440939
1975,5.409448813
1976,5.370078735
1977,5.303149601
1978,5.555118105
1979,5.362204719
1980,5.598425191
1981,6.086614167
1982,5.858267711
1983,6.188976372
1984,6.153543301
1985,5.74803149
1986,5.771653537
1987,5.795275585
1988,5.980314955
1989,6.157480309
1990,6.232283458
1991,6.334645663
1992,6.35826771
1993,6.291338576
1994,6.499999993
1995,6.618110229
1996,6.787401568
1997,7.066929127
1998,6.665354324
1999,7.011811016
2000,7.062992119
2001,7.287401567
2002,7.381889756
2003,7.759842512
2004,7.740157472
2005,7.74409448
2006,7.917322827
2007,7.996062984
2008,8.350393692
2009,8.586614164
2010,8.901574794
2011,8.96456692
2012,9.326771644
2013,8.980314951
