DATE,STATION,NAME,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-CLDD-NORMAL,MLY-DUTR-NORMAL,MLY-DUTR-STDDEV,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-PRCP-50PCTL,MLY-PRCP-75PCTL,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-PRCP-NORMAL,MLY-SNOW-25PCTL,MLY-SNOW-50PCTL,MLY-SNOW-75PCTL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-NORMAL,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-SNWD-AVGNDS-GE010WI,MLY-TAVG-NORMAL,MLY-TAVG-STDDEV,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-LSTH032,MLY-TMAX-NORMAL,MLY-TMAX-STDDEV,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TMIN-NORMAL,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-TMIN-STDDEV,MONTH
1,USW00094290,"SEATTLE SAND PT WSFO, WA US",27.0,3.0,-7777.0,-7777.0,0.0,0.0,0.0,0.0,10.2,1.4,104.0,27.0,3.0,-7777.0,-7777.0,0.0,0.0,0.0,0.0,28.0,16.0,39.0,117.0,247.0,400.0,462.0,555.0,710.0,3.29,4.99,6.07,18.5,12.1,3.1,0.7,4.81,0.0,0.0,0.0,0.6,0.3,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,42.1,2.2,279.0,10.1,2.0,0.0,0.0,0.0,0.0,0.3,47.2,2.4,0.0,0.0,1.0,6.4,203.0,309.0,310.0,310.0,37.0,64.0,129.0,317.0,709.0,959.0,1000.0,2.3,Jan
2,USW00094290,"SEATTLE SAND PT WSFO, WA US",31.0,3.0,-7777.0,-7777.0,0.0,0.0,0.0,0.0,13.1,1.8,116.0,31.0,3.0,-7777.0,-7777.0,0.0,0.0,0.0,0.0,47.0,31.0,19.0,75.0,186.0,323.0,379.0,463.0,603.0,2.09,3.08,4.44,14.1,7.6,1.4,0.1,3.31,0.0,0.0,0.0,0.4,0.2,0.1,0.0,0.0,0.6,0.3,0.1,0.0,0.0,43.4,2.3,269.0,13.3,14.0,0.0,0.0,0.0,0.0,0.0,50.0,2.4,0.0,0.0,1.0,5.0,190.0,280.0,280.0,280.0,36.9,15.0,76.0,273.0,616.0,917.0,1000.0,2.6,Feb
3,USW00094290,"SEATTLE SAND PT WSFO, WA US",81.0,16.0,2.0,-7777.0,-7777.0,0.0,0.0,0.0,14.5,1.2,207.0,81.0,16.0,2.0,-7777.0,-7777.0,0.0,0.0,0.0,97.0,72.0,4.0,33.0,123.0,263.0,324.0,417.0,572.0,2.6,3.46,3.93,17.1,10.1,1.7,0.4,3.51,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-7777.0,0.0,0.0,0.0,0.0,46.6,2.0,308.0,23.0,45.0,3.0,0.0,0.0,0.0,0.0,53.8,2.4,0.0,0.0,0.0,1.6,173.0,310.0,310.0,310.0,39.3,0.0,20.0,41.0,152.0,670.0,986.0,1.8,Mar
4,USW00094290,"SEATTLE SAND PT WSFO, WA US",169.0,58.0,12.0,6.0,1.0,0.0,0.0,-7777.0,16.0,1.7,315.0,169.0,58.0,12.0,6.0,1.0,-7777.0,0.0,0.0,160.0,130.0,-7777.0,4.0,43.0,147.0,200.0,286.0,435.0,2.1,2.68,2.94,15.0,8.2,1.3,0.1,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5,1.6,300.0,28.4,105.0,12.0,1.0,0.0,0.0,0.0,58.5,2.0,0.0,0.0,0.0,-7777.0,80.0,293.0,300.0,300.0,42.5,0.0,0.0,0.0,0.0,114.0,711.0,1.5,Apr
5,USW00094290,"SEATTLE SAND PT WSFO, WA US",343.0,193.0,78.0,49.0,21.0,-7777.0,-7777.0,3.0,16.5,1.8,497.0,343.0,193.0,78.0,49.0,21.0,3.0,-7777.0,-7777.0,277.0,234.0,0.0,-7777.0,5.0,46.0,78.0,144.0,281.0,1.34,1.95,2.91,12.5,6.5,1.0,0.1,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,2.2,310.0,30.9,222.0,63.0,8.0,0.0,0.0,0.0,64.3,2.8,0.0,0.0,0.0,0.0,12.0,214.0,310.0,310.0,47.8,0.0,0.0,0.0,0.0,0.0,58.0,1.9,May
6,USW00094290,"SEATTLE SAND PT WSFO, WA US",480.0,330.0,184.0,130.0,65.0,2.0,1.0,14.0,17.4,1.8,630.0,480.0,330.0,184.0,130.0,65.0,14.0,2.0,1.0,392.0,336.0,0.0,0.0,-7777.0,4.0,10.0,35.0,134.0,1.04,1.54,2.25,9.9,4.8,0.7,0.1,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,1.8,300.0,30.0,284.0,131.0,21.0,-7777.0,0.0,0.0,69.7,2.5,0.0,0.0,0.0,0.0,0.0,74.0,297.0,300.0,52.3,0.0,0.0,0.0,0.0,0.0,0.0,1.2,Jun
7,USW00094290,"SEATTLE SAND PT WSFO, WA US",648.0,493.0,338.0,276.0,185.0,15.0,8.0,65.0,19.6,2.5,803.0,648.0,493.0,338.0,276.0,185.0,65.0,15.0,8.0,551.0,490.0,0.0,0.0,0.0,-7777.0,-7777.0,2.0,37.0,0.3,0.72,1.1,5.8,2.1,0.2,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.9,1.8,310.0,31.0,309.0,248.0,76.0,0.7,-7777.0,0.0,75.7,2.9,0.0,0.0,0.0,0.0,0.0,3.0,278.0,310.0,56.1,0.0,0.0,0.0,0.0,0.0,0.0,1.2,Jul
8,USW00094290,"SEATTLE SAND PT WSFO, WA US",668.0,513.0,358.0,296.0,204.0,14.0,6.0,75.0,19.5,1.5,823.0,668.0,513.0,358.0,296.0,204.0,75.0,14.0,6.0,572.0,511.0,0.0,0.0,0.0,-7777.0,-7777.0,1.0,27.0,0.33,0.6,1.24,5.7,3.0,0.6,0.1,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5,1.4,310.0,31.0,310.0,262.0,83.0,0.4,0.0,0.0,76.3,1.8,0.0,0.0,0.0,0.0,0.0,4.0,263.0,310.0,56.8,0.0,0.0,0.0,0.0,0.0,0.0,1.3,Aug
9,USW00094290,"SEATTLE SAND PT WSFO, WA US",498.0,348.0,202.0,149.0,83.0,2.0,1.0,19.0,18.2,1.9,648.0,498.0,348.0,202.0,149.0,83.0,19.0,2.0,1.0,412.0,358.0,0.0,0.0,-7777.0,4.0,11.0,35.0,121.0,0.64,1.67,2.06,7.8,4.0,0.8,-7777.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.6,1.7,300.0,30.0,286.0,159.0,27.0,0.1,0.0,0.0,70.7,2.3,0.0,0.0,0.0,0.0,0.0,75.0,296.0,300.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,Sep
10,USW00094290,"SEATTLE SAND PT WSFO, WA US",260.0,123.0,35.0,17.0,4.0,-7777.0,0.0,-7777.0,13.7,1.5,412.0,260.0,123.0,35.0,17.0,4.0,-7777.0,-7777.0,0.0,207.0,167.0,-7777.0,3.0,21.0,88.0,132.0,212.0,363.0,2.03,3.41,4.41,13.2,7.8,2.0,0.3,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3,1.8,310.0,29.7,148.0,17.0,2.0,0.0,0.0,0.0,60.1,2.0,0.0,0.0,0.0,0.1,24.0,236.0,310.0,310.0,46.5,0.0,0.0,0.0,2.0,58.0,349.0,1.8,Oct
