id,fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,distance_km,hour
0,4.5,-73.844311,40.721319,-73.84161,40.71227800000001,1,1.0307639350477122,17
1,16.9,-74.016048,40.711303,-73.979268,40.782004,1,8.45013359580609,16
2,5.7,-73.982738,40.76127,-73.991242,40.750562,2,1.3895252257699269,0
3,7.7,-73.98713000000002,40.733143,-73.991567,40.758092,1,2.799270239983192,4
4,5.3,-73.96809499999998,40.768008,-73.956655,40.783762,1,1.9991567879950127,7
5,12.1,-74.000964,40.731629999999996,-73.972892,40.758233000000004,1,3.7872390847819193,9
6,7.5,-73.980002,40.751661999999996,-73.973802,40.764842,1,1.5558066593503583,20
7,16.5,-73.9513,40.774138,-73.990095,40.751048,1,4.1554442918459635,17
8,9.0,-74.006462,40.726713000000004,-73.993078,40.731628,1,1.2532315127256108,13
9,8.9,-73.98065799999998,40.733872999999996,-73.99154,40.758138,2,2.84962679610806,1
10,5.3,-73.996335,40.737142,-73.980721,40.733559,1,1.3745769995939758,7
11,5.5,0.0,0.0,0.0,0.0,3,0.0,11
12,4.1,-73.991601,40.744712,-73.983081,40.744682,2,0.7177674874535057,1
13,7.0,-74.00536,40.728867,-74.008913,40.710907,1,2.019383827197718,19
14,7.7,-74.00182099999998,40.737547,-73.99806,40.722788,2,1.671444598075307,17
15,5.0,0.0,0.0,0.0,0.0,1,0.0,12
16,12.5,-73.98643,40.760465,-73.98899,40.737075,1,2.609774493745314,7
17,5.3,-73.98106,40.73769,-73.99417700000002,40.728412,1,1.5119042477206142,16
18,5.3,-73.969505,40.784843,-73.958732,40.783357,1,0.9219517182554549,14
19,4.0,-73.979815,40.751902,-73.979446,40.755481,1,0.3991785703993765,20
20,10.5,-73.985382,40.747858,-73.97837700000002,40.76207,1,1.6868613301690958,13
21,11.5,-73.957954,40.779252,-73.96125,40.758787,1,2.2924697999172805,12
22,4.5,-73.99170699999998,40.770505,-73.98545899999998,40.763671,1,0.9242957326388316,18
23,4.9,-74.000632,40.747473,-73.986672,40.740577,1,1.403958178601957,12
24,6.1,-73.969622,40.756972999999995,-73.98115200000002,40.759712,1,1.0177730882302156,15
25,7.3,-73.991875,40.754437,-73.97723,40.774322999999995,3,2.531946697192874,16
26,6.5,0.0,0.0,0.0,0.0,1,0.0,20
27,4.5,-73.988893,40.76016,-73.98644499999997,40.757857,3,0.3287708526860586,19
28,9.3,-73.98925799999998,40.690835,-74.004133,40.72569,1,4.073463090488281,6
29,4.5,-73.98102,40.737759999999994,-73.98066800000002,40.730497,2,0.8081531607884028,0
30,5.5,-73.976075,40.752421999999996,-73.981082,40.759285,1,0.8719132689988611,16
31,22.54,-74.01048278808595,40.71766662597656,-73.98577117919923,40.66036605834961,1,6.703551396163527,21
32,31.9,-73.87302700000002,40.77388300000001,-73.984545,40.769545,3,9.40329565838743,16
33,5.7,-73.976162,40.744988,-73.990002,40.738323,2,1.3815885065972249,14
34,18.1,-73.993717,40.740784999999995,-73.99927199999998,40.676617,1,7.150502806160612,23
35,58.0,-73.98332977294923,40.73871994018555,-73.93319702148438,40.84722518920898,1,12.782055688363378,3
36,4.5,-73.99017333984375,40.756446838378906,-73.9856185913086,40.7628288269043,1,0.8066990805199787,8
37,5.3,-73.995199,40.75474000000001,-74.005416,40.75108400000001,1,0.9518008399115656,10
38,9.0,-73.95774,40.773617,-73.977087,40.758465,6,2.3438024765578334,11
39,9.8,-73.972673,40.759186,-73.969897,40.791367,1,3.5859907143799794,20
40,8.1,-73.984267,40.744960999999996,-73.981646,40.759608,1,1.6435680593534163,15
41,10.9,-74.003899,40.725514000000004,-73.976484,40.765537,2,5.0139358273764865,10
42,17.5,-73.97845,40.76292,-74.008482,40.716502,1,5.748258840608666,8
43,12.1,-73.988558,40.7372,-73.958688,40.780747999999996,1,5.456870473290461,21
44,5.3,-73.997037,40.737095000000004,-73.98612800000002,40.735043,1,0.9470360672667176,18
45,6.9,-73.971114,40.758944,-73.97793,40.736613,1,2.548615186304921,21
46,4.5,-73.980822,40.74442,-73.991093,40.748796999999996,1,0.9927377363025026,20
47,3.3,-73.988877,40.76357700000001,-73.985573,40.760262,1,0.4618534705216859,7
48,3.3,-73.98666,40.756071999999996,-73.989727,40.751702,5,0.5503272397652647,0
49,9.0,-73.992253,40.742657,-73.983597,40.755947,1,1.6478832232048313,12
50,9.7,-73.985582,40.73976500000001,-73.973899,40.760426,1,2.4993156172294944,9
51,5.5,-73.952825,40.772048,-73.95219399999998,40.781152,3,1.013712008997986,20
52,8.0,-73.980298,40.783722999999995,-73.979628,40.763179,1,2.285085178134141,7
53,7.5,-73.97770799999998,40.746212,-73.975782,40.745055,1,0.2070679531596636,3
54,25.5,-73.974497,40.751603,-73.934927,40.851566999999996,4,11.60377396457927,1
55,15.3,-73.97151,40.755886,-73.968067,40.801173,1,5.044022662879329,18
56,34.67,-73.985427,40.758853,-73.872907,40.774497,1,9.634354423140664,18
57,9.7,-73.97954200000002,40.727498,-73.999315,40.730088,4,1.6908636071078362,21
58,13.7,-74.002113,40.739582,-73.971918,40.791899,2,6.348900587936658,23
59,6.5,-73.98543000000002,40.736011,-73.982501,40.724802000000004,1,1.2705845555475177,12
60,5.0,-73.996148,40.74189000000001,-73.992202,40.739425,6,0.4308707701281968,10
61,4.5,-74.009137,40.713436,-74.00282299999998,40.72342800000001,3,1.2319144000419775,23
62,4.9,-74.003985,40.73167700000001,-73.999765,40.723512,1,0.9750624506621788,14
63,7.0,-73.96620300000002,40.7675,-73.980915,40.77424,6,1.4479579694440121,9
64,7.3,-74.003919,40.753019,-73.992368,40.735362,1,2.191292345840633,10
65,7.5,-74.004736,40.715882,-74.017723,40.705141,1,1.6200915601084598,17
66,8.5,-73.991467,40.750575,-73.98575,40.741547,4,1.1134191737193644,9
67,16.5,-73.970323,40.750840000000004,-73.99839200000002,40.724862,6,3.733208436637349,18
68,11.5,-73.97927856445312,40.72343826293945,-74.00460815429686,40.7469482421875,6,3.374712940750963,10
69,5.0,-73.95479583740234,40.779335021972656,-73.94493103027344,40.780086517333984,1,0.8348068742692245,23
70,6.9,-73.99578100000002,40.723411,-74.005004,40.71895,2,0.9220554508781726,2
71,3.7,-74.00163,40.730767,-73.997112,40.737533,1,0.8431704544881573,10
72,6.9,-73.955118,40.768941999999996,-73.963495,40.761887,2,1.0550495226388965,8
73,10.1,-73.977788,40.771838,-73.9662,40.778113,2,1.1995796840636943,15
74,16.5,-73.9828,40.745287,-74.01425,40.702935,1,5.403872524010104,16
75,15.07,-73.961933,40.795584999999996,-73.962253,40.764817,2,3.4213515977698434,1
