,0
0,0.0
1,0.01
2,0.02
3,0.03
4,0.04
5,0.05
6,0.06
7,0.07
8,0.08
9,0.09
10,0.1
11,0.11
12,0.12
13,0.13
14,0.14
15,0.15
16,0.16
17,0.17
18,0.18
19,0.19
20,0.2
21,0.21
22,0.22
23,0.23
24,0.24
25,0.25
26,0.26
27,0.27
28,0.28
29,0.29
30,0.3
31,0.31
32,0.32
33,0.33
34,0.34
35,0.35000000000000003
36,0.36
37,0.37
38,0.38
39,0.39
40,0.4
41,0.41000000000000003
42,0.42
43,0.43
44,0.44
45,0.45
46,0.46
47,0.47000000000000003
48,0.48
49,0.49
50,0.5
51,0.51
52,0.52
53,0.53
54,0.54
55,0.55
56,0.56
57,0.5700000000000001
58,0.58
59,0.59
60,0.6
61,0.61
62,0.62
63,0.63
64,0.64
65,0.65
66,0.66
67,0.67
68,0.68
69,0.6900000000000001
70,0.7000000000000001
71,0.71
72,0.72
73,0.73
74,0.74
75,0.75
76,0.76
77,0.77
78,0.78
79,0.79
80,0.8
81,0.81
82,0.8200000000000001
83,0.8300000000000001
84,0.84
85,0.85
86,0.86
87,0.87
88,0.88
89,0.89
90,0.9
91,0.91
92,0.92
93,0.93
94,0.9400000000000001
95,0.9500000000000001
96,0.96
97,0.97
98,0.98
99,0.99
100,1.0
101,1.01
102,1.02
103,1.03
104,1.04
105,1.05
106,1.06
107,1.07
108,1.08
109,1.09
110,1.1
111,1.11
112,1.12
113,1.1300000000000001
114,1.1400000000000001
115,1.1500000000000001
116,1.16
117,1.17
118,1.18
119,1.19
120,1.2
121,1.21
122,1.22
123,1.23
124,1.24
125,1.25
126,1.26
127,1.27
128,1.28
129,1.29
130,1.3
131,1.31
132,1.32
133,1.33
134,1.34
135,1.35
136,1.36
137,1.37
138,1.3800000000000001
139,1.3900000000000001
140,1.4000000000000001
141,1.41
142,1.42
143,1.43
144,1.44
145,1.45
146,1.46
147,1.47
148,1.48
149,1.49
150,1.5
151,1.51
152,1.52
153,1.53
154,1.54
155,1.55
156,1.56
157,1.57
158,1.58
159,1.59
160,1.6
161,1.61
162,1.62
163,1.6300000000000001
164,1.6400000000000001
165,1.6500000000000001
166,1.6600000000000001
167,1.67
168,1.68
169,1.69
170,1.7
171,1.71
172,1.72
173,1.73
174,1.74
175,1.75
176,1.76
177,1.77
178,1.78
179,1.79
180,1.8
181,1.81
182,1.82
183,1.83
184,1.84
185,1.85
186,1.86
187,1.87
188,1.8800000000000001
189,1.8900000000000001
190,1.9000000000000001
191,1.9100000000000001
192,1.92
193,1.93
194,1.94
195,1.95
196,1.96
197,1.97
198,1.98
199,1.99
200,2.0
201,2.0100000000000002
202,2.02
203,2.0300000000000002
204,2.04
205,2.05
206,2.06
207,2.07
208,2.08
209,2.09
210,2.1
211,2.11
212,2.12
213,2.13
214,2.14
215,2.15
216,2.16
217,2.17
218,2.18
219,2.19
220,2.2
221,2.21
222,2.22
223,2.23
224,2.24
225,2.25
226,2.2600000000000002
227,2.27
228,2.2800000000000002
229,2.29
230,2.3000000000000003
231,2.31
232,2.32
233,2.33
234,2.34
235,2.35
236,2.36
237,2.37
238,2.38
239,2.39
240,2.4
241,2.41
242,2.42
243,2.43
244,2.44
245,2.45
246,2.46
247,2.47
248,2.48
249,2.49
250,2.5
251,2.5100000000000002
252,2.52
253,2.5300000000000002
254,2.54
255,2.5500000000000003
256,2.56
257,2.57
258,2.58
259,2.59
260,2.6
261,2.61
262,2.62
263,2.63
264,2.64
265,2.65
266,2.66
267,2.67
268,2.68
269,2.69
270,2.7
271,2.71
272,2.72
273,2.73
274,2.74
275,2.75
276,2.7600000000000002
277,2.77
278,2.7800000000000002
279,2.79
280,2.8000000000000003
281,2.81
282,2.82
283,2.83
284,2.84
285,2.85
286,2.86
287,2.87
288,2.88
289,2.89
290,2.9
291,2.91
292,2.92
293,2.93
294,2.94
295,2.95
296,2.96
297,2.97
298,2.98
299,2.99
300,3.0
301,3.0100000000000002
302,3.02
303,3.0300000000000002
304,3.04
305,3.0500000000000003
306,3.06
307,3.0700000000000003
308,3.08
309,3.09
310,3.1
311,3.11
312,3.12
313,3.13
314,3.14
315,3.15
316,3.16
317,3.17
318,3.18
319,3.19
320,3.2
321,3.21
322,3.22
323,3.23
324,3.24
325,3.25
326,3.2600000000000002
327,3.27
328,3.2800000000000002
329,3.29
330,3.3000000000000003
331,3.31
332,3.3200000000000003
333,3.33
334,3.34
335,3.35
336,3.36
337,3.37
338,3.38
339,3.39
340,3.4
341,3.41
342,3.42
343,3.43
344,3.44
345,3.45
346,3.46
347,3.47
348,3.48
349,3.49
350,3.5
351,3.5100000000000002
352,3.52
353,3.5300000000000002
354,3.54
355,3.5500000000000003
356,3.56
357,3.5700000000000003
358,3.58
359,3.59
360,3.6
361,3.61
362,3.62
363,3.63
364,3.64
365,3.65
366,3.66
367,3.67
368,3.68
369,3.69
370,3.7
371,3.71
372,3.72
373,3.73
374,3.74
375,3.75
376,3.7600000000000002
377,3.77
378,3.7800000000000002
379,3.79
380,3.8000000000000003
381,3.81
382,3.8200000000000003
383,3.83
384,3.84
385,3.85
386,3.86
387,3.87
388,3.88
389,3.89
390,3.9
391,3.91
392,3.92
393,3.93
394,3.94
395,3.95
396,3.96
397,3.97
398,3.98
399,3.99
400,4.0
401,4.01
402,4.0200000000000005
403,4.03
404,4.04
405,4.05
406,4.0600000000000005
407,4.07
408,4.08
409,4.09
410,4.1
411,4.11
412,4.12
413,4.13
414,4.14
415,4.15
416,4.16
417,4.17
418,4.18
419,4.19
420,4.2
421,4.21
422,4.22
423,4.23
424,4.24
425,4.25
426,4.26
427,4.2700000000000005
428,4.28
429,4.29
430,4.3
431,4.3100000000000005
432,4.32
433,4.33
434,4.34
435,4.3500000000000005
436,4.36
437,4.37
438,4.38
439,4.39
440,4.4
441,4.41
442,4.42
443,4.43
444,4.44
445,4.45
446,4.46
447,4.47
448,4.48
