date,EBAY,YHOO
2010-01-04,23.9,17.1
2010-01-05,23.65,17.23
2010-01-06,23.5,17.17
2010-01-07,23.229998,16.700001
2010-01-08,23.509999,16.700001
2010-01-11,23.45,16.74
2010-01-12,23.19,16.68
2010-01-13,23.6,16.9
2010-01-14,22.88,17.120001000000002
2010-01-15,22.469998,16.82
2010-01-19,23.259999,16.75
2010-01-20,22.23,16.379998999999998
2010-01-21,24.129998,16.200001
2010-01-22,23.579998,15.88
2010-01-25,23.69,15.86
2010-01-26,24.069999,15.99
2010-01-27,23.969999,15.98
2010-01-28,23.329998,15.44
2010-01-29,23.019999,15.01
2010-02-01,23.169999,15.05
2010-02-02,23.079998,15.17
2010-02-03,23.229998,15.46
2010-02-04,22.449999,15.01
2010-02-05,22.709999,15.19
2010-02-08,22.49,14.99
2010-02-09,22.369998,15.07
2010-02-10,21.959999,14.8
2010-02-11,22.13,15.22
2010-02-12,21.769998,15.17
2010-02-16,22.519998,15.41
2010-02-17,22.68,15.44
2010-02-18,22.84,15.54
2010-02-19,23.419999,15.58
2010-02-22,23.279998000000006,15.49
2010-02-23,22.89,15.38
2010-02-24,23.259999,15.59
2010-02-25,23.0,15.24
2010-02-26,23.019999,15.31
2010-03-01,23.879998,15.79
2010-03-02,23.99,15.73
2010-03-03,23.509999,15.57
2010-03-04,23.779998000000006,15.81
2010-03-05,24.629999,16.059998999999998
2010-03-08,24.839998,16.52
2010-03-09,25.51,16.530001000000002
2010-03-10,25.56,16.790001
2010-03-11,25.439998000000006,16.530001000000002
2010-03-12,25.969999,16.32
2010-03-15,26.279999,16.459999
2010-03-16,26.789999,16.360001
2010-03-17,26.979999,16.5
2010-03-18,27.46,16.559998999999998
2010-03-19,27.189999,16.440001000000002
2010-03-22,27.07,16.34
2010-03-23,27.049998,16.030001000000002
2010-03-24,26.939999,16.09
2010-03-25,27.559998,16.32
2010-03-26,27.449998,16.540001
2010-03-29,27.279999,16.559998999999998
2010-03-30,27.139999,16.610001
2010-03-31,26.97,16.530001000000002
2010-04-01,26.57,16.290001
2010-04-05,27.37,16.51
2010-04-06,27.27,16.92
2010-04-07,26.849998,16.870001000000002
2010-04-08,26.46,17.35
2010-04-09,26.549998,17.52
2010-04-12,26.629999,17.639999
2010-04-13,26.639999,18.18
2010-04-14,27.039999,18.379999
2010-04-15,26.979999,18.969999
2010-04-16,26.329999,18.17
2010-04-19,26.32,18.389999
2010-04-20,26.399998,18.379999
2010-04-21,26.289999,17.450001
2010-04-22,24.779999,17.719998999999994
2010-04-23,24.55,17.639999
2010-04-26,24.559999,17.389999
2010-04-27,23.769999,16.92
2010-04-28,23.99,16.75
2010-04-29,24.24,16.969998999999998
2010-04-30,23.779998000000006,16.530001000000002
2010-05-03,23.909999,16.950001
2010-05-04,23.079998,16.32
2010-05-05,22.659999,16.49
2010-05-06,22.269998,15.92
2010-05-07,21.48,15.29
2010-05-10,22.33,16.33
2010-05-11,22.38,16.41
2010-05-12,22.509999,16.469998999999998
2010-05-13,22.68,16.139999
2010-05-14,22.249999,16.389999
2010-05-17,22.509999,16.27
2010-05-18,22.169998,16.030001000000002
2010-05-19,21.64,15.79
2010-05-20,20.809998,15.1
2010-05-21,21.42,15.48
2010-05-24,21.359999,15.54
2010-05-25,21.59,15.31
2010-05-26,21.38,15.45
2010-05-27,21.909999,15.69
2010-05-28,21.409999,15.34
2010-06-01,20.959999,15.02
2010-06-02,21.249999,15.18
2010-06-03,22.18,15.43
2010-06-04,21.99,15.0
2010-06-07,21.549999,14.94
2010-06-08,21.69,14.79
2010-06-09,21.78,14.69
2010-06-10,22.28,15.1
2010-06-11,22.649999,15.29
2010-06-14,22.209999,15.17
2010-06-15,22.39,15.65
2010-06-16,22.13,15.49
2010-06-17,22.099999,15.6
2010-06-18,22.159999,15.54
2010-06-21,21.869998,15.21
2010-06-22,21.559999,15.09
2010-06-23,21.34,15.23
2010-06-24,20.859998,14.83
2010-06-25,20.949999,14.81
2010-06-28,20.709998,14.73
2010-06-29,19.689999,14.04
2010-06-30,19.61,13.84
2010-07-01,19.639999,14.09
2010-07-02,19.26,14.07
2010-07-06,19.349999,14.13
2010-07-07,19.81,14.4
2010-07-08,19.889999,14.6
2010-07-09,20.289999,14.89
2010-07-12,20.22,14.94
2010-07-13,21.009999,15.52
2010-07-14,21.109999,15.37
2010-07-15,21.03,15.37
2010-07-16,20.089999,14.9
2010-07-19,20.399999,15.1
2010-07-20,20.789999,15.2
2010-07-21,20.17,13.91
2010-07-22,20.939999,13.88
2010-07-23,21.089999,13.99
2010-07-26,21.139999,14.15
2010-07-27,21.039999,13.95
2010-07-28,21.039999,13.87
2010-07-29,20.77,13.76
2010-07-30,20.909998,13.88
2010-08-02,21.459999,14.0
2010-08-03,20.97,13.94
2010-08-04,21.099999,14.18
2010-08-05,21.07,14.16
2010-08-06,21.449999,14.34
2010-08-09,21.98,14.4
2010-08-10,21.909999,14.35
2010-08-11,21.249999,13.87
2010-08-12,21.59,13.85
2010-08-13,21.499999,13.83
2010-08-16,22.049999,13.79
2010-08-17,22.349999,13.94
2010-08-18,22.74,13.99
2010-08-19,23.129998,13.85
2010-08-20,23.369999,13.79
2010-08-23,23.269999,13.65
2010-08-24,22.869999,13.4
2010-08-25,23.159999,13.26
2010-08-26,22.73,13.21
2010-08-27,23.179998,13.43
2010-08-30,23.129998,13.18
2010-08-31,23.229998,13.11
2010-09-01,24.029998000000006,13.37
2010-09-02,24.059999,13.51
2010-09-03,24.129998,13.62
2010-09-07,23.529998000000006,13.53
2010-09-08,24.569999,13.75
2010-09-09,24.3,13.65
2010-09-10,24.1,13.68
2010-09-13,24.3,13.73
2010-09-14,24.25,13.63
2010-09-15,24.19,14.27
2010-09-16,23.9,14.19
2010-09-17,24.219999,13.89
2010-09-20,24.65,13.86
2010-09-21,24.739998,14.18
2010-09-22,24.34,14.04
2010-09-23,24.25,14.17
2010-09-24,24.739998,14.5
2010-09-27,24.769999,14.28
2010-09-28,24.869999,14.39
2010-09-29,24.989998,14.34
2010-09-30,24.4,14.17
2010-10-01,24.459999,14.27
2010-10-04,24.079998,14.28
2010-10-05,24.589998,14.61
2010-10-06,24.45,14.52
2010-10-07,24.75,14.23
2010-10-08,24.61,14.49
2010-10-11,24.29,14.41
2010-10-12,24.45,14.43
2010-10-13,24.869999,15.25
2010-10-14,25.279999,15.93
2010-10-15,25.679999,16.25
