,lats,lons
0,40.68928,-114.04392
1,40.68985,-114.04391
2,40.76026,-114.04375
3,41.05548,-114.04195
4,41.36,-114.04061
5,41.59062,-114.04055
6,41.89425,-114.0398
7,41.99372,-114.04172
8,41.99367,-114.0391
9,41.98895,-113.80254
10,41.99102,-113.64886
11,41.99331,-113.49562
12,41.99384,-113.36362
13,41.99645,-113.20505
14,41.99735,-113.10627
15,41.99841,-112.96233
16,41.99938,-112.83266
17,41.99973,-112.78175
18,42.00021,-112.68558
19,42.00054,-112.58229
20,42.00099,-112.45023
21,42.00111,-112.26534
22,42.00116,-112.1985
23,41.99763,-112.10309
24,41.99834,-111.98965
25,41.99861,-111.9304
26,41.99856,-111.88098
27,41.99875,-111.82932
28,41.99926,-111.73177
29,41.99951,-111.51913
30,42.00063,-111.4087
31,42.00132,-111.26009
32,42.00154,-111.14884
33,42.00159,-111.04934
34,42.00157,-111.04669
35,42.00034,-111.04682
36,41.83664,-111.04631
37,41.64119,-111.04601
38,41.52149,-111.0458
39,41.41513,-111.04611
40,41.36572,-111.04648
41,41.20441,-111.04667
42,41.10318,-111.04688
43,41.00917,-111.04686
44,40.9976,-110.94406
45,40.99725,-110.86384
46,40.99635,-110.70521
47,40.99635,-110.55878
48,40.99485,-110.43401
49,40.99533,-110.34177
50,40.99609,-110.25071
51,40.99634,-110.14713
52,40.99734,-110.0004
53,40.99766,-109.90645
54,40.99797,-109.75044
55,40.99841,-109.67348
56,40.9983,-109.63381
57,40.99871,-109.51776
58,40.99964,-109.43099
59,41.00064,-109.30329
60,41.00069,-109.05847
61,41.00066,-109.05008
62,40.87296,-109.04907
63,40.68445,-109.04899
64,40.50615,-109.05051
65,40.41493,-109.05088
66,40.2929,-109.05093
67,40.18844,-109.05088
68,40.03782,-109.05087
69,39.79876,-109.05077
70,39.56752,-109.05132
71,39.36423,-109.05077
72,39.22605,-109.05119
73,39.11656,-109.05158
74,38.95788,-109.05305
75,38.81393,-109.05655
76,38.60929,-109.06015
77,38.40118,-109.06017
78,38.215,-109.04984
79,38.21472,-109.0498
80,38.10272,-109.04232
81,37.97469,-109.04304
82,37.7899,-109.04159
83,37.5667,-109.04191
84,37.35363,-109.04582
85,37.20443,-109.04583
86,37.09597,-109.04519
87,37.01706,-109.04531
88,36.99908,-109.04522
89,36.99908,-109.04538
90,36.99926,-109.26993
91,36.9991,-109.43568
92,36.99831,-109.83491
93,36.99845,-110.13851
94,36.99828,-110.272
95,37.00383,-110.54945
96,37.00325,-110.73783
97,37.00247,-111.03957
98,37.00102,-111.2523
99,37.00147,-111.39598
100,37.00166,-111.58602
101,37.00097,-111.99142
102,37.00105,-112.32985
103,37.00094,-112.48455
104,37.00048,-112.75086
105,37.00012,-112.96895
106,37.00017,-112.99281
107,37.00022,-113.02079
108,36.99998,-113.17698
109,36.99998,-113.32097
110,36.99998,-113.4727
111,36.99998,-113.62465
112,36.99998,-113.86852
113,36.99998,-113.94557
114,37.0004,-114.05052
115,37.0004,-114.0506
116,37.13439,-114.05187
117,37.47222,-114.05264
118,37.70735,-114.05198
119,37.77873,-114.04939
120,37.95499,-114.05013
121,38.20495,-114.04997
122,38.55049,-114.04992
123,38.75165,-114.04916
124,38.90545,-114.04833
125,39.08777,-114.04885
126,39.23851,-114.04841
127,39.36296,-114.04779
128,39.45715,-114.0473
129,39.61018,-114.04757
130,39.75817,-114.04727
131,39.99994,-114.04658
132,40.09896,-114.04644
133,40.30302,-114.04619
134,40.4958,-114.04558
