,0
1664,it
3275,was
1744,large
147,44
3123,triangular
2657,shaped
1320,flying
2134,object
910,dancing
1794,lights
3002,that
3379,would
1319,fly
395,around
340,and
3007,then
1923,merge
1645,into
2173,one
1787,light
604,brilliant
2188,orange
2184,or
718,chinese
1738,lantern
412,at
1774,less
3001,than
15,1000
1363,ft
2021,moving
1102,east
3050,to
3298,west
273,across
2130,oakville
2176,ontario
1942,midnight
1690,june
251,9th
92,2013
596,bright
2472,red
2097,north
1360,from
3003,the
1539,horizon
3041,till
1003,disapeared
502,behind
766,clouds
2793,south
1276,first
2766,so
873,craft
1462,half
1063,dozen
2899,stragglers
3015,they
3296,were
2943,surely
2107,not
2330,planes
2094,nor
449,ball
2157,of
2751,slowly
2872,stationary
2031,multicolored
738,circular
1926,met
637,by
351,another
3315,which
2435,raised
1915,meet
3057,too
1025,displayed
3153,ufo
1421,going
2737,sky
3206,uso
3280,watched
3202,us
1331,for
864,couple
1963,minutes
1326,follows
3085,train
3077,tracks
1607,in
3350,winter
46,1931
2586,saw
1859,machine
401,as
2524,riding
2171,on
1543,horse
1065,draw
2265,pasture
13,10
2343,pm
23,12
249,99
2602,scottsdale
386,arizona
2778,something
1482,have
2067,never
2623,seen
498,before
3097,traveling
259,above
1414,glow
691,central
1987,montana
1928,metalic
2822,sphere
2551,rotating
1240,fast
2271,pattern
3287,we
1076,driving
3069,town
3011,there
1656,is
1424,golf
865,course
1530,holes
760,close
2535,road
3312,when
313,all
2954,suuden
2262,passing
3137,turned
2158,off
474,bayou
558,blvd
2177,onto
1420,godwinson
337,an
1209,extremely
1061,down
3355,with
3081,trail
2757,smok
1337,formation
167,44counted
31,15
2198,orbs
3190,until
3219,vanished
628,bursts
782,color
811,concentrated
384,area
764,cloud
486,beautiful
2708,silver
784,colored
2583,saucer
258,about
2729,size
2553,round
42,18
3311,wheeler
3141,turquoise
2293,perimeter
750,clearly
125,3997
8,05
225,64
4,02
0,00
1808,little
881,creek
1723,ky
1572,humming
2085,noise
1549,house
2654,shaking
2754,small
1914,medium
2730,sized
536,black
2471,rectangular
2647,several
3390,years
3104,tree
1800,line
2622,seemingly
627,burning
3194,up
2966,tail
1032,dissipated
3067,towards
1141,end
2698,sight
524,big
1966,miss
187,44orange
2475,redish
2136,objects
1312,floating
1533,home
2643,sets
3147,two
2940,sunset
2485,remained
3316,while
2211,other
2013,moved
2800,southwest
2875,stayed
3126,tripled
2725,sitting
671,car
1831,looking
2715,singal
1147,engine
2329,plane
2932,suddenly
1014,disc
3295,went
2263,past
3240,very
3319,white
703,chased
219,52
2054,near
3380,wright
2274,patterson
291,air
1332,force
466,base
2373,power
2218,out
652,came
2620,seemed
733,circle
793,come
442,back
2421,quickly
1695,just
3218,vanishe
3022,thirteen
2038,my
1437,grandmother
2000,mother
1483,having
1593,ice
880,cream
2224,outside
990,diner
205,45
214,50
947,degrees
1418,glows
699,changing
979,different
289,again
3393,yellow
1556,hovering
962,description
2367,possible
2700,sighting
2886,still
2377,present
2857,star
1796,like
3052,together
2571,same
2816,speed
987,dimmed
1007,disappeared
1289,flare
713,chevron
2705,silent
2229,over
108,30
1954,min
682,caught
3246,video
2980,tape
1270,fireball
286,after
1252,few
1445,greenish
970,diamond
1279,five
2755,smaller
929,daytime
2076,night
964,desert
1555,hovered
2814,sped
438,away
1969,mississauga
658,canada
368,appeared
477,be
1517,high
2368,possibly
357,any
1098,earthling
1861,made
1665,item
1612,incredible
2900,straight
2084,no
2788,sound
1297,flat
549,blinking
1729,lake
2210,oswego
2425,quot
1365,full
2685,shortly
21,11
35,16
2936,sunday
943,defied
282,aerodynamiccs
1719,know
554,blue
2410,purple
1219,faded
909,danced
885,cricle
2529,rise
1011,disapper
2512,retiring
1430,got
494,bed
2544,room
911,dark
3337,window
2744,slightly
2179,open
1489,head
1770,left
1378,gateway
298,airport
1924,merged
352,anouther
489,became
3040,tight
197,44straight
374,approx
124,39
2656,shape
1630,intense
1092,each
770,cntr
191,44rest
1324,followed
2144,observer
2889,stoppe
616,brownwood
2999,texas
117,33
1900,mass
2832,sporadically
1611,inconsistent
2791,sounds
3284,waves
106,29
151,442008
242,8pm
181,44my
3402,yr
2168,old
1398,girls
407,asked
3308,what
1598,if
2679,shooting
3053,told
3005,them
2018,moves
504,being
1020,disk
1254,field
232,70
133,39s
2258,pass
2335,play
702,chase
366,appear
324,altitude
1088,during
749,clear
926,day
179,44make
1005,disappear
1465,hammond
