vol_requests,title,hits,category_desc,locality,region,postalcode,created_date,vol_requests_lognorm,created_month,Education,Emergency Preparedness,Environment,Health,Helping Neighbors in Need,Strengthening Communities
2,Web designer,22,Strengthening Communities,"5 22nd St
New York, NY 10010
(40.74053152272978, -73.98923530081726)",NY,10010.0,2011-01-14,0.6931471805599453,1,0,0,0,0,0,1
20,Urban Adventures - Ice Skating at Lasker Rink,62,Strengthening Communities,,NY,10026.0,2011-01-19,2.995732273553991,1,0,0,0,0,0,1
500,Fight global hunger and support women farmers - Join the Oxfam Action Corps in NYC!,14,Strengthening Communities,,NY,2114.0,2011-01-21,6.214608098422191,1,0,0,0,0,0,1
15,Stop 'N' Swap,31,Environment,,NY,10455.0,2011-01-28,2.70805020110221,1,0,0,1,0,0,0
15,Queens Stop 'N' Swap,135,Environment,,NY,11372.0,2011-01-28,2.70805020110221,1,0,0,1,0,0,0
2,Staff Development Trainer,156,Strengthening Communities,"1109 Fifth Avenue
New York, NY 10128
(40.78553359707598, -73.95746225352207)",NY,10128.0,2011-01-27,0.6931471805599453,1,0,0,0,0,0,1
20,CLARO Brooklyn Volunteer Attorney,4407,Helping Neighbors in Need,,NY,11201.0,2011-02-07,2.995732273553991,2,0,0,0,0,1,0
1,Volunteer-Community Health Advocates,928,Health,,NY,10010.0,2011-02-09,0.0,2,0,0,0,1,0,0
8,Supervise children in Highland Park Children's Garden,491,Strengthening Communities,,NY,11415.0,2011-02-14,2.0794415416798357,2,0,0,0,0,0,1
15,WorldofMoney.org's Youth Amazing Race,332,Education,,NY,10036.0,2011-02-18,2.70805020110221,2,1,0,0,0,0,0
4,Qualified Board Member Seats Available,276,Strengthening Communities,,NY,10036.0,2011-02-18,1.3862943611198906,2,0,0,0,0,0,1
25,Young Adult Tutor (Updated 3/30/11),465,Education,,NY,10004.0,2011-02-18,3.2188758248682006,2,1,0,0,0,0,0
1,Health Insurance Claims Manager,119,Helping Neighbors in Need,,NY,10001.0,2011-02-24,0.0,2,0,0,0,0,1,0
1,Health Insurance Claims Manager,236,Strengthening Communities,,NY,10001.0,2011-02-24,0.0,2,0,0,0,0,0,1
25,TimeBanksNYC: THE GREAT EXCHANGE ,3334,Helping Neighbors in Need,,NY,10003.0,2011-03-01,3.2188758248682006,3,0,0,0,0,1,0
250,Community Clean Up at Asbury Cementary in Staten Island ,266,Strengthening Communities,,NY,10314.0,2011-03-04,5.521460917862246,3,0,0,0,0,0,1
10,Senior Citizen Friendly Visitor ,834,Helping Neighbors in Need,,NY,11427.0,2011-03-09,2.302585092994046,3,0,0,0,0,1,0
4,Shop Volunteer,653,Strengthening Communities,"150 17th Street
New York, NY 10011
(40.74018978035866, -73.99762597535062)",NY,10011.0,2011-03-09,1.3862943611198906,3,0,0,0,0,0,1
30,Tree Care Workshop - Queens 3/20,32,Environment,,NY,11355.0,2011-03-10,3.4011973816621555,3,0,0,1,0,0,0
30,Tree Care Workshop - Queens 4/9,165,Environment,,NY,11103.0,2011-03-10,3.4011973816621555,3,0,0,1,0,0,0
2,Movie screener for Seniors,583,Health,"80 Maiden Lane
New York, NY 10038
(40.70722063476455, -74.00745556513084)",NY,10038.0,2011-03-10,0.6931471805599453,3,0,0,0,1,0,0
20,Volunteer at Queens Farm,1103,Health,"73 50 Little Neck Parkway
Floral Park, NY 11004
(40.74323783435864, -73.71201500019208)",NY,11004.0,2011-03-15,2.995732273553991,3,0,0,0,1,0,0
1,Graphic Designer ,239,Strengthening Communities,,NY,11226.0,2011-03-17,0.0,3,0,0,0,0,0,1
70,Volunteer Open House,274,Health,,NY,10016.0,2011-03-30,4.248495242049359,3,0,0,0,1,0,0
20,Get the tools to volunteer for Recycling!,59,Environment,,NY,11231.0,2011-04-22,2.995732273553991,4,0,0,1,0,0,0
50,Volunteers Needed for Family Event,1054,Strengthening Communities,,NY,11368.0,2011-04-27,3.912023005428146,4,0,0,0,0,0,1
5,Clerical Volunteer Support,873,Strengthening Communities,"285 Schermerhorn Street
Brooklyn, NY 11217
(40.687790343385544, -73.98292053949278)",NY,11217.0,2011-04-27,1.6094379124341003,4,0,0,0,0,0,1
50,Volunteers for a Children's Cancer Walk!,176,Strengthening Communities,,NY,10025.0,2011-04-27,3.912023005428146,4,0,0,0,0,0,1
500,BeFitNYC Physical Activity Organizers,1522,Health,,NY,11101.0,2011-05-04,6.214608098422191,5,0,0,0,1,0,0
15,Decision Day 2011 Needs Your Help!!,61,Strengthening Communities,,NY,11207.0,2011-05-10,2.70805020110221,5,0,0,0,0,0,1
