,Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents' advice,Internet usage,Finances,Age,Siblings,Gender,Village - town,Age Category,Interested in Math
0,5.0,1.0,5.0,1.0,3.0,4.0,1.0,3.0,4.0,few hours a day,3.0,20.0,1.0,female,village,Less than 21,False
1,4.0,1.0,5.0,1.0,5.0,5.0,1.0,2.0,2.0,few hours a day,3.0,19.0,2.0,female,city,Less than 21,True
2,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,3.0,few hours a day,2.0,20.0,2.0,female,city,Less than 21,True
3,5.0,2.0,5.0,4.0,4.0,1.0,5.0,5.0,2.0,most of the day,2.0,22.0,1.0,female,city,21+,True
4,5.0,2.0,5.0,3.0,2.0,1.0,1.0,3.0,3.0,few hours a day,4.0,20.0,1.0,female,village,Less than 21,False
5,5.0,1.0,5.0,5.0,2.0,2.0,1.0,2.0,3.0,few hours a day,2.0,20.0,1.0,male,city,Less than 21,False
6,5.0,5.0,4.0,3.0,1.0,5.0,1.0,3.0,4.0,less than an hour a day,4.0,20.0,1.0,female,village,Less than 21,False
7,5.0,3.0,5.0,5.0,1.0,5.0,1.0,2.0,3.0,few hours a day,3.0,19.0,1.0,male,city,Less than 21,False
8,5.0,1.0,5.0,3.0,1.0,1.0,5.0,4.0,4.0,few hours a day,2.0,18.0,1.0,female,city,Less than 21,False
9,5.0,1.0,5.0,3.0,3.0,2.0,3.0,2.0,3.0,few hours a day,4.0,19.0,3.0,female,city,Less than 21,False
10,5.0,4.0,5.0,3.0,2.0,5.0,2.0,2.0,4.0,less than an hour a day,2.0,19.0,2.0,female,city,Less than 21,False
11,5.0,1.0,5.0,2.0,1.0,1.0,5.0,4.0,4.0,few hours a day,2.0,17.0,1.0,female,city,Less than 21,False
12,5.0,1.0,5.0,4.0,1.0,2.0,1.0,5.0,4.0,few hours a day,4.0,24.0,10.0,female,city,21+,False
13,5.0,1.0,5.0,2.0,1.0,5.0,3.0,2.0,3.0,few hours a day,3.0,19.0,1.0,female,city,Less than 21,False
14,5.0,1.0,4.0,2.0,1.0,5.0,2.0,2.0,4.0,most of the day,5.0,22.0,1.0,female,city,21+,False
15,1.0,1.0,5.0,5.0,3.0,1.0,1.0,4.0,4.0,few hours a day,3.0,18.0,0.0,male,city,Less than 21,False
16,5.0,4.0,5.0,1.0,1.0,5.0,5.0,2.0,3.0,few hours a day,3.0,19.0,2.0,female,city,Less than 21,False
17,5.0,1.0,5.0,3.0,1.0,5.0,4.0,4.0,1.0,few hours a day,1.0,20.0,1.0,female,village,Less than 21,False
18,5.0,4.0,5.0,3.0,5.0,4.0,1.0,4.0,3.0,few hours a day,4.0,18.0,2.0,male,city,Less than 21,True
19,5.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,few hours a day,2.0,18.0,1.0,male,city,Less than 21,False
20,5.0,3.0,5.0,5.0,2.0,3.0,2.0,2.0,3.0,few hours a day,2.0,20.0,1.0,male,city,Less than 21,False
21,5.0,1.0,5.0,4.0,3.0,5.0,1.0,4.0,3.0,few hours a day,2.0,24.0,1.0,male,city,21+,False
